internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
12776,Mantella aurantiaca,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MANTELLIDAE,Mantella,aurantiaca,,,,,"Mocquard, 1900","There are populations of ""golden"" mantellas that might belong to other species. The taxonomy of this group is uncertain but the definition of <em>Mantella aurantiaca</em> is clear and there seems to be little genetic subdivision within the species (M. Vences pers. comm.)."
1301,Anhydrophryne rattrayi,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,PYXICEPHALIDAE,Anhydrophryne,rattrayi,,,,,"Hewitt, 1919",
135803,Bolitoglossa bramei,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,PLETHODONTIDAE,Bolitoglossa,bramei,,,,,"Wake, Savage &amp; Hanken, 2007",Specimens formerly considered&#160;<em>Bolitoglossa robinisoni</em>&#160;from Valle El Silencio are now thought to belong to this species (E. Arias pers. comm. September 2019).
135889,Telmatobius sanborni,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,TELMATOBIIDAE,Telmatobius,sanborni,,,,,"Schmidt, 1954",De la Riva (2005) resurrected <em>Telmatobius sanborni</em> from the synonymy of <em>Telmatobius marmoratus</em> on the basis of differences in morphological features and colour patterns.
135968,Chimerella mariaelenae,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,CENTROLENIDAE,Chimerella,mariaelenae,,,,,"(Cisneros-Heredia &amp; McDiarmid, 2006)",
136015,Pristimantis aquilonaris,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,aquilonaris,,,,,"Lehr, Aguilar, Siu-Ting and Jordán, 2007","<em>Pristimantis aquilonaris</em> is distinguished from other similar species by a combination of morphological features and colour patterns (Lehr et al., 2007)."
136036,Ctenophryne barbatula,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICROHYLIDAE,Ctenophryne,barbatula,,,,,"(Lehr &amp; Trueb, 2007)",
136055,Anodonthyla moramora,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICROHYLIDAE,Anodonthyla,moramora,,,,,"Glaw &amp; Vences, 2005",
136056,Zhangixalus yinggelingensis,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Zhangixalus,yinggelingensis,,,,,"(Chou, Lau &amp; Chan, 2007)",
136082,Bolitoglossa gomezi,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,PLETHODONTIDAE,Bolitoglossa,gomezi,,,,,"Wake, Savage &amp; Hanken, 2007",This species was confused with<em>&#160;Bolitoglossa pesrubra</em>&#160;prior to its naming (Wake <em>et al. </em>2007). It has been determined by mtDNA phylogeny to be part of the&#160;<em>B. subpalmata</em> clade (Boza-Oveido <em>et al.</em> 2012).
136129,Telmatobius punctatus,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,TELMATOBIIDAE,Telmatobius,punctatus,,,,,"Vellard, 1955",<em>Telmatobius punctatus</em> was previously considered to be a subspecies of <em>Telmatobius brevirostris</em>; it was elevated to specific status by Lehr (2005) based on differences in morphological features and colour patterns.
78526171,Oreobates lehri,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Oreobates,lehri,,,,,"(Padial, Chaparro &amp; De la Riva, 2007)","<p><em>Oreobates lehri </em>was initially ascribed to two distant populations, one in Cordillera Vilcabamba, which is now considered typical <em>O. lehri</em>, and one in the Andean hills of the Kosñipata Valley, to which is now assigned to&#160;<em>O. gemcare </em>(Padial <em>et al</em>. 2012).&#160;This is a restricted concept of <em>O. lehri </em>following the split of the broader concept into this and <em>O. gemcare&#160;</em>(Padial&#160;<em>et al</em>. 2012).</p>"
158472,Pristimantis leucorrhinus,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,leucorrhinus,,,,,"Boano, Mazzotti &amp; Sindaco, 2008","In the <span style=""font-style: italic;"">Pristimantis unistrigatus</span> group according to the original publication. <br>"
164889,Boophis baetkei,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MANTELLIDAE,Boophis,baetkei,,,,,"Köhler, Glaw &amp; Vences, 2008",
171808,Anomaloglossus moffetti,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,AROMOBATIDAE,Anomaloglossus,moffetti,,,,,"Barrio-Amorós &amp; Brewer-Carías, 2008","This species can be distinguished from other species of the genus by a combination of morphological characters. It is assigned to this genus by the presence of the generic synapomorphy of a median lingual process (Barrio-Amorós and Brewer-Carías 2008). Barrio-Amorós <em>et al</em>. (2019) state that this species should be compared to <em>Anomaloglossus ayarzaguenai</em>, as both could represent the same taxon, since they are from neighboring tepuis.</span>"
171810,Hyalinobatrachium mesai,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,CENTROLENIDAE,Hyalinobatrachium,mesai,,,,,"Barrio-Amorós &amp; Brewer-Carías, 2008","The validity of this species has been questioned, and it has been suggested that it could be conspecific with <em>Hyalinobatrachium iaspidiense</em> (Guayasamin and North 2009, Yánez-Muñoz <em>et al</em>. 2009, Castroviejo-Fischer <em>et al</em>. 2011)."
171813,Pristimantis sarisarinama,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,sarisarinama,,,,,"Barrio-Amorós &amp; Brewer-Carías, 2008","This species can be easily distinguished from other Tepui species of <em>Pristimantis</em> by a combination of morphological characters, such as the absence of calcars, shagreened dorsal skin, distinct iris color, and distinct dorsal pattern (Barrio-Amorós and Brewer-Carías 2008)."
172286,Pristimantis auricarens,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,auricarens,,,,,"Myers &amp; Donnelly, 2008","In the&#160;<em>Pristimantis unistrigatus</em> species group according to the original description (Myers and Donnelly 2008), but not assigned to any species group by <a name=""_Hlk42103794"">Padial <em>et al</em>. (2014). </a>In the family Strabomantidae sensu <a name=""_Hlk42103804"">Heinicke <em>et al</em>. (2018).</a>"
