assessmentId,internalTaxonId,scientificName,redlistCategory,redlistCriteria,yearPublished,assessmentDate,criteriaVersion,language,rationale,habitat,threats,population,populationTrend,range,useTrade,systems,conservationActions,realm,yearLastSeen,possiblyExtinct,possiblyExtinctInTheWild,scopes
1424928,176047,Tetrapleurodon geminis,Endangered,B1ab(iii)+2ab(iii),2019,2018-03-16 00:00:00 UTC,3.1,English,"<em>Tetrapleurodon geminis</em>&#160;is a freshwater species found in Rio Duero and Rio Grande de Morelia in Michoacán, Mexico. Pollution and habitat modification has been documented at several localities where this species occurs. These threats are primarily the result of urban development, and are expected to be ongoing. This species has an estimated Area of Occupancy (AOO) of 20-48 km<sup>2</sup>, an estimated&#160;Extent Of Occurrence (EOO) of 423-1129 km<sup>2</sup>, and occurs at two locations. As such, it is assessed as Endangered (EN) under B1+B2ab(iii).",<em>Tetrapleurodon geminis </em>is known to be a freshwater species that occurs within main river systems as well as their smaller tributary rivers and streams (Guerra-Magana and Polaco 1996).,"This species has seen a reduction in its distribution and this is thought to be due to the impacts of pollution and habitat modifications, for example, the Rio Celio is surrounded by the rapidly growing city of Jacona and the Rio Duero experiences extensive use for irrigation that results in fluctuating flows, sedimentation, and decreased water quality (Lyons<em> et al. </em>1994, Ceballos <em>et al.</em> 2016). It also receives waste discharges from Zamora, Jacona, and other nearby community (O. Mejia pers. comm. 2018). Although these threats were not directly surveyed, they are as a result of of increasing urban development and are thus unlikely to have ceased or reduced and are more likely to be ongoing.",The population size and population trend of <em>T. geminis</em> are unknown.,Unknown,"<em>Tetrapleurodon geminis</em> is a freshwater species found in Rio Duero and Rio Grande de Morelia in Michoacán, Mexico (Alvarez del Villar 1966, Mejia <em>et al. </em>2004). Elevation ranges from 1560-2130 m (O. Mejia pers. comm. 2018). Lyons<em> et al.</em> (1994) documented a drastic reduction in the distribution of&#160;<em>Lampetra geminis</em>.",<em>Tetrapleurodon geminis</em> is not utilized (O. Mejia pers. comm. 2018),Freshwater (=Inland waters),No conservation actions for <em>T. geminis</em> are known. More information would be useful on the species population status and threats across its range. The range of this species is included within the boundaries of Insurgente José María Morelos national park (IUCN and UNEP 2018).,Neotropical,,false,false,Global
4134478,135505,Eudontomyzon sp. nov. 'migratory',Extinct,,2008,2008-01-01 00:00:00 UTC,3.1,English,"Disappeared from its range (Dniestr, Dniepr and Don drainages) around the end of 19th century for unknown reasons, although it was the target of fisheries in the lower part of rivers in autumn and spring. Attempts to obtain migratory lampreys in recent years in the Dniestr, Dniepr and Don have been unsuccessful and fishermen are not aware of its existence.","<strong>Habitat</strong>: <br/>Unknown. <br/><br/><strong>Biology</strong>: <br/>Adults were known to migrate and were the target of specific fisheries in lower part of rivers in autumn and spring (including in lower Dniepr where <em>E. mariae</em> is known to be absent). It is not known whether the migration was restricted to freshwater or included a period at sea. Spawns during spring in headwaters, in clear water, over gravel bottom or recently flooded areas.",Unknown.,Last recorded around the end of 19th century.,,"Dniestr, Dniepr and Don drainages (Black Sea basin).",,Freshwater (=Inland waters),None.,Palearctic,before 1900,false,false,Global & Europe
4139291,135530,Eudontomyzon stankokaramani,Least Concern,,2008,2008-01-01 00:00:00 UTC,3.1,English,"The species is restricted to the Drin River (extent of occurrence of 25,000 km²) but has no known  widespread threats.","<strong>Habitat</strong>: <br/>Piedmont and montane zones in clear, well oxygenated brooks. Ammocoetes in detritus-rich sands or clay sediments. <br/><br/><strong>Biology</strong>: <br/>Non-predatory, freshwater resident. Probably similar to <em>E. mariae</em>. Metamorphoses in November-April in Drin drainage (but this requires confirmation).",No major threats known.,No information.,Unknown,"Drin drainage including Lake Ohrid and Lake Skadar basins  (Macedonia, Montenegro, Albania, Kosovo) .",,Freshwater (=Inland waters),No information.,Palearctic,,false,false,Global & Europe
4160251,135609,Lethenteron reissneri,Least Concern,,2008,2008-01-01 00:00:00 UTC,3.1,English,A widespread species with no known major widespread threats.,"<strong>Habitat</strong>: <br/>All types of rivers and streams, including brackish waters. Spawns in sand-gravel bottom in shallow water. Ammocoetes live in detritus-rich sands or clay sediments. Enters floodplain meadows during high waters. <br/><br/><strong>Biology</strong>: <br/>Non-predatory, freshwater resident. Timing of spawning season depend on latitude when temperatures reach 13-15°C, from late March to mid-July or later. Migrates into small brooks to spawn. Males dig a shallow nest in habitats with moderate current. Spawners form large aggregations. Adults die after spawning. Ammocoetes stage lasts 2.5-3.5 years. Feeds on detritus and micro-organisms, metamorphoses in late summer, overwinters and spawns in spring. Ammocoetes remaining in temporal floodplain pools burrow into the bottom and form a protective capsule of slimy secretion and remain immobile until water returns.",No major threats known.,Abundant.,Unknown,"Drainages of Arctic and Pacific Oceans. In Europe in Umba (Kola Peninsula), Severnaya Dvina, Mezen and upper Pechora drainages. In Asia eastward to Anadyr drainage (Bering Sea); Amur drainage; Sakhalin Island; Hokkaido (Japan).",,Freshwater (=Inland waters),No information.,Palearctic,,false,false,Global
4187207,135706,Caspiomyzon wagneri,Near Threatened,,2008,2008-01-01 00:00:00 UTC,3.1,English,"The species is restricted to the Caspian Sea basin. It has seen a sharp decline after the construction of the dams in the 1950s and 1960s. Currently the species is rare with only a few remaining spawning sites in rivers draining from eastern Caucasus (including Sulak), Volga and Iran, where it might have stabilised at a low level. There are indications that it has formed landlocked populations in reservoirs in the lower Volga.<br/><br/>The area of the remaining spawnings sites is unknown, but it is suspected that the area of occupancy is less than 2,000 km². The current threat to the species is the drying of the rivers (drought), so there is most likely more than 10 locations. The species is close to meeting VU under the B2 criteria.","<strong>Habitat</strong>: <br/>Adults live in sea and spawn in reaches of rivers and streams with strong current. Ammocoetes live in detritus-rich sands or clay sediments. <br/><br/><strong>Biology</strong>: <br/>Anadromous. Spawns in couples in March-July (River Sakmara, Ural drainage), when temperatures reach 15-23°C. Adults die after spawning. Ammocoete stage lasts 2-4 years in freshwater. Feeds on detritus and micro-organisms. After metamorphosis, juveniles migrate to the sea. In lower Volga, the occurrence of small (about 190 mm TL) and large (370-550 mm TL) mature adults implies that adults may feed one or two summers before breeding. Feeds on invertebrates and dead fish. Feeding behaviour unknown. Adults start to migrate to rivers in autumn and winter, usually in October-February. Spawning migration is not interrupted by ice flow in Volga.","Dams of rivers in the Caspian sea in the 1950's and 1960's blocked off many spawning grounds, causing a population decline. Current threats to the species is the drying of the rivers (drought), as the species has found some new spawning grounds below the dams. The species is not poached.","Only single individuals have been caught in fisheries catches in the past few years (N. Bogutskaya, pers comm.) at the Volga river mouth. There is an indication that there is a landlocked population above the Volgograd dam (status unknown). The species has aparently disapeared in the Kuma, Terek and Kura. In Iran individuals are still caught regularly (A. Abdoli, pers comm. to J. Freyhof).",Unknown,"Caspian Sea and tributaries in Europe (Ural, Volga, Terek, Kuma) and Asia. Migrates to uppermost tributaries in Volga.","Until 1868, all catches were dried and used as candles or for production of oil. Only thereafter it was used as food for humans, and it is now considered a valuable and delicious fish. (Holcík 1986)",Freshwater (=Inland waters),No information.,Palearctic,,false,false,Global
4359552,13852,Mordacia lapicida,Data Deficient,,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,,,Freshwater (=Inland waters)|Marine,,Neotropical,,false,false,Global
12894846,8172,Eudontomyzon danfordi,Least Concern,,2008,2008-01-01 00:00:00 UTC,3.1,English,"A widespread species, known from the Tisza and Timis systems (Romania, Slovakia, Ukraine, Hungary in the Danube drainage). It has a suspected slow decline with recent and on-going economic development (pollution, damming in headwaters) in eastern Europe. However, not at a rate to qualify the species for a threatened or Near Threatened category.","<strong>Habitat</strong>: <br/>Piedmont and montane zones in clear, well oxygenated brooks. Ammocoetes in detritus-rich sands or clay sediments. <br/><br/><strong>Biology</strong>: <br/>Predatory, freshwater resident. Ammocoetes stage lasts 3.5-4.5 years. Ammoecoetes feed on detritus and insect larvae; they usually metamorphose in July-August. Metamorphosis lasts 1-5 months and feeding starts in the following March. Spawns in spring, usually after one year of predatory life, in April-June in uppermost reaches of brooks. Dies after spawning. Adults feed on live and dead fish; they usually kill their prey and feed on body tissues or swallow the whole fish.",Locally threatened by damming in headwaters and pollution.,Suspected to be slowly declining.,Unknown,"Danube drainage: Tisza and Timis systems (Romania, Slovakia, Ukraine, Hungary).",,Freshwater (=Inland waters),No information.,Palearctic,,false,false,Global & Europe
12895641,8174,Eudontomyzon vladykovi,Least Concern,,2008,2008-01-01 00:00:00 UTC,3.1,English,"The species is widespread, known from the Sava and Drava systems of the Danube and the upper Danube north and west of Drava. However, is suspected to be undergoing a slow population decline with recent and on-going economic development but not at a rate to qualify the species for a threatened or Near Threatened category.","<strong>Habitat</strong>: <br/>Clear, well oxygenated brooks in piedmont and montane zones. Ammocoetes in detritus-rich sands or clay sediments. <br/><br/><strong>Biology</strong>: <br/>Non-predatory, freshwater resident. Ammocoetes stage lasts 3.5-4.5 years. Feeds on detritus and micro-organisms, metamorphoses in July-September, overwinters, and spawns in March-May, later at higher elevations, when temperatures reach 7-10°C. Spawning individuals cease their normal daylight avoidance reaction and reproduce on sunny days. Males dig shallow nests in habitats with moderate current. Dies after spawning.",Locally threatened by damming in headwaters and pollution.,Suspected to be radually declining.,Unknown,Upper and middle Danube drainage (Sava and Drava systems and upper Danube north and west of Drava). Locally in Timis and Olt systems (lower Danube drainage). Absent from Tisza and Cerna systems.,,Freshwater (=Inland waters),No information.,Palearctic,,false,false,Global & Europe
18229349,11209,Entosphenus minimus,Vulnerable,D2,2013,2012-02-22 00:00:00 UTC,3.1,English,"This species is listed as Vulnerable because it occurs in a small number of locations. Extent of occurrence is less than 5,000 sq km, area of occupancy is less than 200 sq km, and trend is unknown.","Habitat includes clear rocky streams, and gravelly areas in Miller Lake; ammocetes occur in silt, mud, or sand (Page and Burr 2011). A nest in the Sycan River was a pitlike clearing on a gravel-cobble substrate in a sand matrix in water about 30&#160;centimetres&#160;deep and about 3 meters from shore (Lorion <em>et al</em>. 2000).","Miller Lake was chemically treated with toxaphene by the Oregon Game Commission on September 16,1958 to eliminate Tui Chub and lampreys (Oregon Department of Fish and Wildlife 2005).<br/><br/>No immediate threats are known (Kostow 2002). Potential threats include impacts from stocked fishes, entrainment in water diversions, and impaired connectivity within and between local populations (Oregon Department of Fish and Wildlife 2005).","Lorion <em>et al</em>. (2000) mapped 8 collection sites; these represent probably a half-dozen subpopulations or locations (Oregon Department of Fish and Wildlife 2005).<br/><br/>Total adult population size is unknown.<br/><br/>Miller Lake itself, the type locality for the species, remains the only known historical habitat from which the Miller Lake lamprey is known to have been extirpated (Oregon Department of Fish and Wildlife 2005).<br/><br/>Trend over the past 10 years or three generations is unknown.",Unknown,"Formerly this species was thought to be endemic to Miller Lake (16 km northeast of Mt. Thielson), Klamath County, Oregon (Lee <em>et al</em>. 1980), where the species was last collected there in the early 1950s. Recent surveys documented populations in Miller Creek, Jack Creek, and the upper sections of the Williamson and Sycan rivers, in the upper Klamath River Basin, Klamath and Lake counties, Oregon (Lorion <em>et al</em>. 2000, Page and Burr 2011).",,Freshwater (=Inland waters),"Management strategies to preserve this species include: conserving appropriate habitat conditions and availability within the natural range of the Miller Lake Lamprey, addressing potential impacts from stocking streams with hatchery fish, reducing entrainment, and establishing connectivity within and between local populations (Oregon Department of Fish and Wildlife 2005).",Nearctic,,false,false,Global
18229497,202622,Lampetra aepyptera,Least Concern,,2013,2012-02-21 00:00:00 UTC,3.1,English,"Listed as Least Concern in view of the large extent of occurrence, large number of subpopulations, large population size, apparently stable trend, and lack of major threats.","Habitat includes clean, clear gravel riffles and runs of creeks and small rivers; larvae burrow in bottom of quiet water (e.g., spring-fed wetlands, pools and backwaters of small, sand- or mud-bottomed streams) (Page and Burr 2011). Adults usually are found in breeding areas. Eggs are laid in nests in gravelly riffles.",No major threats are known.,"This species is represented by a large number of occurrences (subpopulations).<br/><br/>Total adult population size is unknown but presumably exceeds 10,000. This species is locally common.<br/><br/>Trend over the past 10 years or three generations is uncertain but likely relatively stable.",Stable,"Range includes the North American Atlantic Slope from the Susquehanna River drainage, southeastern Pennsylvania to James River, Virginia; Neuse and Tar river drainage, North Carolina; Mississippi River basin from western Pennsylvania to south-central Missouri and northern Arkansas, south to southern Mississippi; Gulf Slope drainages from Mobile Bay basin, Georgia, to the Pearl River, Mississippi (Page and Burr 2011).",,Freshwater (=Inland waters),"Currently, this species is of relatively low conservation concern and does not require significant additional protection or major management, monitoring, or research action.",Nearctic,,false,false,Global
