internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
176047,Tetrapleurodon geminis,ANIMALIA,CHORDATA,CEPHALASPIDOMORPHI,PETROMYZONTIFORMES,PETROMYZONTIDAE,Tetrapleurodon,geminis,,,,,"Alvarez, 1964",
135505,Eudontomyzon sp. nov. 'migratory',ANIMALIA,CHORDATA,CEPHALASPIDOMORPHI,PETROMYZONTIFORMES,PETROMYZONTIDAE,Eudontomyzon,sp. nov. 'migratory',,,,,,"Anadromous predatory lampreys are reported in the literature and are considered to be extinct. In fact, the literature is ambiguous. The record of a migratory lamprey in the Prut system refers to a non-predatory species close to <i>E. mariae</i> but there is no evidence that it was anadromous. Attempts to obtain migratory lampreys in recent years in the Dniestr, Dniepr and Don have been unsuccessful; fishermen are not aware of its existence."
135530,Eudontomyzon stankokaramani,ANIMALIA,CHORDATA,CEPHALASPIDOMORPHI,PETROMYZONTIFORMES,PETROMYZONTIDAE,Eudontomyzon,stankokaramani,,,,,"Karaman, 1974",
135609,Lethenteron reissneri,ANIMALIA,CHORDATA,CEPHALASPIDOMORPHI,PETROMYZONTIFORMES,PETROMYZONTIDAE,Lethenteron,reissneri,,,,,"(Dybowski, 1869)","Lampreys identified as <em>L. kessleri</em> from Arctic basin are <em>L. reissneri</em> and part of those from Sakhalin, Japan and rivers of the Sea of Japan belong to <em>L. reissneri</em> and two unnamed species."
135706,Caspiomyzon wagneri,ANIMALIA,CHORDATA,CEPHALASPIDOMORPHI,PETROMYZONTIFORMES,PETROMYZONTIDAE,Caspiomyzon,wagneri,,,,,"(Kessler, 1870)",
13852,Mordacia lapicida,ANIMALIA,CHORDATA,CEPHALASPIDOMORPHI,PETROMYZONTIFORMES,PETROMYZONTIDAE,Mordacia,lapicida,,,,,"(Gray, 1851)",
8172,Eudontomyzon danfordi,ANIMALIA,CHORDATA,CEPHALASPIDOMORPHI,PETROMYZONTIFORMES,PETROMYZONTIDAE,Eudontomyzon,danfordi,,,,,"Regan, 1911",
8174,Eudontomyzon vladykovi,ANIMALIA,CHORDATA,CEPHALASPIDOMORPHI,PETROMYZONTIFORMES,PETROMYZONTIDAE,Eudontomyzon,vladykovi,,,,,"Oliva &amp; Zanandrea, 1959",
11209,Entosphenus minimus,ANIMALIA,CHORDATA,CEPHALASPIDOMORPHI,PETROMYZONTIFORMES,PETROMYZONTIDAE,Entosphenus,minimus,,,,,"(Bond & Kan, 1973)",
202622,Lampetra aepyptera,ANIMALIA,CHORDATA,CEPHALASPIDOMORPHI,PETROMYZONTIFORMES,PETROMYZONTIDAE,Lampetra,aepyptera,,,,,"(Abbott, 1860)",
16781,Petromyzon marinus,ANIMALIA,CHORDATA,CEPHALASPIDOMORPHI,PETROMYZONTIFORMES,PETROMYZONTIDAE,Petromyzon,marinus,,,,,"Linnaeus, 1758",
202625,Lampetra ayresii,ANIMALIA,CHORDATA,CEPHALASPIDOMORPHI,PETROMYZONTIFORMES,PETROMYZONTIDAE,Lampetra,ayresii,,,,,"(Günther, 1870)",
202631,Entosphenus similis,ANIMALIA,CHORDATA,CEPHALASPIDOMORPHI,PETROMYZONTIFORMES,PETROMYZONTIDAE,Entosphenus,similis,,,,,"Vladykov & Kott, 1979",
202620,Ichthyomyzon greeleyi,ANIMALIA,CHORDATA,CEPHALASPIDOMORPHI,PETROMYZONTIFORMES,PETROMYZONTIDAE,Ichthyomyzon,greeleyi,,,,,"Hubbs & Trautman, 1937",
202619,Ichthyomyzon gagei,ANIMALIA,CHORDATA,CEPHALASPIDOMORPHI,PETROMYZONTIFORMES,PETROMYZONTIDAE,Ichthyomyzon,gagei,,,,,"Hubbs & Trautman, 1937",
135719,Lethenteron camtschaticum,ANIMALIA,CHORDATA,CEPHALASPIDOMORPHI,PETROMYZONTIFORMES,PETROMYZONTIDAE,Lethenteron,camtschaticum,,,,,"(Tilesius, 1811)",Earlier known as <em>Lethenteron japonicum</em>.
202623,Lethenteron alaskense,ANIMALIA,CHORDATA,CEPHALASPIDOMORPHI,PETROMYZONTIFORMES,PETROMYZONTIDAE,Lethenteron,alaskense,,,,,"Vladykov & Kott, 1978",
