assessmentId,internalTaxonId,scientificName,redlistCategory,redlistCriteria,yearPublished,assessmentDate,criteriaVersion,language,rationale,habitat,threats,population,populationTrend,range,useTrade,systems,conservationActions,realm,yearLastSeen,possiblyExtinct,possiblyExtinctInTheWild,scopes
4635708,154797,Eptatretus mendozai,Least Concern,,2011,2009-11-10 00:00:00 UTC,3.1,English,"This species is known only from 12 specimens from Puerto Rico and Haiti. There are no known threats likely to affect this species, given its deep water habitat (720-1,100 m). It is listed as Least Concern. However, more research is needed on this species population, biology, life history, and potential threats.","This species is found on mud and clay bottoms, at depths from 720-1,100 m. According to Hensley (1985), of 11 specimens examined, eight females (309-450 mm) were mature (contained vitellogenic oocytes and/or atretic material indicating previous vitellogenesis) and inactive, containing oocytes of 0.2-1.5 mm. Oocytes of 1.0-1.5 were becoming ellipsoid. This probably reflects an early stage of oocyte maturation. Three males (350-384 mm) were mature, containing cysts in various stages of maturation but very few spermatozoa. The copulatory organ is absent in this species. The gonads of hagfishes are situated in the peritoneal cavity. The ovary is found in the anterior portion of the gonad, and the testis is found in the posterior part. The animal becomes female if the cranial part of the gonad develops or male if the caudal part undergoes differentiation. If none develops, then the animal becomes sterile. If both anterior and posterior parts develop, then the animal becomes a functional hermaphrodite. However, hermaphroditism being characterised as functional needs to be validated by more reproduction studies (Patzner 1998).",This is a deep water species and no known threats currently exist.,Population information for this species is only known from 12 specimens.,Unknown,This species is located off the southwest coast of Puerto Rico and probably off the north coast of Haiti (Hensley 1985).,,Marine,"There are no conservation measures in place, but more research is needed on the species' biology, population size, distribution and impacts.","",,false,false,Global
4644581,154825,Eptatretus cirrhatus,Least Concern,,2011,2009-11-09 00:00:00 UTC,3.1,English,This species is known to be one of the most common hagfish species in Australia and New Zealand. Its range may be larger than currently known and no known threats exist. It is listed as Least Concern.,"This species is known from shallow to deep waters, on soft bottom shelves and slopes at depths from 1-1,100 m. It can form locally abundant populations and is often associated with inshore reefs (Mincarone and Stewart 2006, Mincarone and Fernholm 2010).<br/><br/>Of eight specimens examined by McMillan and Wisner (1984), a 655 mm female had about 50 large eggs ranging from 29-32 mm long. All were still in the mesentery and the terminal anchor filaments were not present on any egg.<br/><br/>The copulatory organ is absent in this species. The gonads of hagfishes are situated in the peritoneal cavity. The ovary is found in the anterior portion of the gonad, and the testis is found in the posterior part. The animal becomes female if the cranial part of the gonad develops or male if the caudal part undergoes differentiation. If none develops, then the animal becomes sterile. If both anterior and posterior parts develop, then the animal becomes a functional hermaphrodite. However, hermaphroditism being characterised as functional needs to be validated by more reproduction studies (Patzner 1998).",There is no information on type and scale of threats known about this species.,There is limited knowledge of this species' population. It is the most common hagfish species in Australia and New Zealand and can form locally abundant populations (Mincarone and Stewart 2006).,Unknown,"This species is present in eastern Australia from the south of the Great Barrier Reef Marine Park (off Curtis Island) to the eastern Bass Strait, from 100-760 m depth. It is also present around New Zealand, being most abundant around South Island at depths from 1-1,100 m (Mincarone and Fernholm 2010).",,Marine,"There are no conservation actions in place, but more research is needed on this species' biology, population size, distribution and fisheries impacts.","",,false,false,Global
4727887,155140,Paramyxine wayuu,Data Deficient,,2011,2009-11-11 00:00:00 UTC,3.1,English,"This species is known only from the holotype and paratype taken off the Caribbean coast of Colombia. More research is needed to determine this species distribution, population, habitat, ecology and any major threats. It is listed as Data Deficient.","This species is found on the upper slope at depths from 300-306 m. It is known only from two type specimens measuring 194-216 mm total length (TL) (Mok <em>et al.</em> 2001).<br/><br/>The copulatory organ is absent in this species. The gonads of hagfishes are situated in the peritoneal cavity. The ovary is found in the anterior portion of the gonad, and the testis is found in the posterior part. The animal becomes female if the cranial part of the gonad develops or male if the caudal part undergoes differentiation. If none develops, then the animal becomes sterile. If both anterior and posterior parts develop, then the animal becomes a functional hermaphrodite. However, hermaphroditism being characterised as functional needs to be validated by more reproduction studies (Patzner 1998).",There are no known direct threats to this species. Trawling occurs off the coast of Colombia but no bycatch data is known.,This species is known only from the holotype and paratype.,Unknown,"This species is known only from the Guajira coast near Puerto Bolivar, Colombia in the Caribbean Sea (Mok <em>et al.</em> 2001).",,Marine,"There are no conservation measures in place, but more research is needed on this species' biology, population size, distribution and the impact of fishing activity.","",,false,false,Global
8988080,196057,Myxine glutinosa,Least Concern,,2011,2009-11-12 00:00:00 UTC,3.1,English,"This species is abundant and has a wide distribution from North America to Europe. A fishery is in place in the Gulf of Maine and statistics suggest that catch per unit effort (CPUE) and population abundance have locally decline. However, this fishery operates in only 5-10% of its range, and there is no indication of widespread population decline throughout the species distribution. It is listed as Least Concern. Given its commercial importance, current and future fisheries for this species should be carefully monitored.","This species is found on shelves and slopes at depths from 40-1,100 m (eastern North Atlantic) and from 75-742 m depth (western North Atlantic). The maximum depth record (1,006 m) given by Wisner and McMillan (1995) for western North Atlantic population was based on a single specimen (ISH 431-1986) recently reidentified as <em>Myxine jespersenae</em>, which was in fact collected off southeastern Iceland (Møller <em>et al.</em> 2005). The sex ratio of females and males in the samples analyzed by Martini <em>et al.</em> (1997) was highly skewed, at 9.8:1, which is typical for the species as a whole. The paucity of males in population on both sides of the Atlantic has long been recognized, but it remains unexplained.<br/><br/>This species is found on muddy bottoms where they hide in the mud. Slime is utilized for defence and it feeds chiefly on dead and dying fish of varying species by boring into the body and consuming viscera and musculature. The species is chiefly nocturnal.  Its eggs are few in number about 19-30 mm and large (20-25 mm), the horny shell has a cluster of anchor-tipped filaments at each end. The copulatory organ is absent in this species. The gonads of hagfishes are situated in the peritoneal cavity. The ovary is found in the anterior portion of the gonad, and the testis is found in the posterior part. The animal becomes female if the cranial part of the gonad develops or male if the caudal part undergoes differentiation. If none develops, then the animal becomes sterile. If both anterior and posterior parts develop, then the animal becomes a functional hermaphrodite. However, hermaphroditism being characterised as functional needs to be validated by more reproduction studies (Patzner 1998).","Data on the developing fishery on the western Atlantic population of <em>M. glutinosa</em> has been collected by the National Marine Fisheries Service (NMFS) and by the New England Fisheries Development Association (NEFDA) (Martini and Flescher 2002). In 1991, two boats made 32 trips over an 8-month period. During 1993, some 890,000 lb of hagfish were landed at Gloucester, Sandwich, Hampton, and Stonington. During 1994, five boats were involved in full-time hag fishing and made a total of 796 trips. Catches rose during 1997-1999, totalling 11.5 million lb and generating approximately US $3.3 million. Over the period 1991-1996, roughly 50 million hagfish were processed and shipped overseas; during 1997-1999, that number grew to roughly 212 million. Hagfish shorter than 500 mm, the minimum length suitable for leather, are discarded into the surface waters, where they quickly become moribund. On some trips, over 50% of the catch was discarded as unmarketable. Under these conditions the number of individuals removed from the environment would be more than twice the number landed ashore.  It is not known what effects such a decline will have on the benthic ecology. However, from a regulatory perspective it is obviously difficult to set defensible quotas or guidelines for a fishery when virtually nothing definitive is known about the size of the population, their reproductive potential, their individual growth rates, or their longevity.<br/><br/>In the Gulf of Maine (GOM), Atlantic hagfish are caught using modified 55-gallon plastic barrels, called hagfish pots, attached to sinking line and buoys. Typically 20-40 traps are deployed in a string for a small commercial vessel and 80-200 traps for larger vessels (NEFSC 2003). A series of funnelled holes in the side of the barrel allow hagfish to enter the baited pot but doesn’t allow them to escape. Several rows of 3/8” holes allow smaller animals to escape the traps.<br/><br/>Reporting of Atlantic hagfish landings is presently not required by law and fishery data are therefore incomplete. Atlantic hagfish landings first appear in the NEFSC commercial database in 1993 with a reported landing of approximately 500 metric tons. Annual reported landings during 1994-2000 ranged between 1,100 and 3,000 metric tons with a peak in 2000 (Keith 2006). <br/><br/>Reported commercial hagfish trips ranged from 94 trips in 1994 to 863 trips in 1996 and averaged slightly above 400 trips per year during 1994-2000. Landings during 2001 to 2005 have ranged from 700-1,300 metric tons per year. Trips targeting Atlantic hagfish declined after 2001, averaging 253 per year (Keith 2006) NMFS Logbook database indicated that the number of vessels in the hagfish fishery peaked at 23 vessels in 1996 and 22 vessels in 2000 (Keith 2006). Since 2000 there has been a steady decline of vessels reporting landings, with only six vessels reporting in 2005.<br/><br/>A data collection program has been proposed for Atlantic Hagfish by NMFS requiring seafood dealers to acquire permits and report on the purchase of hagfish made from commercial fishing vessels to aid in the future management of this species (Federal Register 2006, Keith 2006).",This species is known to be very abundant and has a large distribution.,Unknown,"There are two populations from the North Atlantic Ocean of this species. In the eastern North Atlantic, from Murmansk (Russia) to northern Morocco, and the western Mediterranean Sea (north Morocco, Algeria, and northern Adriatic Sea, but probably occurs along all coastal regions of western Mediterranean). In the western North Atlantic, from Greenland to Florida, including a few records in the Gulf of Mexico (off Yucatán and Florida).",,Marine,"While not actively managed, the Gulf of Maine Hagfish fishery is in the process of being regulated. A data collection program has been proposed for the species by NMFS requiring seafood dealers to acquire permits and report on the purchase of hagfish made from commercial fishing vessels to aid in the future management of this species. Furthermore, given its commercial importance, current and future fisheries for this species should be carefully monitored.","",,false,false,Global
8989438,196058,Myxine hubbsi,Least Concern,,2011,2009-11-12 00:00:00 UTC,3.1,English,"This species is widespread in the Eastern Pacific, and is considered common. Although there may be some deep-sea trawl fisheries operating within at least part of the depth and distributional range of this species, there is no current indication of widespread population decline. It is listed as Least Concern.","This is a deep-sea species living on the lower slopes and abyssal plains at depths from 1,100-2,440 m (Wisner and McMillan 1995). The sex ratio of the specimens examined by Wisner and McMillan (1995) was extremely unbalanced. Of 150 specimens sexed 114 (76%) were females, 35 (23%) hermaphroditic and six (0.4%) males. From 7-15 large eggs, ranging between 17 x 6 mm and 24 x 8 mm, occur in eight females (415-450 mm); all other females have small eggs. The largest number of eggs (15) was in a female of 440 mm.<br/><br/>The copulatory organ is absent in this species. The gonads of hagfishes are situated in the peritoneal cavity. The ovary is found in the anterior portion of the gonad, and the testis is found in the posterior part. The animal becomes female if the cranial part of the gonad develops or male if the caudal part undergoes differentiation. If none develops, then the animal becomes sterile. If both anterior and posterior parts develop, then the animal becomes a functional hermaphrodite. However, hermaphroditism being characterised as functional needs to be validated by more reproduction studies (Patzner 1998).",There are no known direct threats to this species but it is potentially vulnerable to deep sea trawling activity in same parts of its depth and distributional range.,This species is a deep-water species that is abundant across a wide range. Actual population levels are known from 150 museum specimens.,Unknown,"This species is located in the eastern Pacific, from 33°N to 22°S. It can be found off North America, from San Diego (USA) to Baja California Sur (Mexico); off Central America, south of Nicoya Peninsula (Costa Rica); and off South America, from Talara (Peru) to about Tocopilla (Chile).",,Marine,"There are no conservation measures in place, but more research is needed on this species' biology, population size, distribution and impact of deep-sea trawling activities on the species (bycatch) and its habitats.","",,false,false,Global
8989868,196059,Myxine hubbsoides,Data Deficient,,2011,2009-11-11 00:00:00 UTC,3.1,English,"These species is only known from three type specimens collected off the coast of Chile. It's known restricted distribution likely overlaps with bottom trawling activities. It is listed as Data Deficient. More information is needed on this species distribution, population status, life history, biology, and impact of any potential major threats.","This species is found on the lower continental slope at depths from 735-820 m.<br><br>The copulatory organ is absent in this species. The gonads of hagfishes are situated in the peritoneal cavity. The ovary is found in the anterior portion of the gonad, and the testis is found in the posterior part. The animal becomes female if the cranial part of the gonad develops or male if the caudal part undergoes differentiation. If none develops, then the animal becomes sterile. If both anterior and posterior parts develop, then the animal becomes a functional hermaphrodite. However, hermaphroditism being characterised as functional needs to be validated by more reproduction studies (Patzner 1998).","There are no known direct threats and bottom trawling activities along the continental slope in Chile have almost ceased, likely due to a collapse of the shallow water fisheries. While this species prefers deeper water it was likely vulnerable to historical bottom trawling activities.  Mid-water fishing continues but this is not a threat to this species (R. Melendez pers. comm.).  While the fishing threat has ceased, past activities may have significantly reduced the population through bycatch incidences and habitat destruction.",The population of this species is only known from three type specimens taken off the central coast of Chile (Wisner and McMillan 1995).,Unknown,"This species is known only off central Chile, between Navidad and Punta Topocalma (Wisner and McMillan 1995).",,Marine,"Chile has recently passed a bill to ban bottom trawling in vulnerable marine ecosystems, such as deep seamounts, but it is not likely that this ban covers the known distribution of this species. More research is needed on this species' biology, population size, distribution and potential threats.","",,false,false,Global
8989969,196060,Myxine ios,Least Concern,,2011,2009-11-12 00:00:00 UTC,3.1,English,"This species is only known from a few deep water specimens off the coast of Ireland, West Africa, and Angola. There are no known threats to this species. However, it may be caught in bottom trawling fisheries within its range. It is listed as Least Concern. More research is needed on this species distribution, population, biology, life history, and potential threats, especially as this species has an unknown distribution and is potentially susceptible to deep-sea trawling along the continental slope. There are questions regarding whether the Irish population is the same species as the African population.","The Irish specimens were caught in semi-balloon otter trawls on the Porcupine Seabight, an amphitheatre-shaped embayment in the continental margin to the southwest of Ireland, at depths from 985-1,650 m (Merrett <em>et al.</em> 1991, Massutí <em>et al.</em> 2004). The bottom water temperatures from two Irish capture localities were 4.7°C and 6.2-6.4°C, and the associated fauna and collection data suggest that the bottom substrate was soft mud. A list of 118 species of fishes taken from Porcupine Seabight (including <em>M. ios</em>) was provided by Merrett <em>et al.</em> (1991).<br><br>The West African specimens were collected in baited traps on the lower slope at depths from 614-976 m (Fernholm 1981). Angolan specimens were trawled on the lower slope at depths from 703-734m.<br><br>All the West African material was caught in March and contains no ripe individuals (largest maturing eggs found are 5-9 mm) and the Irish material contains a recently spawned female captured in July and males appearing ripe in June and July (Fernholm 1981). <br><br>This species consists of scavengers which are found on muddy bottoms and feed largely on dead or disabled fish by boring into its skin. Its eggs are few and large (20-30 mm). The copulatory organ is absent in this species. The gonads of hagfishes are situated in the peritoneal cavity. The ovary is found in the anterior portion of the gonad, and the testis is found in the posterior part. The animal becomes female if the cranial part of the gonad develops or male if the caudal part undergoes differentiation. If none develops, then the animal becomes sterile. If both anterior and posterior parts develop, then the animal becomes a functional hermaphrodite. However, hermaphroditism being characterised as functional needs to be validated by more reproduction studies (Patzner 1998).",There are no known direct threats to this species but its currently known distribution range overlaps with areas where deep-sea trawling occurs (Ireland and West Africa).,This population is only know from a few museum specimens collected from locations along the Eastern Atlantic from Ireland and the coast of Angola.,Unknown,"This species is known from two populations as defined by Fernholm (1981). The Irish population is mainly known from Porcupine Seabight, southwestern Ireland. The West African population is known off Western Sahara, from Cap Boujdour to Cap Blanc. Two specimens were recently trawled off Angolan waters and they present the same characters as those from Western Sahara (Tweddle and Anderson 2008, Mincarone unpublished data).",,Marine,"There are no conservation measures in place, but more research is needed on this species' biology, population size, distribution and impact of deep-sea trawling activities.","",,false,false,Global
8990088,196061,Myxine jespersenae,Least Concern,,2011,2009-12-11 00:00:00 UTC,3.1,English,"This species is only known from a few deep water specimens taken in the North Atlantic. There are no known threats to this species. However, may be caught in bottom trawling fisheries within its range. It is listed as Least Concern. More research is needed on this species distribution, population, biology, life history, and potential threats, especially as there are few records to understand its distribution and the species was only described in 2005. It has likely been previously mistaken for <em>Myxine glutinosa</em> in bycatch and scientific survey records.","This species is usually taken from muddy bottoms and cold waters (3.7-4.7°C) on the lower slope at depths from 752-1,556 m. According to Møller <em>et al.</em> (2005), the eggs of a single damaged female were in various stages of maturation, elliptical, up to 23.6 x 8.5 mm. All eggs were in mesenteries and no anchor filaments were found (Moller <em>et al.</em> 2005).",There are no known direct threats to this deep water species. There are deep water fisheries active within the currently known distribution range but no records are being reporting from by-catch incidences. This is likely due to this species being lumped with <em>Myxine glutinosa</em> as by-catch since the species was only described in 2005.,This population is only known from a few type specimens collected at 17 locations.,Unknown,"This species is known from the North Atlantic, eastern Davis Strait, Denmark Strait, Reykjanes Ridge, and southeast of Iceland. The disjunctive distribution is a result of a very limited sampling effort in the waters around southern Greenland (Møller <em>et al.</em> 2005).<br><br>It occurs sympatrically with <em>Myxine glutinosa</em>, although with a rather limited overlap in vertical distribution (752-1556 vs. 64-782 m) and no documented capture of both species in the same haul or trap exists.",,Marine,"There are no conservation measures in place, but more research is needed on this species' biology, population size, distribution and impact of deep-water trawling activities.","",,false,false,Global
8990335,196071,Nemamyxine elongata,Data Deficient,,2011,2009-11-11 00:00:00 UTC,3.1,English,"This species  is only known from two shallow water specimens taken around New Zealand, where extensive fishing occurs. It is listed as Data Deficient. More research is needed on this species distribution, population, biology, life history, and the potential impact of fishing activities within its assumed restricted and shallow water range.","The two known specimens were collected from very different sites in New Zealand. The holotype was obtained from a white-baiter fishing 150 yards (137 m) upstream from the mouth of the Kaituna River, Bay of Plenty, North Island. The Kaituna is a small river that widens into an estuary near its mouth and is strongly under tidal influence (Richardson 1958, McMillan and Wisner 1982). The second specimen (NMNZ P.37198) was recently trawled by a fishing vessel at 44°20.3'S, 172°00.5'E, 132 m depth, on the outer shelf off north Canterbury Bight, South Island (Mincarone and Stewart 2006).<br><br>This is an insular species, endemic to New Zealand. It is an extremely elongated, black-pigmented species. The copulatory organ is absent in this species. The gonads of hagfishes are situated in the peritoneal cavity. The ovary is found in the anterior portion of the gonad, and the testis is found in the posterior part. The animal becomes female if the cranial part of the gonad develops or male if the caudal part undergoes differentiation. If none develops, then the animal becomes sterile. If both anterior and posterior parts develop, then the animal becomes a functional hermaphrodite. However, hermaphroditism being characterised as functional needs to be validated by more reproduction studies (Patzner 1998).",There are no known direct threats to this species. Fishing activity is present at the locations where specimens were recorded.,The population of this species is only known from two museum specimens.,Unknown,This species is known only from two museum specimens but is considered to be insular and endemic to New Zealand (Mincarone and Stewart 2006).,,Marine,"There are no conservation measures in place, but more research is needed on this species' biology, population size, distribution and the impact of fishing activities.","",,false,false,Global
8990430,196072,Nemamyxine kreffti,Near Threatened,,2011,2009-11-11 00:00:00 UTC,3.1,English,"This relatively shallow hagfish species is only known from Argentina, Uruguay and Brazil, and has an extent of occurrence of approximately 30,000 km². Multi-species trawling fisheries occur throughout this species distribution and depth range. It is caught as bycatch and is experiencing habitat decline from these trawling activities. Currently its global status is listed as Near Threatened.<br/><br/>In Brazil, this species is only known from two specimens. Although bottom trawling is occurring throughout its known range in Brazil, more information is needed to determine this species population status and distribution. Therefore in Brazil it has a regional status of Data Deficient.","This species is usually taken on muddy and sandy bottoms of the continental shelf and slope at depths from 80-800 m. All known specimens were caught in winter months, between May and August, a period of lower water temperature in the western South Atlantic, mainly due to the Malvinas Current influence (Mincarone 2001). The species is known only from seven specimens (279-493 mm total length (TL)), of which three are immature females, two males, and two were not possible to determine the sex. The holotype is a young female 366mm with very small eggs ranging in length from 0.1-1.5 mm. The other two females measuring 350 and 376 mm have several small eggs in initial stage of development ranging from 0.4-2.5 mm in length. Of the two males (292-493 mm), only the largest one is mature.<br><br>The copulatory organ is absent in this species. The gonads of hagfishes are situated in the peritoneal cavity. The ovary is found in the anterior portion of the gonad, and the testis is found in the posterior part. The animal becomes female if the cranial part of the gonad develops or male if the caudal part undergoes differentiation. If none develops, then the animal becomes sterile. If both anterior and posterior parts develop, then the animal becomes a functional hermaphrodite. However, hermaphroditism being characterised as functional needs to be validated by more reproduction studies (Patzner 1998).","This species is threatened by habitat loss and direct capture from extensive shallow water trawlers that target multiple species as well as hake and shrimp, and are active within the species' distribution and depth range.",The population of this species is only known from seven specimens. Half of these specimens were caught as by-catch and half were caught by research vessels. The last record specimen dates back to 1995 and the area has been extensively surveyed and therefore it can be presumed that the species is uncommon.,Unknown,"This species is located in the western South Atlantic, from southern Brazil (off Rio Grande do Sul) to northern Argentina (off the La Plata River). Only two specimens were collected off Brazil and the remainder have been collected further south off of Uruguay and Argentina (Mincarone 2001).",,Marine,"There are no conservation measures in place, but more research is needed on this species' biology, population size, distribution and the impact of shallow water trawling activities.","",,false,false,Global
