internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
154797,Eptatretus mendozai,ANIMALIA,CHORDATA,MYXINI,MYXINIFORMES,MYXINIDAE,Eptatretus,mendozai,,,,,"Hensley, 1985","Fernholm and Hubbs (1981) discussed and presented a photograph of a specimen (USNM 218400) named ""<em>Eptatretus</em> sp. C"" off the north coast of Haiti, which they were hesitant to describe as new until more material become available. Hensley (1985) re-examined this specimen and concluded that, in spite of some meristic variations, it could be identified as <em>E. mendozai</em>."
154825,Eptatretus cirrhatus,ANIMALIA,CHORDATA,MYXINI,MYXINIFORMES,MYXINIDAE,Eptatretus,cirrhatus,,,,,"(Forster, 1801)",
155140,Paramyxine wayuu,ANIMALIA,CHORDATA,MYXINI,MYXINIFORMES,MYXINIDAE,Paramyxine,wayuu,,,,,"(Mok, Saavedra-Diaz &amp; Acero P., 2001)","Fernholm treats the genus <span style=""font-style: italic;"">Paramyxine </span>Dean, 1908 as a synonym of <span style=""font-style: italic;"">Eptatretus </span>Cloquet 1819 (Fernholm 1998, Fernholm and Quattrini 2008), while other authors treat <span style=""font-style: italic;"">Paramyxine </span>as a valid genus (Wisner 1999, McMillan and Wisner 2004, Kuo <span style=""font-style: italic;"">et al</span>. 2010). Eschmeyer and Fricke (2011) follow Fernholm's advice on this and place all <span style=""font-style: italic;"">Paramyxine </span>species within <span style=""font-style: italic;"">Eptatretus</span>. This results in some duplicate names: <span style=""font-style: italic;"">E. wisneri</span> McMillan 1999 and <span style=""font-style: italic;"">E. wisneri </span>(Kuo, Huang & Mok 1994) (formerly <span style=""font-style: italic;"">Paramyxine wisneri </span>Kuo, Huang & Mok 1994); and <span style=""font-style: italic;"">E. fernholmi</span> McMillan & Wisner, 2004 and <span style=""font-style: italic;"">E. fernholmi </span>(Kuo, Huang & Mok, 1994) (formerly <span style=""font-style: italic;"">Paramyxine </span>fernholmi Kuo, Huang & Mok, 1994). To resolve this issue, both <span style=""font-style: italic;"">E. wisneri </span>McMillan 1999 and <span style=""font-style: italic;"">E. fernholmi </span>McMillan & Wisner, 2004, as the more recent descriptions, need to be renamed.<br/>   <br/>   The current IUCN Red List retains the genus <span style=""font-style: italic;"">Paramyxine </span>until the above taxonomic work has been completed."
196057,Myxine glutinosa,ANIMALIA,CHORDATA,MYXINI,MYXINIFORMES,MYXINIDAE,Myxine,glutinosa,,,,,"Linnaeus, 1758","According to Fernholm and Wheeler (1983), four specimens in the Naturhistoriska Riksmuseet (Swedish Museum of Natural History) are probably the original material examined by Linnaeus (1758) to describe the species and they should be accorded type status.
<br>
<br>The western North Atlantic population was at one time assigned to a separate species, <i>Myxine limosa</i> Girard (1859),  and Wisner and McMillan (1995) suggested a return to this practice based on differences in size at maturity (eastern North Atlantic are smaller) and colour differences in preserved specimens. In the absence of other supporting morphological data, these features seem insufficient to justify dividing the eastern and western Atlantic populations into separate species (Martini <i>et al.</i> 1998, Martini and Flescher 2002). More conclusive studies involving morphological and molecular data are necessary to resolve this taxonomic question."
196058,Myxine hubbsi,ANIMALIA,CHORDATA,MYXINI,MYXINIFORMES,MYXINIDAE,Myxine,hubbsi,,,,,"Wisner &amp; McMillan, 1995",
196059,Myxine hubbsoides,ANIMALIA,CHORDATA,MYXINI,MYXINIFORMES,MYXINIDAE,Myxine,hubbsoides,,,,,"Wisner &amp; McMillan, 1995",
196060,Myxine ios,ANIMALIA,CHORDATA,MYXINI,MYXINIFORMES,MYXINIDAE,Myxine,ios,,,,,"Fernholm, 1981","<em>Myxine ios</em> is known from two populations as defined by Fernholm (1981). The Irish population is mainly known from Porcupine Seabight, southwestern Ireland (Fernholm 1981, Merrett&#160;<em>et al.</em>&#160;1991, Priede&#160;<em>et al.</em>&#160;1994). The West African population is known off Western Sahara, from Cap Boujdour to Cap Blanc (Fernholm 1981). Two specimens were recently trawled off Angolan waters and they present very similar characters to those of the Western Sahara population (Tweddle and Anderson 2008). The populations differ slightly in coloration (Fernholm 1981), and it is unknown if they may represent separate species.<br/>According to Møller&#160;<em>et al.</em>&#160;(2005), some records of&#160;<em>M. ios</em>&#160;from the Denmark Strait (Fernholm and Vladykov 1984) and West Greenland (collected by Jørgensen in 2003) might belong to&#160;<em>M. jespersenae</em>."
196061,Myxine jespersenae,ANIMALIA,CHORDATA,MYXINI,MYXINIFORMES,MYXINIDAE,Myxine,jespersenae,,,,,"Møller, Feld, Poulsen, Thomsen &amp; Thormar, 2005",
196071,Nemamyxine elongata,ANIMALIA,CHORDATA,MYXINI,MYXINIFORMES,MYXINIDAE,Nemamyxine,elongata,,,,,"Richardson, 1958",
196072,Nemamyxine kreffti,ANIMALIA,CHORDATA,MYXINI,MYXINIFORMES,MYXINIDAE,Nemamyxine,kreffti,,,,,"McMillan &amp; Wisner, 1982",
196074,Neomyxine biniplicata,ANIMALIA,CHORDATA,MYXINI,MYXINIFORMES,MYXINIDAE,Neomyxine,biniplicata,,,,,"(Richardson &amp; Jowett, 1951)",The specimen FMNH 61897 was erroneously listed as a paratype by Ibarra and Stewart (1987). The species was originally described by Richardson and Jowett (1951) as <i>Myxine biniplicata</i> based on a 315 mm dissected female and a second small and damaged specimen measuring approximately 163 mm total length (TL).
196076,Notomyxine tridentiger,ANIMALIA,CHORDATA,MYXINI,MYXINIFORMES,MYXINIDAE,Notomyxine,tridentiger,,,,,"(Garman, 1899)","The three foremost teeth confluent at the base is given by Günther (1870) as a character of <i>M. australis</i> (but occurs in only one 490 mm specimen from Sandy Point, which was selected by Regan (1913) as the lectotype of <i>M. tridentiger</i>. Based on the recent examination of all type series, the paralectotypes BMNH 1868.6.15.5-6 from Sandy Point (Punta Arenas) were re-identified as <i>Myxine affinis</i>, and paralectotypes BMNH 1868.9.16.12-13 from Tyssen Islands as <i>Myxine knappi</i> (Mincarone unpublished data)."
