internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
10041,Heosemys annandalii,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,GEOEMYDIDAE,Heosemys,annandalii,,,,,"(Boulenger in Annandale &amp; Robinson, 1903)",Appeared on IUCN Red Lists prior to 2007 under the generic name <i>Hieremys</i>.
10803,Iguanognathus werneri,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Iguanognathus,werneri,,,,,"Boulenger, 1898",Known from the type specimen only.
10825,Indotestudo forstenii,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,TESTUDINIDAE,Indotestudo,forstenii,,,,,"(Schlegel &amp; Müller, 1845)",
10950,Pangshura sylhetensis,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,GEOEMYDIDAE,Pangshura,sylhetensis,,,,,"Jerdon, 1870","<p>Traditionally placed in the genus <em>Kachuga</em>, it was assigned to the subgenus <em>Pangshura</em> by Moll (1987); <em>Pangshura</em> was elevated to genus level by Das (2001).&#160;</p>"
12124,Lissemys scutata,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,TRIONYCHIDAE,Lissemys,scutata,,,,,"(Peters, 1868)",
12695,Malaclemys terrapin,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,EMYDIDAE,Malaclemys,terrapin,,,,,"(Schoepff, 1793)","Seven subspecies are generally accepted (TTWG 2017): <br/> <em><br/></em><em>Malaclemys terrapin terrapin</em>&#160;(Schoepff, 1793) - Northern Diamondback Terrapin<em><br/>Malaclemys terrapin centrata</em> (Latreille in Sonnini and Latreille, 1801) - Carolina Diamondback Terrapin <br/><em>Malaclemys terrapin littoralis</em>&#160;Hay, 1905 - Texas Diamondback Terrapin<br/> <em>Malaclemys terrapin macrospilota</em>&#160;Hay, 1905 - Ornate Diamondback Terrapin <br/> <em>Malaclemys terrapin pileata</em> (Wied, 1865) - Mississippi Diamondback Terrapin<br/> <em>Malaclemys terrapin rhizophorarum</em> Fowler, 1906 - Mangrove Diamondback Terrapin<br/> <em>Malaclemys terrapin tequesta</em> Schwartz, 1955 - Eastern Florida Diamondback Terrapin<br/><br/>These subspecific designations of terrapins were based on morphological characteristics (Carr 1952). However, molecular studies indicate that the morphological subspecific designations do not match well with the range-wide genetic differentiation, suggesting fewer independent lineages. Lamb and Avise (1992) first suggested two subpopulations that diverged near Jacksonville, Florida. More recent work using microsatellites suggested that five genetically distinct terrapin management units exist throughout the range (Hart <em>et al</em>. 2014). One unfortunate consequence of the previous heavy trade and farming of terrapins was the transport of individuals among populations, and the genetic signature of those translocations can still be detected today (Hauswaldt and Glen 2005; Converse <em>et al</em>. 2017; Converse and Kuchta 2018). A more thorough range-wide molecular study using more populations and loci is sorely needed to resolve the phylogenetic relationships and update the taxonomy of <em>Malaclemys</em>."
12696,Malacochersus tornieri,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,TESTUDINIDAE,Malacochersus,tornieri,,,,,"(Siebenrock, 1903)","<p><span class=""s1"">Lindholm (1929) recognized <em>Testudo tornieri</em>&#160;Siebenrock, 1903 as the type of a new genus, for which he established the name <em>Malacochersus</em>. The genus is monotypic, with only one species currently<em> </em>recognized. Genetic studies have demonstrated that <em>Malacochersus</em> is most closely related to Asian <em>Indotestudo</em> and Eurasian <em>Testudo</em> (Le <em>et al</em>. 2006; Parham <em>et al</em>. 2006; Fritz and Bininda-Emonds 2007). Phylogeographic studies of the species have not yet been realized, but are clearly needed in view of its disjunct distribution. Vernacular names used for the species in East African Kiswahili are Kobe ya Mawe and Kobe kama Chapati.</p>"
12775,Manouria impressa,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,TESTUDINIDAE,Manouria,impressa,,,,,"(Günther, 1882)",
13038,Melanochelys tricarinata,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,GEOEMYDIDAE,Melanochelys,tricarinata,,,,,"(Blyth, 1856)",
13039,Melanochelys trijuga,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,GEOEMYDIDAE,Melanochelys,trijuga,,,,,"(Schweigger, 1812)","Six or seven subspecies are widely recognised: <em>Melanochelys trijuga trijuga</em> (Schweigger, 1812); <em>M. t. coronata</em> (Anderson, 1879); <em>M. t. edeniana</em> (Theobald, 1876); <em>M. t. indopeninsularis</em> (Annandale ,1913); <em>M. t. parkeri</em> (Deraniyagala, 1939); <em>M. t. thermalis</em> (Lesson, 1830).&#160;Subspecies <em>wiroti</em> (Reimann in Nutaphand, 1979) was synonymized with<em> M. t. edeniana.&#160;</em>The colour and size is considered as criteria for subspecies differentiation (Deraniyagala 1939, Das 1995, Das and Bhupathy 2009). The head of <em>M. trijuga thermalis</em> is highly ornamented with either red, orange, or yellow spots or blotches. During a study of 76 live <em>M. t. thermalis</em> from 19 different localities in Sri Lanka a high percentage (76.%) of specimens had orange, red, yellow and brown patches on the head. Head ornamentation was common and distinct in young (Abeysekera <em>et al</em>. 2015).<br/><br/>There are many Sinhala names for the species which vary according to the province. However, the widely used name is the Gal Ibbā, (= rock terrapin). The others are Goo Ibbā (= ordure terrapin), Diya kukula (= water fowl), Thumba Ibbā (= small terrapin), valan Ibbā (= pot terrapin) and mada kakkutta (= mud crab).&#160;In Tamil it is known as Karuppu Amai (= Black terrapin), Kal amai (= rock terrapin), Pee amai (= ordure terrapin), Tanni amai (= water terrapin)."
13873,Morenia ocellata,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,GEOEMYDIDAE,Morenia,ocellata,,,,,"(Duméril &amp; Bibron, 1835)",
13874,Morenia petersi,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,GEOEMYDIDAE,Morenia,petersi,,,,,"(Anderson, 1879)",
165594334,Natrix natrix,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,NATRICIDAE,Natrix,natrix,,,,,"(Linnaeus, 1758)","The&#160;<em>Natrix natrix&#160;</em>complex has long been treated as a single widespread species throughout Europe and temperate Asia. Numerous subspecies have traditionally been recognized; recent molecular evidence indicates that most of these are not supported genetically (Speybroeck&#160;<em>et al</em>. 2016), including the formerly recognized species <em>Natrrix megalocephala</em>,&#160;but that the grass snake forms three geographically discrete clusters, each of which has recently been recognized as distinct species:&#160;<em>Natrix astreptophora&#160;</em>(Iberia) (Porkrant&#160;<em>et al</em>. 2016),&#160;<em>N. helvetica&#160;</em>(northern and central Europe) (Kindler&#160;<em>et al</em>. 2017) and&#160;<em>N. natrix</em>. The taxonomy of grass snakes east of the range of <em>N. helvetica</em>, still included within <em>N. natrix</em>, remains unresolved."
14765,Nilssonia formosa,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,TRIONYCHIDAE,Nilssonia,formosa,,,,,"(Gray, 1869)",
