assessmentId,internalTaxonId,scientificName,redlistCategory,redlistCriteria,yearPublished,assessmentDate,criteriaVersion,language,rationale,habitat,threats,population,populationTrend,range,useTrade,systems,conservationActions,realm,yearLastSeen,possiblyExtinct,possiblyExtinctInTheWild,scopes
518549,136503,Plecotus sardus,Vulnerable,B2ab(iii),2016,2016-05-25 00:00:00 UTC,3.1,English,"This species is considered to be Vulnerable at the Global, European and EU 28 levels. It is restricted to forest fragments in Sardinia (Italy). Since this species was first identified in 2002, it has been captured in only three localities, two in the same National Park. The population is probably very small, although more localities will probably be discovered in the future. Forests in Sardinia sum up to less than 2,000 km<sup>2</sup>, and their quality is declining.","The Sardinian Long-eared Bat occurs in the most wooded areas parts of Sardinia, and roosts in natural caves. Two of the three known localities are situated in karstic areas, one locality lies near the sea coast (Mucedda <em>et al.</em> 2002). Artificial habitats are not used. It is a sedentary species.",Roost disturbance (as a result of tourism) and habitat loss (caused by forestry management) are the main threats to the species.,This species was first described in 2002 and is poorly known. It is considered to be rare.,Decreasing,The Sardinian Long-eared Bat (<em>Plecotus sardus</em>)&#160;is restricted to the island of Sardinia (Italy). The three known localities are situated near to the coast or at low elevations.,,Terrestrial,"It is protected by national legislation in most range states. There are also international legal obligations for its protection through the Bonn Convention (Eurobats) and Bern Convention. It is included in Annex IV of EU Habitats &amp; Species Directive. Two of the three known localities are in the National Park of Gennargentu and the Orosei Gulf. Recommended research actions include surveys and monitoring to determine distribution, status, and population trend. Protection of roosting and foraging habitat is also recommended.",Palearctic,,false,false,"Global, Europe & Mediterranean"
748508,157283,Chalcides ocellatus,Least Concern,,2021,2016-04-07 00:00:00 UTC,3.1,English,"This species is assessed as Least Concern in view of its wide distribution, tolerance of a broad range of habitats, presumed large population, and the absence of major threats.","This is a highly adaptable species that is often associated with arid to moist sandy, open areas or places with sparse scrub. It is found in coastal dunes and stabilized vegetated dunes further inland, and it is also found in orchards, vineyards, fields, oases, rural gardens and urban areas. This terrestrial species is found close to ground cover such as stones and vegetation. In West Africa it is found along the River Niger, in the Sahel and in the most humid areas of the Sahara, in areas with relatively dense vegetation (Trape <span style=""font-style: italic;"">et al.</span> 2012). It is largely nocturnal in the summer and diurnal in the winter. Females give birth to between two and six or seven fully formed live young. Animals feed on small insects (Trape <span style=""font-style: italic;"">et al.</span> 2012). The two known Turkmen localities are from montane situations, one from a small stream gorge.",There are no major threats to this species.,"It is a very common species in many parts of its range. Some sub-populations are expanding with land reclamation in arid areas, and the species is well able to colonize new areas wherever it is introduced. It is known from only two localities in Turkmenistan, each represented by a single specimen, one in the central Kopet Dagh Mountains and one on the Badkhyz Plateau.",Stable,"This very widespread species occurs in northern and northeastern Africa and West Asia, and in a few parts of southern Europe. In Africa, it ranges from central Mauritania and Western Sahara (where it is known from one Western Saharan and two, disjunct, Mauritanian records, but is presumed to be more widespread), southern, central and northeastern Morocco, Melilla and the Chafarinas Archipelago (Spain), through northern Algeria, Tunisia and northern Libya to northern Egypt, and south along the Nile Valley to Sudan. Isolated sub-populations are known from Mali, Chad, Niger, southern Algeria and Somalia. In West Asia it occurs in western and southern Turkey, western Syria, Lebanon, Israel, western and eastern Jordan, coastal parts of the Arabian Peninsula (in Saudi Arabia, Yemen, Oman, United Arab Emirates, Qatar, and Kuwait), and in Iraq, Iran, and southern Turkmenistan to western Pakistan. It is ""doubtfully indigenous"" in the latter two territories, and in coastal Iran (Sindaco and Jeremçenko 2008).&#160;In Europe, it is present in Italy (on the islands of Sardinia, Sicily, Lampedusa, Linosa, Lampione and Conigli; with mainland populations near to Naples), Malta, and a few parts of mainland Greece (and the islands of Crete, Chios, Kea, Euboea, Rhodes and Karpathos). It also occurs on Cyprus. It is found from sea level up to 2,500 m asl (Morocco). Records from Eritrea, Ethiopia and Kenya are now referred to other species. The isolated subpopulations in Mauritania's Adrar region, the Air Mountains, and in Mali along the Niger Loop are considered relictual (Trape <span style=""font-style: italic;"">et al.</span> 2012). An introduced population may have become established in the USA, where it was first collected in Florida in 1999 (Krysko <em>et al. </em>2011), and it is likely to have become established in Italy (Krauss 2009).","It is collected from the wild for the pet trade, but is also commonly bred in Europe for this purpose.",Terrestrial,"This species is listed on the Berne Convention. It occurs in a number of protected areas, including both of the known localities in Turkmenistan. It is in the Red Data Book for Turkmenistan. Research is needed to resolve the taxonomy of this possible species complex (S. Baha El Din pers. comm.).",Afrotropical|Indomalayan|Palearctic,,false,false,Global
1065489,164666,Cyrtopodion kachhense,Least Concern,,2021,2008-12-14 00:00:00 UTC,3.1,English,"Listed as Least Concern because it is widespread, common, and there is no evidence of threats or a substantial decline.","In Pakistan it has been recorded in dry, rocky places. It is generally not found in houses (Minton 1966). Its typical habitat is cliffs, dry areas and scrub, and it can also be found in caves.<br/><span class=""Apple-converted-space"">",There are not thought to be any threats other than localized stone quarrying.,"In Iran it is known only from a single, possibly translocated specimen. It is locally common in India, with no indication of decline (Vyas pers. comm. 2019). It was reported to be common in Kutch in the original description.",Unknown,"This species is distributed in Kutch, southeast of Sind (Pakistan) in immediately adjacent India, and coastal Las Bela in Pakistan. In Iran it is known from a single record from Bushire in Fars Province, which may be a misidentification or a translocated animal (Anderson 1999). There are records from Jessore and Chotila in Gujarat and Mount Abu in Rajasthan (Vyas pers. comm. 2019).",There is not suspected to be any substantial use or trade in this species.,Terrestrial,Further studies are needed into the record of this species from Iran.,Palearctic,,false,false,Global
1069502,164703,Tenuidactylus longipes,Least Concern,,2017,2016-04-05 00:00:00 UTC,3.1,English,"Listed as Least Concern in view of its wide distribution, presumed large population, it occurs in a number of protected areas, has a tolerance of a degree of habitat modification, and because it is unlikely to be declining.","It is found on rocky limestone, sandstone and volcanic hills (with pistachio savanna-type vegetation) and in caves (Ščerbak and Golubev 1986 [1996], Anderson 1999). It can be found in anthropogenic landscapes, but favours rocky situations and is not found in larger settlements or in cities.&#160;The females lay clutches of one or two eggs.",There are no major threats to this adaptable and widespread species as a whole. It is likely to occur in protected areas in Iran.,It is common within suitable habitat. &#160;The population is presumed to be stable.,Stable,"This species is present in eastern Iran (Khorasan and Baluchistan). It is thought likely to occur in Afghanistan, but Wagner <em>et al. </em>(2016) report only <em>Tenuidactylus voraginosus&#160;</em>for this country. It may occur further west in Iran, but data are lacking (R. Nazarov pers. comm. 2016). It occurs from 760 to 900 m asl.",There is no use or trade in this species.,Terrestrial,This species has been included in the USSR and Turkmenistan Red Data Books. It may be present in protected areas in Iran.,Palearctic,,false,false,Global
1350767,172606,Lycodon nympha,Least Concern,,2021,2010-08-24 00:00:00 UTC,3.1,English,"<span style=""font-style: italic;""></span><a name=""OLE_LINK8"">Listed as Least Concern because, </a>although it is seldom recorded, it has a relatively wide distribution, is tolerant of a broad range of habitats, and because no major threats have been identified.","This snake occurs&#160;in tropical dry deciduous forest from plains to low hills. In Odisha, a specimen was observed on a coconut tree (at 6 m) close to mangrove forest, in Bhitarkanika Wildlife Sanctuary, and is also known from within mangroves. In Sri Lanka it has been recorded from dry and intermediate forests, grassland and home gardens&#160;(M. Wickramasinghe pers. comm. 2019). It has been recorded from leaf litter. It is a nocturnal and an arboreal snake and reportedly a good climber (Whitaker and Captain 2004). It is often found in houses looking for gecko prey and their eggs (Whitaker and Captain 2004). It can also be found in caves and rock piles (Narayanan and Mohapatra pers. comm. 2019).","It is not known whether any threats to this species exist in India. It appears tolerant to a degree of habitat modification, however it is generally killed on sight by people when they encounter it (mistaking it for a venomous species). In Sri Lanka, it is impacted by loss and fragmentation of forest habitat (typically through conversion to agricultural use), and forest fires.","<span style=""font-style: italic;""></span>Although widespread, this species has been reported to be rare in areas where it occurs (Whitaker and Captain 2004). In India, there is no information on population trends, as it has been found only opportunistically (Ghosh pers. comm. 2019). It is an uncommon species in Sri Lanka with declining populations (M. Wickramasinghe pers. comm. 2019).",Decreasing,"This snake&#160;is endemic to India and Sri Lanka. In India, it is known from multiple localities in Tamil Nadu, Andhra Pradesh, Odisha, Karnataka and Kerala (Boulenger 1893, Ferguson 1895, Wall 1920, Whitaker and Captain 2004), and Pondicherry (A. Ghosh pers. comm. 2019). It is present throughout the dry zone of Sri Lanka&#160;(M. Wickramasinghe pers. comm. 2019). It is found at elevations of sea level to around 1,200 m asl. (N.S. Achyuthan pers. comm. 2019).",The species is not in use.,Terrestrial,"This species is listed on Schedule IV of the Indian Wildlife (Protection) Act, 1972. It occurs in many protected areas. Further survey work is needed to understand its taxonomy, distribution, biology, ecology, population status and threats.",Indomalayan,,false,false,Global
1424721,17602,Plecotus teneriffae,Vulnerable,"B1ab(iii,v)",2016,2016-04-25 00:00:00 UTC,3.1,English,"This species has an EOO of &lt; 20,000 km<sup>2</sup>&#160;and it is found&#160;on three, or possibly four, of the Canary Islands, which are each considered to be a single location based on the threat of habitat decline. It is linked to forest habitats that are shrinking, and recent declines have been recorded in the largest known breeding colony. For these reasons, it is classified as Vulnerable (VU B1ab(iii,v)).","The Canary Big-eared Bat (<em>Plecotus teneriffae</em>) is highly associated with woodland habitats (coniferous and mixed), although it occasionally forages in more open and arid areas. Its diet consists primarily of moths. Recorded roost sites include volcanic tubes, caves, and crevices in abandoned buildings (<span lang=""EN-US"">Trujillo 2002). Tree holes and bat or bird boxes are never used (Benzal and Fajardo 1999). The La Palma maternity colony is located in a natural cave. This species is considered to be sedentary (Fajardo and Benzal  2002 in Hutterer <em>et al.</em> 2005).","<span lang=""EN-US"">The population declined in the 1950s after aerial fumigation for pest control. Current threats include <span lang=""EN-US"">disturbance of colonies in their roosts,<span lang=""EN-US""> use of pesticides on agricultural land near to the forests, loss of woodland habitat, restoration of buildings and the destruction of roost sites (<span lang=""EN-US"">Trujillo 2002<span lang=""EN-US"">). The recent decline of the La Palma maternity colony has been attributed to disturbance, and it is known that at least one individual from this colony has been taken by private collectors (<span lang=""EN-US"">Trujillo 2002<span lang=""EN-US"">).</span></span></span>","Summer colonies usually consist of 10-30 females (the maximum number recorded is 61). Winter clusters are usually small (c.10 animals), and the species often roosts solitarily at this time of year. There are only two known breeding colonies (on La Palma and Tenerife respectively). The larger of these two (the La Palma colony) has declined in number in recent years (Trujillo 2002).",Decreasing,"The Canary Big-eared Bat&#160;is endemic to the Canary Islands (Tenerife, La Palma, El Hierro and probably also La Gomera), where its Area of Occurrence is less than 3,000 km<sup>2</sup>. It occurs at elevations between 100 and 2,300 m (<span lang=""EN-US"">Trujillo 2002).",,Terrestrial,It is protected by national legislation in Spain. There are also international legal obligations for its protection through the Bonn Convention (Eurobats) and Bern Convention. It is included in Annex IV of EU Habitats &amp; Species Directive. A bat protection programme aimed at protecting caves used as roost sites from human disturbance was instigated in 1993 (Benzal and Fajardo 1999). Protection of the species' woodland foraging habitat is also recommended (Trujillo 2002).,Palearctic,,false,false,"Global, Europe & Mediterranean"
1437330,176287,Petropedetes vulpiae,Least Concern,,2020,2019-04-11 00:00:00 UTC,3.1,English,"<p><a name=""OLE_LINK23""></a><a name=""OLE_LINK17""></a><a name=""OLE_LINK16"">Listed as Least Concern in view of its wide distribution, and presumed large population.</a></p>","The species has been found close to streams in forests and gallery forests. Some individuals were found in a cave with a small current, where they hid in small holes between rocks (Perret and Mertens 1957 in Barej <em>et al.</em> 2010). Eggs are deposited on moist surfaces on rocks, and males seem to guard the eggs at night (Amiet 1991 in Barej <em>et al</em>. 2010).","The extent and quality of its habitat is declining due to increasing human habitation, expanding agriculture, including cocoa, palm, banana plantations, both industrial and subsistence-scale logging, and degradation of its aquatic habitat due to agricultural runoff of herbicides and pesticides (N. Gonwouo, M. Barej and M. Hirschfeld pers. comm. June 2012).<span style=""font-style: italic;""><br/></span>","Due to ongoing decline in the extent and quality of habitat, the population is suspected to be decreasing.<strong><br/></strong>",Decreasing,"This species occurs from eastern Nigeria, through Cameroon and Equatorial Guinea,  to southern Gabon and northern Republic of Congo, between 315-1,000 m asl (Barej <em>et al</em>. 2010 and references therein). Some records from Cameroon, Equatorial Guinea and Gabon were previously thought to belong to&#160;<em>Petropedetes newtonii&#160;</em>but, following genetic and morphological analysis, they were assigned to this species<em>&#160;</em>(Barej <em>et al.</em> 2010).","<p><span lang=""EN-US"">There are no records of this species being utilized.</p>",Terrestrial|Freshwater (=Inland waters),"<strong><em>Conservation Actions</em></strong><br/>No specific conservation actions are currently known for this species, but it does occur in Bakossi Hills National Park and other proposed protected areas, and possibly Campo - Ma'an National Park (N. Gonwouo pers. comm. June 2012).&#160;<br/><br/><strong><em>Research Needed</em></strong><br/>More research is needed on this species' distribution, population size and natural history.",Afrotropical,,false,false,Global
1441864,176621,Boiga forsteni,Least Concern,,2021,2011-01-19 00:00:00 UTC,3.1,English,"<em></em>Listed as Least Concern in view of its wide distribution, presumed large overall population, and because it occurs in a number of protected areas and has a tolerance of a degree of habitat modification.","This species is found in both dry and wet forests, open jungle, forest borders, caves and cultivated areas (Schleich and Kästle 2002) where it lives in small to medium bushes, scrubby vegetation and also on tall trees with profuse branching. It is said to be a common predator of poultry and other common birds (e.g., pigeons), as well as bats (Mohapatra and Srinivasulu pers. comm. 2019). This species usually rests inside tree holes, especially in <em>Ficus bengalensis</em> and other large trees (A. de Silva pers. comm. August 2010).","It has been reported that this species is often killed while forest is being cleared, due to the perception that it poses a threat to humans (De Silva 2006). However, due to the wide range of this species, localized events of persecution by humans should not be considered a major threat. Habitat loss has also been cited as a localized threat to this species (CAMP workshop 1997), although it appears to have wide ecological tolerances.","In India this species has been described as fairly common (Daniel 2002, Sharma 2003), and the population is considered stable, as it can be found in areas close to villages (P. Mohapatra pers. comm.). In Sri Lanka is appears to be a rare species, with declining populations (M. Wickramasinghe pers. comm. 2019).",Stable,"This snake has been recorded from India, Sri Lanka and possibly Nepal. In India, the species is found in most of the country except the northeast, with records from Gujarat (widely except Katch - Vyas), the Ganges valley, Orissa, West Bengal, and Rajasthan provinces, and the entire Western Ghats (Sharma 2003). It is frequently found in Chhatisgarh (Suraj). It is generally found throughout Sri Lanka, however, was noted to be absent in a survey in the Knuckles Mountain Range (Project Knuckles 2005). In Nepal, this species is perhaps known from the eastern and western Terai (Schleich and Kästle 2002), but it has been suggested that this may represent <em>Boiga siamensis</em>. It has been recorded from 150 to 2,000 m asl.",This species is used by snake charmers.,Terrestrial,"<p>In India, this species is listed on Schedule&#160; IV of the Indian Wildlife (Protection) Act, 1972. This species is found in many of protected areas. There is a need for research on the taxonomy and threats to this species. There is a general need for conservation awareness to prevent killing of harmless snakes.</p>",Indomalayan,,false,false,Global
1486765,177442,Plagiopholis styani,Least Concern,,2012,2011-09-01 00:00:00 UTC,3.1,English,"<span style=""font-style: italic;"">Plagiopholis styani</span> has been assessed as Least Concern, as it is widely distributed and has no known major threats at this time. There are protected areas that coincide with the species' distribution which probably provide small safeguards for this species.","This species is known to occur in areas of montane and bamboo forest, where it inhabits caves (Orlov <em>et al</em>. 2000). It has been recorded between 1,000 and 1,300 m asl.","This species may be experiencing localized habitat loss and degradation, however, as this species has a wide range this should not be considered a major threat at this time.",This is an uncommon species.,Unknown,"This species ranges from southeastern Gansu throughout southern China, including Hunan province. It is also found in Taiwan and northern Viet Nam (Orlov <em>et al</em>. 2000, Huang <em>et al</em>. 1999, Zhao and Adler 1993). In Viet Nam, records exist for Muong Te (Lai Chau Province), Sa Pa (Lao Cai Province), Tu Ly (Hoa Binh Province) and Ky Son (Nghe An Province) (Orlov <em>et al.</em> 2000, Nguyen <em>et al.</em> 2009).",There are no reports of this species being utilized.,Terrestrial,"There are no direct conservation measures in place for this species, however, there are protected areas within its range. No further conservation measures are needed.",Indomalayan|Palearctic,,false,false,Global
1945283,58894358,Python molurus,Near Threatened,A2d,2021,2019-09-05 00:00:00 UTC,3.1,English,"<span lang=""EN-US"">Listed as Near Threatened because of a population decline (estimated to be close to 30% over the last ten years) inferred from over-exploitation, habitat destruction and degradation, and general apathy.<br/><em></em>","<span style=""font-style: italic;"">Python molurus</span> is mostly found in forested areas, but is also found in mangroves<span style="""">, semi-arid forests and gr</span>asslands, marshes, streams and rivers. It is found in wet rocky areas near streams and pools, large rotting logs, large burrows, caves, crevices, old and ruined structures. It is a good climber and an expert swimmer. It is more nocturnal than diurnal. It feeds on small to large mammals, birds, reptiles and amphibians preferring to mostly feed on mammals. Breeding occurs between December to February after which it lays between 15–100 eggs in the months of March and June (Daniel 2002, Whitaker and Captain 2004).","Although collection of snakes is legally banned in India, this activity still is in existence. This species is under threat due to local as well as international markets for the illegal demand in leather industry. Scores of individuals are collected, and smuggled for pet trade. It is eaten as subsistence food. Animals are killed when preying on livestock (chickens and goats). It is also under threat due to habitat degradation and habitat loss due to anthropogenic activities. It is threatened in dry deciduous areas by rampant forest fires. Mining is considered to be a threat to this species in the Eastern Ghats of India.","<span lang=""EN-US"">While this is a widely distributed species known from many localities throughout much of India (Smith 1943, Daniel 2002, Whitaker and Captain 2004), its population has undergone drastic decline due to illegal trade for skin, pet trade and due to decline in quality of habitat and general apathy.",Decreasing,"<span style="""">This python <em></em> is widely distributed in Sri Lanka and India, with subpopulations in northeastern Pakistan an scattered into Nepal and along the India-Bangladesh border; the species does not occur in Bhutan (cf.&#160;Whitaker and Captain 2004, Barker<em>&#160;et al. </em>2018).&#160;In south-eastern Pakistan, populations are presumed to have been extirpated (Barker <em>et al</em>. 2018). Indian subpopulations are&#160;known from throughout much of the country (</span><span style=""background-color: rgb(255, 255, 255);"">Smith 1943,&#160;</span><span style="""">Daniel 2002). It is found at elevations of 10 to 2,000 m asl.</span>","In some parts of India <span style=""font-style: italic;"">Python molurus</span> is used for local consumption (meat). It is in high demand for its skin that is used in the leather industry. Fat deposits of this snake are used in the pharmaceutical industry. Bones are used for local superstitions. It is smuggled, locally and at national level, extensively for pet trade. It is collected for Zoological gardens and as museum exhibits. It is often seen with snake charmers.",Terrestrial|Freshwater (=Inland waters),"In India, it is protected under Schedule I of the Wildlife (Protection) Act, 1972. It is listed i<span style="""">n Appendix II o</span>f CITES, but subspecies <em>molurus</em> is listed&#160;in Appendix I. In its range it occurs in many protected  areas. Further survey  work is needed to understand its biology, ecology, population status and  trends.",Indomalayan,,false,false,Global
