assessmentId,internalTaxonId,scientificName,redlistCategory,redlistCriteria,yearPublished,assessmentDate,criteriaVersion,language,rationale,habitat,threats,population,populationTrend,range,useTrade,systems,conservationActions,realm,yearLastSeen,possiblyExtinct,possiblyExtinctInTheWild,scopes
1349131,172598,Grypotyphlops acutus,Least Concern,,2013,2010-09-01 00:00:00 UTC,3.1,English,"<span style=""font-style: italic;"">Grypotyphlops acutus</span> is listed as Least Concern as it is widely distributed, it occurs in a variety of habitats and there are no known major threats affecting it. It also occurs in many protected areas.","<span style=""font-style: italic;"">Grypotyphlops acutus </span>is fossorial, and has been found in leaf litter, under dead  trees, under stones or boulders in wet and dry habitats, both primary and modified. It feeds on  ant larvae and pupae (Daniel 2002), and worms and soft-bodied insects (Whitaker and Captain 2004).",Nothing is known about any threats to this species.,There are no data on population size and trends on this species.,Unknown,"<em>Grypotyphlops acutus </em>is endemic to India, where it is<em> </em>known from many sites in the Western Ghats. Elsewhere it is known only from south of river Ganges, occurring throughout forested tracts in peninsular India.<em> </em>This species occurs at elevations between 10 and 700 m asl.<em><br/></em>",The species is not in use.,Terrestrial,"There are no known species-specific conservation measures in place. This species occurs in many protected areas and reserve forests.&#160; <span style=""font-style: italic;""></span>",Indomalayan,,false,false,Global
1351413,172609,Chrysopelea ornata,Least Concern,,2021,2010-08-29 00:00:00 UTC,3.1,English,"Listed as Least Concern in view of its wide distribution, it occurs in a number of protected areas, has a tolerance of a degree of habitat modification, and because it is unlikely to be declining. It is possible that once the taxonomic status of this species is further reviewed it may be found to be a complex of species, some of which may have relatively restricted distributions and may be threatened by trade.<span style=""font-style: italic;""></span>","This diurnal, arboreal species occurs in a variety of habitats ranging from evergreen, semi evergreen hill forest, tropical dry deciduous forests, plantations, and human modified environments, generally with at least some standing forest. It can even be found in urban areas, where it has been found in houses (T. Chan-ard pers. comm. August 2011) It feeds on frogs, lizards and smaller birds and bats. Females lay 6-12 elongate eggs in June to July in India (Whitaker and Captain 2004).","As this species is highly tolerant of disturbed habitats, it is not threatened by habitat degradation. Although it is naturally arboreal, it adapts readily to at least some treeless environments (T. Neang and T. Chan-ard pers. comm. August 2011). It is frequently killed in plantations where it is mistakenly considered to be a venomous species.","This species is common and abundant, with a stable population. It is very rarely found in Chhattisgarh (Suraj pers. comm.).",Stable,"This species occurs from India and Sri Lanka across southern China, southward across the Southeast Asian mainland to northern Peninsular Malaysia (Smith 1943, Zhao and Adler 1993, Cox <em>et al</em>. 1998). In India, it is found throughout Peninsular India, with the exception of the drier zones of the Eastern Ghats and the northwest, ranging into northeastern India. It has been recorded between 10 and 1,300 m asl.","This species is collected in small numbers for the international and, in Thailand, domestic pet trade, as well as by snake charmers in India. It is among the species harvested for snake wine in Viet Nam, but in low numbers (Q.T. Nguyen pers. comm. August 2011).",Terrestrial,"No species-specific conservation measures are required. In India, this species is listed on Schedule IV of the Indian Wildlife (Protection) Act, 1972. It occurs in protected areas within its range. Research is needed to clarify whether this widespread snake represents a species complex.",Indomalayan,,false,false,Global
1370555,172704,Indotyphlops braminus,Least Concern,,2021,2018-08-10 00:00:00 UTC,3.1,English,"This species&#160;is listed as Least Concern. It has&#160;a wide distribution in its native range and has also been introduced to many countries through human agencies. It is relatively abundant, inhabits a wide range of habitats and can thrive in modified areas. It is not affected by any significant threats and is present in numerous protected areas.","This fossorial species is a human commensal and found in and around human habitation, also in gardens, loose soil, refuse heaps, decaying logs and trees, gutters and drain ditches, and under leaf litter, heaps of stones and piled up bricks, flower pots. Naturally occurs in all types of habitat from seashore dunes to tropical rainforest, frequently in disturbed areas and secondary growth, most commonly in moist soils (Broadley and Wallach 2009).&#160;This is the world's only known unisexual (all-female) and smallest snake species (Wallach 2009). It has a wide elevational tolerance, and in India it occurs from sea level to 3,500 m elevation.<em></em> It feeds on ants and termites (Wallach 2009). It is parthenogenetic and lays 2-8 eggs (Daniel 2002, Whitaker and Captain 2004). <em><br/></em>",<p>There are no threats to this species.<br/></p>,"<p>This species is native to Southeast Asia and considered to be the most successful disperser in the snake world and the most probable dispersal mechanism is in the root balls of ornamental or food plants transported by humans (Crombie and Pregill 1999). The species is very common in India (Daniel 2002), and it is likely to be locally very abundant where it occurs in much of its global range.&#160;</p>",Increasing,"This snake&#160;is native to tropical Asia (possibly southern India), but is invasive in many parts of the world and is now known from approximately 84 countries worldwide (Wallach 2009). This cosmopolitan distribution includes Old World tropical and subtropical regions, with encroachment into the Northern Hemisphere of the New World and adjacent temperate areas (Wallach 2009). It is found at a wide range of elevations. It is not present in Sri Lanka.<br/><br/>It has been accidentally introduced to many of the warmer parts of the world, this species has the widest distribution of any terrestrial snake. Although it is thought to have probably originated from India or Southeast Asia, the Brahminy blind snake is now found in parts of Africa, Australia, North, Central and South America, southern and eastern Asia from the Arabian Peninsula to Japan, and on numerous islands of the Atlantic, Indian and Pacific Oceans. It is thought that it may eventually establish itself in the majority of the world’s tropical and subtropical areas (Ota&#160;<em>et al</em>. 1991,&#160;Wallach 1999,&#160;Halliday and Adler 2002, Zug <em>et al.</em> 2001,&#160;Lever 2003, Pauwels&#160;<em>et al</em>. 2004, Hellyer and Aspinall 2005,&#160;O'Shea 2007).",This species is not used or traded.,Terrestrial,No conservation measures are required. It is present in numerous protected areas.,Indomalayan,,false,false,Global
1374984,172946,Phelsuma dubia,Least Concern,,2014,2014-01-26 00:00:00 UTC,3.1,English,"Listed as Least Concern on the basis of its wide distribution and because it is a common human commensal species that adapts readily to altered habitats and is not subject to any known threats. The species is subject to a decline in the number of mature individuals in East Africa, where it occurs as a severely fragmented population, and as such is considered at local risk of extinction in Tanzania. Although the species might well be a historical introduction to East Africa, it is long-established and resident in this region.","<p>This day gecko occurs in hot coastal areas. It inhabits dry deciduous forest, secondary vegetation and edges of humid forest, as well as a range of anthropogenic habitats, including buildings and plantations. It is thought to prefer palms and banana trees (Carretero&#160;<em>et al.</em>&#160;2005). In Tanzania, where the species is possibly introduced (CITES 2006), it is mostly associated with coconut palms, but has also been found in plantations and buildings (Spawls <em>et al.</em> 2002). It often occurs in gardens and cultivated land on Mayotte (CITES 2006). Females lay two eggs in a clutch, and a female can lay up to six clutches following a single mating (CITES 2006). Both adults and eggs can be found high in trees, with heights of over 2 m recorded, and presumably eggs may also be laid in the crowns of palms (Spawls <em>et al</em>. 2002).</p>","This species is well-adapted to human habitation and no major threats have been identified. Spawls <em>et al</em>. (2002) indicate that this species' CITES listing is due to concerns that the gecko may be over-exploited for the international pet trade, however, CITES lists the genus as a whole. The organization's documentation considers this particular species to be of 'Least concern' in all territories covered by their review, and notes that trade levels in Tanzania, the only country from which they report recent exports, are unlikely to be a threat (CITES 2006). Recently, however, Tanzania has failed to meet export quotas apparently due to the difficulty in obtaining specimens, and researchers surveying in Tanzania report that the species has become much rarer (C. Msuya and P. Malonza pers. comm. 2014). Illegal trade may also be impacting subpopulations in Kenya, as animals are collected here and exported from Tanzania (S. Spawls pers. comm. 2014).","This is a common species. It is at least locally abundant in most of its range, and in Tanzania is or was particularly abundant around Dar es Salaam (CITES 2006; C. Msuya pers. comm. 2014). It may thrive in areas of intermediate human disturbance, being absent from or rare in both heavily-developed areas and natural forest (S. Spawls pers. comm. 2014). Collection for the pet trade is a serious pressure on subpopulations in East Africa (C. Msuya and P. Malonza pers. comm. 2014), however the species may still be expanding its range north in Kenya (S. Spawls pers. comm. 2014). In East Africa its distribution is fragmentary, and it is presumed to occur as a severely fragmented population in this area.",Stable,"<p>    </p>This is the most widespread species of <em>Phelsuma</em>, occurring in coastal Kenya (Nyali and Mombasa - Spawls <em>et al. </em>2002) and Tanzania (Dar es Salaam, Bagamayo, Singino and Zungomero, and the island of Zanzibar - Spawls<em> et al.</em> 2002), Ilha de Moçambique (Mozambique), all four of the major islands in the Comoros archipelago, and Madagascar (Rocha <span style=""font-style: italic;"">et al</span>.  2007, 2009, Spawls <em>et al.</em> 2002; F. Glaw pers. comm. May 2011). It is not considered to occur on Pemba Island, close to Zanzibar (F. Glaw pers. comm. May 2011), however, it is possible that it may be introduced in future, or that it has been overlooked on this island<em>&#160;</em>(Spawls <em>et al</em>. 2002). In Madagascar it has a scattered distribution in the coastal north and west of the island. There is some potential confusion, however, between Madagascan localities assigned to <em>P. dubia</em> and those attributable to <em>P. ravenala</em>. Presently, populations from the island's east coast (including records from Nosy Boraha, Toamasina and Mananjary previously attributed to <em>P. dubia</em> - Glaw and Vences 2007) are assumed to represent <em>P. ravenala</em>, indicating that <em>P. dubia</em> is absent from eastern Madagascar (F. Glaw pers. comm. July 2011). It has been confirmed from the following Madagascan localities: Ambanja, Antsalova, Antsiranana, Mahajanga, Nosy Be, and Soalala (Glaw and Vences 2007). Its full distribution in Madagascar is in need of further clarification. The lizard's native range is unclear, however, it exhibits strong genetic differentiation in western Madagascar and is apparently most closely related to other Madagascan species (Rocha&#160;<em>et al.</em>&#160;2009), suggesting a native origin on this island.&#160;The degree to which its range both within and outside Madagascar reflects natural colonization is unclear, as molecular studies have implied human-mediated dispersal over at least part of its range (Rocha <em>et al.</em> 2007). The species is presumed to represent a recent introduction to the Comoros (Rocha <em>et al.</em> 2007).&#160;It is likely to have been introduced to the African mainland (CITES 2006). It ranges from sea level to less than 100 m asl., but its precise upper elevational limit is unclear.<br/><span style=""""></span>  <p></p>","There is some trade in this species for the international market, which is described as being ""very popular"" among reptile hobbyists (Spawls <em>et al</em>. 2002),&#160;and the species is bred in captivity. CITES documentation reports a little over 15,500 animals exported from Tanzania and Madagascar between 1994 and 2003, with no exports reported from Madagascar (with the exception of three individuals in 2005) since a ban was imposed in 1994 (CITES 2006). Since 2000 it has been exported from the Comoros, with 10,178 individuals reported in exports (CITES 2006).",Terrestrial,"There are no conservation measures in place for this species in Madagascar, although export from this island for the pet trade is prohibited as part of a general embargo on all but four <em>Phelsuma</em> species (CITES 2006). Tanzania has a locally-imposed export quota of 2,000 individuals a year, although figures from importing countries suggest that this has been exceeded several times (CITES 2006). The species is listed on CITES Appendix II. &#160;Research is needed to clarify the taxonomy of this species and to identify the origins of East African subpopulations. Reducing quotas and controlling trade is thought to be required to preserve subpopulations in Tanzania (C. Msuya and P. Malonza pers. comm. 2014).",Afrotropical,,false,false,Global
1435168,176159,Gehyra vorax,Near Threatened,A2c,2021,2013-04-08 00:00:00 UTC,3.1,English,Listed as Near Threatened because it is&#160;experiencing&#160;significant population decline (but probably at a rate of less than 30% over ten years based on rates of ongoing forest loss) due to widespread habitat loss through much of its range.,"This is an arboreal gecko that, although presumably primarily nocturnal, is also active during the day. It occurs in dense native forest, the upper levels of lowland rainforest, and occasionally in disturbed, forested habitats such as agricultural areas (found on breadfruit, coconut, banana trees and the crowns of wild pandanus) (Zug 1991).&#160; It is not found in association with human habitation and appears to prefer upper level canopy.","<span style=""font-style: italic;""></span>As <em>Gehyra vorax</em> is essentially a forest specialist (Flecks<em> et al.</em> 2012), the species is particularly sensitive to deforestation (logging and mining), although it is thought to be more tolerant of forest modification than the related <em>G. georgp</em><em>otthasti </em>(A. Hamilton pers. comm. 2013). It may be impacted by the international pet trade, but due to recent taxonomic changes no details of its occurrence in trade are available. It is hunted for food in Fiji (Ineich 2011).",This species is difficult to find and nowhere is it very common.,Unknown,"This species has been recorded from Fiji and Tonga (Flecks&#160;<em>et al.</em>&#160;2012). The report of this species from Tonga is based on a single specimen that has not been recently examined, and Flecks&#160;<em>et al.&#160;</em>(2012) express doubt about its provenance while A. Bauer (pers. comm. 2011) suggests that the species may be extinct in Tonga. An introduced population recently reported from the Society Islands (Rösler and Obst 2007) is considered ""morphologically indistinguishable"" from&#160;<em>Gehyra vorax</em>&#160;by Flecks<em>&#160;et al.</em>(2012), and considered conspecific by these authors, but the known specimen was not included in analyses to verify its identity.","A species referred to as <em>Gehyra vorax</em> is regularly and easily available to collectors on the internet, where the individuals are identified as from Vanuatu. If this provenance is correct, these animals would instead represent the newly-distinguished <em>G. georgpotthasti</em>. It is consequently uncertain whether or to what degree <em>G. vorax</em> itself is found in trade. It is also eaten by local people.",Terrestrial,"There are no specific conservation measures in place for this species. This species likely occurs in protected areas in Fiji, including Colo-I-Suva Forest Reserve. Further research into this species population status and threats is recommended.",Australasian|Oceanian,,false,false,Global
2463443,196588,Perochirus scutellatus,Least Concern,,2013,2011-09-14 00:00:00 UTC,3.1,English,"Listed as Least Concern on the basis that, while this species has a restricted range, it is currently common, has adapted well to habitat modification on islands with a long history of human occupation, and appears not to be subject to any immediate threats. Rising sea levels resulting from climate change likely represent a long-term future threat.","It is primarily diurnal and arboreal, with a predilection for <span style=""font-style: italic;"">Guettarda</span> trunks (Buden 1998). There is no remaining primary forest on&#160;Kapingamarangi Atoll, and this species has adapted well to occurrence on coconut and breadfruit trees (A. Allison pers. comm. 2012).&#160;It is an oviparous species.","There are no significant threats to the species at present, although sea level rise resulting from global warming seems a probable future threat to these low-lying islands.",It is very common within its limited range. Encounter rates as high as 150 animals per hour and 25 per tree have been reported.,Stable,"This species is endemic to the Kapingamarangi Atoll, Federated States of Micronesia, where it has been recorded from 18 of 31 islands (Buden 1998). Wiles (2004) has reported this species (or at least a species tentatively referred to <span style=""font-style: italic;"">scutellatus</span>) from Ulithi Atoll over 900 km away and its presence here requires verification.  It is only known to occur a few metres above sea level.",There is no trade in this species.,Terrestrial,It is not present in any protected areas. There appear to be no conservation measures in place.,Oceanian,,false,false,Global
2483850,197440,Anolis cristatellus,Least Concern,,2020,2015-07-22 00:00:00 UTC,3.1,English,"This species is listed as Least Concern due to its broad range, lack of threats, abundance, adaptability to disturbed habitats, and occurrence in many protected areas.","This species is found in mesic to somewhat xeric habitats, as long as there is some vegetation. In mesic habitats, it often prefers open and sunny situations along forest edges. The species does not occur on satellite cays without vegetation. It is also found in plantations, disturbed forest, pastures, rural and urban areas, in the latter even where there is very little vegetation. It feeds on invertebrates and plant material including seeds and fruits, as well as frogs and other lizards. It has oviparous reproduction (Henderson and Powell 2009).","There are no major threats to this species, which is highly tolerant of habitat degradation and will utilize man-made substrates instead of vegetation in urban environments. Comparison of projected temperatures at San German in Puerto Rico with thermal tolerances of this species determined at this locality in the 1970s indicate that warming of 3 °C above 1970s levels will result in summer air temperatures exceeding this species' maximum thermal tolerance at least 68% of the time (Huey<em> et al</em>. 2009). In other species, the resulting reduction in activity period and foraging opportunities have been predicted to result in local extinctions (Sinervo <em>et al.</em> 2010).","This is a ubiquitous and abundant species in the Virgin Islands and Puerto Rico, and is an abundant invasive species elsewhere (R. Platenberg and L. Mahler pers. comm. 2015). There is no evidence of widespread population decline.",Stable,"This species is native to Puerto Rico and the Puerto Rico Bank, including the U.S. and British Virgin Islands and satellite cays. It has been introduced to several Caribbean islands islands including Hispaniola, Dominica, and Sint Marteen/St. Martin (Henderson and Powell 2009) as well as southeastern Florida (Salzburg 1984, Henderson and Powell 2009) and Costa Rica&#160;(Henderson and Powell 2009, Wilson <em>et al</em>. 2010). Its elevation is from sea level to 980 m (Henderson and Powell 2009).",This is a relatively common species in the international pet trade.,Terrestrial,This species is found in many protected areas. No other species-specific conservation measures are needed.,Neotropical,,false,false,Global
2604900,199584,Hemidactylus homoeolepis,Least Concern,,2012,2012-02-09 00:00:00 UTC,3.1,English,"This species, not being subject to any apparent threats, is assessed as Least Concern.","According to Razzetti <span style=""font-style: italic;"">et al.</span> (2011) this nocturnal species was encountered chiefly in rocky and stony areas, and on the sandy and stony substrates nearby (Arnold 1980). It is active mostly on the ground or in the lower part of rocks, but it also climbs trees, palm trunks and buildings (even inside houses in Hadiboh). During the daytime it can be found under stones, trunks and dead vegetation. Females bear a single egg (Arnold 1980). In Oman it also occurs in rocky debris at the base of cliffs, and on cliff faces (R. Sindaco pers. comm. February 2012).",No threats to this species are known or expected.,"The population size and trend are unknown. Razzetti <span style=""font-style: italic;"">et al</span>. (2011) observed this species almost everywhere on Socotra island. This is by far the most widespread and common nocturnal reptile on Socotra. It seems less common on the small islands of Darsa and Samha. There is only one record from mainland Yemen. On the Omani mainland it is also locally common, and is abundant at many sites in Dhofar (Arnold 1980).",Unknown,"This gecko is found in the southern Arabian Peninsula (SW Saudi Arabia, Yemen, Oman), including the islands of Masirah and Kuria Muria, and the Socotra archipelago. In Saudi Arabia it has been reported from Kiyat (Shatti and Gasperetti 1994), a record now considered uncertain. In mainland Yemen it is known from Shugra (Arnold 1986). It is widespread in southern Oman. All authors reporting this species from Abd al-Kuri island refer to the paper of Steindachner (1903), but this record is wrong as the specimens he studied belong to <span style=""font-style: italic;"">H. forbesii</span> (Razzetti <em>et al. </em>2011). It occurs from sea level to approximately 1,000 m asl.",No use or trade is known for this species.,Terrestrial,No conservation actions are presently needed for this species. Its taxonomy requires clarification.,Afrotropical|Palearctic,,false,false,Global
2759902,203075,Phyllodactylus palmeus,Least Concern,,2019,2017-11-01 00:00:00 UTC,3.1,English,"This species is listed as Least Concern because, although it has a limited distribution on small archipelagos, it readily adapts to human disturbance in the absence of exotic competitors, it is threatened only in certain habitats in a minority of its range, and the population appears to be stable.","The species inhabits tropical hardwood forest (Wilson and Johnson 2010). The species is nocturnal and can be found under tree bark and debris on the ground. It has been found on the walls of buildings. On Cayo Menor it has been recorded from palm trees on the beach and the ecotone between beach palm forest and tropical hardwood (D. Nicholson pers. obs.). This ecotonal area is, however, limited in extent on an island with an area of 0.5 km<sup>2&#160;</sup>(D. Nicholson pers. comm. 2017). The species occurs at similar densities in forest and in human-inhabited areas.","This species is relatively unthreatened because it appears to adapt well to urban settings. Its complete exclusion from artificial habitats has, however, been documented on Utila following the invasion of the aggressive Asian House Gecko <em>Hemidactylus ftrenatus </em>(which was first recorded on the island in 2005), and while it survives in syntopy with the exotic lizard in natural habitats it is no longer common in at least part of the island (McCranie and Hedges 2013). Analysis of abundance surveys and morphometric data on Cayo Menor (from which <em>H. frenatus </em>was first recorded in 2008) suggests that the native species remains more abundant than the exotic gecko (Nicholson<em> et al.</em> 2015). This same study reported, however, that <em>H. frenatus </em>appeared to exhibit greater reproductive potential and suggested that a future expansion of the invasive gecko's population might pose a risk to the native species.","This species is common in appropriate habitat, and can occur at high densities in human settlements (McCranie 2005, Nicholson <em>et al.</em> 2015). Following the invasion of the exotic House Gecko <em>Hemidactylus frenatus</em> on Uila, <em>Phyllodactylus&#160; palmeus </em>has been lost altogether from edificarian situations (McCranie and Hedges 2013). While it survives away from artificial habitats on this island, observations along the east coast of Utila in September 2012 found that <em>H. frenatus </em>was the more common of the two species in natural forest (McCranie and Hedges 2013). On Cayo Menor the only survey to date investigating the impact of the invasive gecko on&#160;<em>P. palmeus&#160;</em>found that the native occurred at higher densities in artificial situations than <em>H. frenatus</em>, with 140 individuals of the native species captured across 12 sites compared with 37 <em>H. frenatus&#160;</em>(Nicholson <em>et al.</em> 2015).",Stable,"This gecko is endemic to the Islas de Bahía (Utila and Roatan) and Cayos Cochinos, Honduras (McCranie and Wilson 2013). It has an elevation range from sea level to 30 m asl (Wilson and Johnson 2010).",There is no known use of or trade in this species.,Terrestrial,"This species occurs in the Cayos Cochinos Archipelago Natural Marine Monument. Due to its adaptability to disturbed habitats, it does not need additional conservation measures.",Neotropical,,false,false,Global
2772001,203884,Anolis garmani,Least Concern,,2019,2015-07-20 00:00:00 UTC,3.1,English,"The species is assessed as Least Concern based on its wide distribution within Jamaica, tolerance of disturbed habitats, and stable populations.","An arboreal species found in mature and secondary forest as well as in gardens with large trees (Russell and Bauer 1991, Henderson and Powell 2009). The species is not found in open areas. It feeds on invertebrates, other anoles, and fruits (Trivers 1976, Henderson and Powell 2009). It has oviparous reproduction (Henderson and Powell 2009).",No threats seem to be causing overall population reductions to the species at this time (B. Wilson pers. comm. 2015). A significant loss of larger trees could locally negatively impact subpopulations.,"The species' population is apparently stable, due to occupation of disturbed habitat; and large, due to the availability of suitable habitat throughout its broad distribution across Jamaica (B. Wilson and D. L. Mahler, pers. comm. 2015).",Stable,"This species is endemic to Jamaica and has been introduced to Florida (Lee County, Martin County, and Miami-Dade County) and Grand Cayman Island (Henderson and Powell 2009, Meshaka 2011, Powell and Henderson 2012). In Florida, the Martin County population is possibly extirpated while the Miami-Dade County population appears stable (Meshaka 2011). The status of the introduced Grand Cayman subpopulation is uncertain, and it may be extirpated (Henderson and Powell 2009). <em>Anolis garmani</em> occurs from sea level to &gt;1,300 m  (Henderson and Powell 2009, D. L. Mahler pers. obs. 2018). It is probably extant in western St. Elizabeth and eastern Westmoreland parishes, and also through central Jamaica, despite not having been documented there to date (J. Burgess pers. comm. 2015, B. Wilson and S. B. Hedges pers. comm. 2015).","The species is occasionally seen in the pet trade, likely mainly from the introduced Florida subpopulations (Kern 2009 in <a href=""http://www.issg.org/database/species/ecology.asp?si=1682&amp;fr=1&amp;sts=&amp;lang=EN"">http://www.issg.org/database/species/ecology.asp?si=1682&amp;fr=1&amp;sts=&amp;lang=EN</a>).",Terrestrial,"Specific conservation actions are not presently needed for this species, as it is able to thrive in small-scale diversified agricultural plots, as well as in natural forest habitats. This species occurs in a number of protected areas, although some of these areas nonetheless experience substantial illicit habitat degradation (B. Wilson pers. comm. 2015).",Neotropical,,false,false,Global
