assessmentId,internalTaxonId,scientificName,redlistCategory,redlistCriteria,yearPublished,assessmentDate,criteriaVersion,language,rationale,habitat,threats,population,populationTrend,range,useTrade,systems,conservationActions,realm,yearLastSeen,possiblyExtinct,possiblyExtinctInTheWild,scopes
1154326,166935,Trypauchen vagina,Least Concern,,2019,2018-06-28 00:00:00 UTC,3.1,English,<em>Trypauchen vagina&#160;</em>is widespread in the Indo-West Pacific and can be found in a variety of habitats. There are no major threats contributing to widespread population decline. It is listed as Least Concern.,"<em>Trypauchen vagina </em>is a demersal, amphidromous species that&#160;occurs in brackish to marine water within tropical climates (Riede 2004). It inhabits the muddy and silty bottoms of coastal bays, lagoons, mangroves, estuaries, and tidal mudflats and rivers. It maintains a close distance to its self-made burrow. It<em>&#160;</em>is an omnivorous, benthic feeder that mainly preys on small crustaceans&#160;(Rainboth 1996, Murdy 2006, Jutagate <em>et al</em>. 2009, Akamca <em>et al</em>. 2011, Kundu <em>et al</em>. 2012, H. Larson pers. comm. 2013, Alavi-Yeganeh <em>et al</em>. 2015, Prokofiev 2015). The maximum recorded total length (TL) is 22.2 cm (Randall 1995).","<em>Trypauchen vagina&#160;</em>is of minor use in the fisheries industry and is sometimes sold fresh in markets (Talwar and&#160;Jhingran&#160;1991,&#160;Rainboth 1996). It is threatened by mangrove destruction and predation from mangrove rays (H. Larson pers. comm. 2013).&#160;<br/><strong><br/></strong>",Population data is limited. It is fairly common within the Indian Sundarbans (Pal&#160;<em>et al</em>. 2014).,Unknown,"<p><em>Trypauchen vagina </em>is a western Indian and Indo-Pacific species known from Oman and the Persian Gulf to India eastward to Singapore and Indonesia northwards to the Philippines, China, Taiwan and southern Japan (Kulbicki&#160;<em>et al.</em>&#160;1993, Randall 1995, Randall and Lim 2000, Murdy 2006, H. K. Larson pers. comm. 2013, Alavi-Yeganeh <em>et al</em>. 2015). It is likely found at depths ranging from 3 to 20 m (H. Larson in press).</p><br/><p></p>","It<em>&#160;</em>is of minor commercial importance and is at times sold in markets (Rainboth 1996, Talwar and&#160;Jhingran&#160;1991). In the markets of Bombay, India, it is sold fresh and dried as well as valued for its potential medicinal use (Acharya and Dwivedi 1985).",Freshwater (=Inland waters)|Marine,"There are no known species-specific conservation measures; however, its range overlaps with a number of marine protected areas such as the Jabal Samhan Nature Reserve, Oman, the Gulf of Mannar National Park, India and the Natural Park of the Coral Sea, New Caledonia (IUCN and UNEP-WCMC 2018).","",,false,false,Global
1788183,185911,Vomerogobius flavus,Data Deficient,,2015,2011-03-24 00:00:00 UTC,3.1,English,"This rare species is known only from seven widely-spaced localities. It occurs on steep coral reef dropoffs.&#160;Its estimated AOO is 112 km<sup>2</sup>, which meets the threshold for Endangered under B2.&#160;<span style=""background-color: rgb(255, 255, 255);"">There has been some observed decline in coral cover between 1970-2011 in at least one locality (Belize) and no significant change in the remainder of its range.</span><span style=""background-color: rgb(255, 255, 255);"">&#160;</span>It may also be threatened by the invasive lionfish, which occurs throughout its entire range.&#160;It has not yet been recorded from a lionfish gut analysis, however, other members of its genus and family have. In the Bahamas, a 65% decline&#160;in lionfish prey biomass&#160;over a period of two years&#160;was observed, but species-specific data are not available at this time.&#160;There is no information on abundance, its complete distribution or impact of these potential threats. Therefore, it is listed as Data Deficient.","This demersal species has been collected from the upper edge of a steep coral reef dropoff. A number of individuals were observed&#160;in the school from which these fish were taken, bobbing up and down about 15 cm away from the cliff face (Gilbert 1971).","The threats to this species are not well understood. It may be dependent on coral reefs.&#160;<span style=""background-color: rgb(255, 255, 255);"">Between 1970-2011 (41 years), an overall 59% decline in coral cover was directly observed in the Caribbean, which was caused by anthropogenic stressors,&#160;<em>Diadema antillarum</em>&#160;decline, and coral disease. Location specific estimates in coral decline: no significant change in&#160;</span>the Bahamas between 1993-2011; 16.5% decline off Belize between 1970-2011;&#160;<span style=""background-color: rgb(255, 255, 255);"">no significant change in&#160;</span>the Honduran Bay Islands between 1987-2010&#160;<span style=""background-color: rgb(255, 255, 255);"">(Jackson&#160;</span><em style=""background-color: rgb(255, 255, 255);"">et al.&#160;</em><span style=""background-color: rgb(255, 255, 255);"">2014)</span><span style=""background-color: rgb(255, 255, 255);"">. Therefore, there has been some observed decline in coral cover between 1970-2011 in at least one locality and no significant change in the remainder of its range.&#160;</span><span style=""background-color: rgb(255, 255, 255);""><br/></span><span style=""background-color: rgb(255, 255, 255);""><br/></span>This species may be threatened by the invasive lionfish, which is known to inhabit areas throughout its entire range.&#160;It may be easily targeted by the lionfish given its small, shallow body and demersal habits (Green and Cote 2014). Due to the lionfish's ability to consume a variety of fishes smaller than 15 cm, both adults and juveniles of this species are likely consumed.&#160;It has not yet been recorded from a lionfish gut analysis, however,&#160;13 total Gobiidae spp. have been documented. In the Bahamas, a 65% decline&#160;in lionfish prey biomass&#160;over a period of two years&#160;was observed (species-specific data are not available at this time) (Green&#160;<em>et al.</em>&#160;2012).",It is known from only a few specimens and is a rare species.,Unknown,"This species has been recorded in the western Atlantic from seven widely-spaced localities: in the Bahamas from southern Grand Bahama Island, Eleuthera Island (Exuma Sound), the Samana Cays, the Plana Cays, and Acklins Island, off Belize from Glover's Reef, and off Honduras from Roatan Island (Smith-Vaniz and Böhlke 1991, R. Robertson pers. comm. 2014).&#160;It has an estimated area of occupancy (AOO) of 112 km<sup>2</sup> (calculated by clipping the distribution polygon to the WCMC 2013 coral layer and a 25-50 m bathymetric layer). It has an estimated extent of occurrence (EOO) of 607,771 km<sup>2</sup> (based on a minimum convex polygon drawn around the extent of its range on the coral reef layer and a 25-50 m bathymetric layer).",This species is not used.,Marine,"There are no species-specific conservation measures in place.&#160;Further research is needed into the distribution, habitats, ecology, and possible threats to this species.",Neotropical,,false,false,Global & Caribbean
1788357,185914,Evermannichthys silus,Data Deficient,,2015,2011-03-24 00:00:00 UTC,3.1,English,"This species is known from few specimens collected from only three widely-spaced localities. It inhabits sponges near reef drop-off areas.&#160;Its AOO is less than 4,196 km<sup>2</sup>.&#160;Little is known on its complete distribution, population or threats. It is therefore listed as Data Deficient.","This is a demersal species found in sponges (<span style=""font-style: italic;"">lrcinia strobitina</span>) near drop-offs (Böhlke and Robins 1969). Little additional information is available on the natural history of this species.",The threats to this species are not known.,Only a few specimens of this little-known species have been recorded. There is no information on population trends.,Unknown,"This species has been recorded in the western Atlantic off Samana Cay, Bahamas and off the Venezuelan coast from Curacao, Bonaire (where it likely occurs), and Los Roques (R. Robertson pers. comm. 2014).&#160;It has an estimated extent of occurrence (EOO) of 225,367 km<sup>2</sup>&#160;(based on a minimum convex polygon drawn around the extent of its range on a zero to 50 m bathymetric layer). It has an estimated area of occupancy (AOO) of 4,196 km<sup>2</sup>&#160;(calculated by clipping the distribution polygon to the zero to 50 m bathymetric layer extracted from ETOPO). However, this AOO calculation is likely an overestimate since it is restricted to sponge habitat.",This species is not used.,Marine,"There are no species-specific conservation measures in place. Additional research is needed into the distribution, habitat and ecology and threats to this species.",Neotropical,,false,false,Global & Caribbean
1788446,185915,Evermannichthys spongicola,Least Concern,,2015,2010-03-01 00:00:00 UTC,3.1,English,"This widely distributed species can be relatively common given the presence of large sponges. It may be susceptible to impacts from habitat loss, however, this is not considered to be a major threat at this time. Therefore, it is listed as Least Concern.",This demersal species is dependent on large loggerhead sponges and other similar sponges for habitat (Robins and Ray 1986).,"This species is an obligate of loggerhead sponges and therefore vulnerable to loss of this habitat. However, this is not considered to be a major threat at this time.",This species is relatively common within loggerhead sponges larger than 0.3 m.,Unknown,"This species is distributed in the western Atlantic from North Carolina south along the U.S. coast into the Gulf of Mexico from the Florida Keys north to St. Joseph Bay, Florida and from Campeche, Mexico.",This species is not utilized.,Marine,There are no species-specific conservation measures in place.,"",,false,false,Global & Caribbean
1788545,185916,Evermannichthys metzelaari,Least Concern,,2015,2011-03-24 00:00:00 UTC,3.1,English,"<em>Evermannichthys metzelaari</em>&#160;is widely distributed and common. It is an obligate sponge dweller and there are no known major threats. Therefore, it is listed as Least Concern.",<em>Evermannichthys metzelaari </em>is a&#160;demersal species that inhabits large loggerhead sponges (Böhlke and Robins 1969). Little additional information is available on the natural history of this species.,There do not appear to be any major threats to this species.,<em>Evermannichthys metzelaari</em>&#160;is relatively common within its restricted habitat. There is little information available on the population trend.,Unknown,"<em>Evermannichthys metzelaari </em>is distributed in the western Atlantic from the  Bahamas, in the Caribbean Sea from Jamaica along the Antilles to Curaçao, and along the Central American coast from Belize, Isla de Providencia (Colombia), and San Blas (Panama). It does not occur in the Gulf of Mexico (R. Robertson pers. comm. 2014).",<em>Evermannichthys metzelaari</em> is not utilized.,Marine,There are no species-specific conservation measures for&#160;<em>Evermannichthys metzelaari</em>.,Neotropical,,false,false,Global & Caribbean
1807092,186039,Microgobius meeki,Least Concern,,2015,2011-03-23 00:00:00 UTC,3.1,English,"This species is widely distributed and may be common where it occurs over shallow mud bottoms in estuaries. There are no major known threats. Therefore, it is listed as Least Concern.",This demersal species is often found on muddy bottoms.  Larvae are found in mangroves and estuaries (Barletta-Bergan <em>et al.</em> 2002). It can withstand hyper-saline waters.,"While there appear to be no major threats, habitat loss of mangrove and marshes may constitute a localized threat for this species.","Ichthyoplankton surveys in mangrove-fringed tropical estuary in Brazil found that larvae of this species were numerically dominant (<span class=""name""><a class=""name-search"">Joyeux <em>et al</em>.</a><span class=""xref-corresp""><span class=""name""><span class=""name"">&#160;2004). In some collections there up to 20 individuals (Birdsong 1981).<span class=""name""><a class=""name-search""> </a></span></span>",Unknown,"This species is distributed in the western Atlantic along the Central and South American coast from Panama to Santos, Brazil. It has also been recorded off Puerto Rico.",This species is not used.,Marine,<p>There are no species-specific conservation measures in place.</p>,Neotropical,,false,false,Global
2205772,193182,Stonogobiops xanthorhinica,Least Concern,,2021,2020-08-27 00:00:00 UTC,3.1,English,"This species occurs in the Indo-Pacific, and is relatively uncommon. However, because it is normally found in deep water, it may be more common than indicated by present records.&#160;There are no known major threats. It is listed as Least Concern.","<p>This <a style=""mso-comment-reference:HKL_1;mso-comment-date:20200908T1228"">species</a>&#160;inhabits the open sand and rubble substrates of coral reefs, and deep coastal slopes (Kuiter and Tonozuka 2001, Allen and Erdmann 2012). It lives symbiotically in a burrow with an alpheid shrimp (i.e., <em>Alpheus randalli</em>) (Karplus and Thompson 2011). The maximum standard length is 6 cm (Kuiter and Tonozuka 2001). The species is normally found below 15 m to 45 m, but as shallow 3 m in Japan.</p>",<p></p>There are no known major threats. It is sold commercially in the aquarium trade.,Population data are limited. It is relatively uncommon throughout its range.,Unknown,"<p>This species is distributed in the western Indo-Pacific Ocean from eastern Indonesia, Papua New Guinea, the Solomon Islands, Queensland Australia, and Fiji northward to Palau, the Philippines (Hoese and Larson 2006), and southern Japan (Hoese and Randall 1982, Hayashi and Shiratori 2003, Senou <em>et al.</em>&#160;2004, Randall 2005, Karplus and Thompson 2011). It is replaced by&#160;<em>Stonogobiops dracula</em>&#160;in the Indian Ocean (Myers 1999).&#160;Its depth range is 3-45 metres (Allen and Erdmann 2012, Accessed through the Fishnet2 Portal, www.fishnet2.net).</p>",<p>It is sold in the aquarium trade (Reksodihardjo-Lilley and Lilley 2007). This species can be found for sale on at least one website devoted to the trade in marine ornamental fishes.</p>,Marine,<p>There are no species-specific conservation measures.</p>  <p><br/></p>,"",,false,false,Global
2300084,194113,Hemidactylus treutleri,Least Concern,,2013,2011-02-22 00:00:00 UTC,3.1,English,"<em>Hemidactylus treutleri</em> has been assessed as Least  Concern. Although habitat loss and degradation are potential threats in this species' range, no impacts have yet been documented and this species exhibits some ability to tolerate anthropogenic disturbance. It is thought that this species may have a wider range than is currently known.","<span style=""font-style: italic;"">Hemidactylus truetleri </span>is found  in a variety of habitat types ranging from dry deciduous and secondary forests to areas of human habitation, where it is sometimes found within buildings. It is rupicolus in suitable habitats, hiding in crevices during the day (C. Srinivasulu and R. Sreekar pers. comm. February 2011). It is nocturnal and feeds predominantly on insects and other small invertebrates.","Stone quarrying is a potential threat to the species in some parts of its range. At the type locality, where a historic fort exists, renovation work that fills in crevices this lizard uses for shelter, and clearance of the surrounding scrub, represent localized threats.","This species is locally common wherever it occurs in Andhra Pradesh (C. Srinivasulu pers. comm. February 2011), but no information is available on population trends.",Unknown,"<em>Hemidactylus treutleri </em>is endemic to India and is known  from a few localities in Andhra Pradesh (C. Srinivasulu pers. comm. February 2011). Besides Hyderabad and Rishi Valley, Chittoor district (Mahony 2009, Sreekar <span style=""font-style: italic;"">et al.</span> 2010), this species has been also observed at many locations in Guntur, Krishna, Prakasam, Nalgonda, Medak, Karimnagar, Adilabad, Mahbubnagar, Kurnool, and Ananthapur Districts (C. Srinivasulu pers. comm. February 2011), and Parelakhemundi, Gajapati District, Orissa (P. Mohapatra pers. comm. February 2011). The lizard may have a wider range than is currently known. It occurs at elevations between 350 and 720 m asl.",<p>The species is not in use.</p>,Terrestrial,"There are no known species-specific conservation measures in place. This species occurs in at least one protected area, Kawal Wildlife Sanctuary, Andhra Pradesh. Further  research into this lizard's distribution is needed.",Indomalayan,,false,false,Global
2732098,202024,Awaous fluviatilis,Data Deficient,,2019,2018-06-25 00:00:00 UTC,3.1,English,"This species is only known from the Godavari estuary and Vellar basin of eastern India, which are likely impacted by several anthropogenic threats. It is only known&#160;from hand-drawn descriptions of juvenile type specimens, which have not been examined for confirmation. It is not clear if this is a valid species. Until this can be confirmed as a valid species and the impacts of threats can be quantified. It is listed as Data Deficient.","<em>Awaous fluviatilis</em> is a freshwater and marine species that inhabits estuaries and inland water bodies. Within the Godavari estuary, it has been reported to be abundant from September to November, in which it swims against flood waters close to banks. The maximum recorded standard length is 2.5 cm (Rema Devi <em>et al</em>. 1996).","Although major threats to this species are unknown, many estuarine lagoons and near-shore marine and freshwater habitats within this species' range are severely degraded. There have been major declines in species richness documented for other species that rely on similar habitats in the Pichavaram mangrove wetlands in southern India (Sandilyan<em> et al</em>. 2010).",Population data are not available for this species.,Unknown,"<em>Awaous fluviatilis </em>is an Indian Ocean species known only from the&#160;Godavari estuary and Vellar basin of eastern India (Remi Devi <em>et al</em>. 1996, Sekhar 2013). This species is only known from hand-drawn descriptions of juvenile type specimens, which have not been examined for confirmation. It is not clear if this is a valid species (H. Larson pers. comm. 2018).",No use and trade information is available at this time.,Freshwater (=Inland waters)|Marine,There are no known species-specific conservation measures.,"",,false,false,Global
3185783,10261,Horaglanis krishnai,Data Deficient,,2011,2010-06-17 00:00:00 UTC,3.1,English,"<p><em>Horaglanis krishnai</em> is listed as Data Deficient since, although it has been recorded from subterranean wells in a small area, very little is known about its status, threats, habitat requirements and habitat condition. The distribution has not been visited since 1979 and the status of the species is currently not known. The species could be assessed as CR to NT, more information is needed.<br/></p>","<span style=""font-style: italic;"">Horaglanis krishnai</span> is a small sized, blind catfish. The species lives in subterranean tunnels. Much of it's natural ecology is unknown, but it's reproductive cycle has been studied under captive conditions (Anna Mercy&#160;<em>in litt.</em> 2001, Jayaram 2010).",The species might be threatened by groundwater pollution from the surrounding town and agricultural pollution although this needs to be confirmed.,There have been no studies pertaining to the natural populations of this species.,Unknown,"<span style=""font-style: italic;"">Horaglanis krishnai</span> is a Western Ghats endemic species, described from dugout wells in Mundakkayam in Kottayam District by Menon (1950) and subsequently found in dugout wells in the midlands of Ettumanur in Kottayam District, Kerala by Babu and Nayar (2004). (Menon 1950 & 1951, Jayaram 1977 & 2010, Anna Mercy <span style=""font-style: italic;"">et al.</span> 2001 a & b, Babu and Nayar, 2004). The site has not been visited since 1979.","<span style=""font-style: italic;"">Horaglanis krishnai</span> being a cave dwelling species, is understood to be out of reach from exploitation, as of now.",Freshwater (=Inland waters),"There have been no known conservation measures taken for this species. There is a need to monitor and reduce groundwater pollution in the surrounding area. This species is not found in a protected area. Additional research is needed to understand the range, ecology and potential threats to the species.",Indomalayan,,false,false,Global
