assessmentId,internalTaxonId,scientificName,redlistCategory,redlistCriteria,yearPublished,assessmentDate,criteriaVersion,language,rationale,habitat,threats,population,populationTrend,range,useTrade,systems,conservationActions,realm,yearLastSeen,possiblyExtinct,possiblyExtinctInTheWild,scopes
498726,10803,Iguanognathus werneri,Data Deficient,,2012,2011-08-31 00:00:00 UTC,3.1,English,This species is only known from the historical record from 1898. It is therefore listed as Data Deficient.,No information about habitat and ecology of this species is available.,No information is available about threats to this species.,No population data is available.,,This species is only known from the type specimen that was recorded originally in 1898 from Sumatra (Indonesia) although the exact locality was not provided.,There are no reports of this species being utilized or traded.,Terrestrial,"<p>Research is needed to establish the current distribution, habitat and threats to this species.</p>",Indomalayan,,false,false,Global
717343,15392,Opisthotropis spenceri,Data Deficient,,2012,2011-09-01 00:00:00 UTC,3.1,English,"<span style=""font-style: italic;"">Opisthotropis spenceri</span> has been assessed as Data Deficient as it has only been found in one location and there is no information about the habitat preference, threats and habitat status of this species. Further research on this species is needed before a more accurate assessment can be carried out.","The habitat preferences of this species are not known. However, other members of the genus are well-known for living in forest streams with clear water.","It is unknown if any threat process is impacting this species. Deforestation and water pollution are likely to be threats to this species, however, not enough is known about this species to assess if these threats are affecting it.",There are no data available on the population size and trends for this species as only two specimens of have been found (Cox 1991).,Unknown,"This Thailand endemic has only been found in the province of Lampang in northern Thailand; the type locality is Muang Ngow. (Smith 1918, 1943).",There is no use or trade in this species.,Terrestrial|Freshwater (=Inland waters),"The area where this species has been collected is a protected area. There are no known species-specific conservation measures in place for this species. Further research into the biology and ecology, threats, population numbers and habitat status of this species is needed.",Indomalayan,,false,false,Global
1295177,170217,Acanthopagrus longispinnis,Data Deficient,,2014,2009-12-04 00:00:00 UTC,3.1,English,"<em>Acanthopagrus longispinnis</em> was recently separated from <em>A. latus</em>. The type series of <em>A.  longispinnis</em>, includes two species, and further study is needed to  resolve the identity of this species. It is therefore listed as Data Deficient.",There is no information available on the biology of this species.,There are no major threats known for this species.,There is no population information available for this species.,Unknown,"<em>Acanthopagrus longispinnis </em>is currently known from two localities in the Bay of Bengal, lower basins of the Ganges River and the shallow coastal area of Chennai. It is likely to be more widely distributed in the northwestern Bay of Bengal (Iwatsuki 2013).<br/><p><br/></p>",There is no use/trade information available for this species.,Marine,"There   are no species-specific conservation measures in place for this species. It   occurs in some marine protected areas within its range (World Database of   Protected Areas, accessed 11 March 2014). The type series of&#160;<em>A. longispinnis</em>, includes two species, and further study is needed to resolve the identity of this species. Further study is also needed to determine population trends and biology of this species.","",,false,false,Global
1295401,170219,Argyrops megalommatus,Data Deficient,,2014,2011-03-30 00:00:00 UTC,3.1,English,"<em>Argyrops megalommatus&#160;</em>is endemic to the Red Sea. There is limited information available on its population status, life history characteristics and specific habitat requirements. It is therefore listed as Data Deficient. We recommend further research on its biology and monitoring of its population status.",Little is known about the biology of this species.,There are no major threats known for this species.,Little information is available on the population status of this species.,Unknown,"<em>Argyrops megalommatus</em> is known only from the Red Sea (Eschmeyer 2013, Golani and Bogorodsky 2010).",Use and trade information are not available for <em>A. megalommatus</em>.,Marine,"There   are no species-specific conservation measures in place for this species. It   occurs in some marine protected areas within its range (World Database of   Protected Areas, accessed 11 March 2014). Research is needed on the biology, population trends, and use/trade information for this species.","",,false,false,Global
1298814,170236,Sparidentex belayewi,Data Deficient,,2014,2011-03-30 00:00:00 UTC,3.1,English,"<em>Sparidentex belayewi</em>&#160;is&#160;abundant in markets in Pakistan, together with <em>Sparidentex hasta</em>. There is limited information available at present&#160;regarding population status, life history characteristics and habitat requirements. Additionally, this species is pending correct taxonomic designation. It is therefore listed as Data Deficient.",Little information is available on the biology of this species.,There are no major threats known for this species.,There is little population information for this species.,Unknown,"<em>Sparidentex belayewi</em>&#160;is currently known only from Iraq, Iran, and Pakistan (Iwatsuki and Heemstra 2010). There are no records from the western Persian Gulf (Y. Iwatsuki pers. comm. 2013).","Use and trade information for <em>Sparidentex belayewi </em>in the Persian Gulf&#160;is unknown, however, it is very abundant in the markets of the Indus River estuary of Pakistan. Experimental aquaculture for this species, in addition to&#160;<em>S. hasta</em>, is occurring in Iran (F. Kaymaram and Y. Iwatsuki pers. comm. 2013).",Marine,"There   are no species-specific conservation measures in place for this species. It   occurs in some marine protected areas within its range&#160;(World Database   on Protected Areas, accessed 11 March 2014).","",,false,false,Global
1302872,170255,Lithognathus olivieri,Data Deficient,,2014,2011-03-30 00:00:00 UTC,3.1,English,"<span style=""font-style: italic;"">Lithognathus olivieri</span> is endemic to Namibia. This species is an important commercial fish in Namibia and there are data indicating declines from fishing. There are no available data at present on its population status, limited information on its life history characteristics and specific habitat requirements.&#160;There is ongoing taxonomic work being done on&#160;<span style=""font-style: italic;"">Lithognathus</span>.&#160;It is therefore listed as Data Deficient.","The maximum recorded length for this species is 25.6 cm SL (Penrith and Penrith 1969). There is little known about the biology of this species and further research is required.&#160;<span class=""gs_ctc"">",Declines from fishing pose a threat to this species and the lack of life history and population information for <em>L. oliveri</em>&#160;will make fisheries management challenging.,"Capture production in Namibia peaked in 1995 with 195 tonnes, there was a decrease in 1996 with six tonnes and an increase in landings in 1997 with 136 tonnes and 116 tonnes in 1999. From 2000 to 2007 landings were from zero to 56 tonnes.",Unknown,<em>Lithognathus olivieri </em>is endemic to Namibia (Penrith and Penrith 1969).,"<em>Lithognathus olivieri</em> is an important game fish (Namibian Fishing Industry, http://www.nfi.com, accessed 2009, 2013).",Marine,"There are no species-specific conservation measures in place for this species; however, the range of this species overlaps with marine protected areas throughout its range (World Database of Protected Areas, accessed March 2014).","",,false,false,Global
1308023,170281,Spicara nigricauda,Least Concern,,2014,2011-03-30 00:00:00 UTC,3.1,English,"<em>Spicara nigricauda</em>&#160;is widespread along the coast of West Africa from 50 to 100 m depths. &#160;Despite the limited information on its population status,&#160;life history characteristics and specific habitat requirements,&#160;<em>Spicara nigricauda</em>&#160;is of minor commercial importance and is presently not undergoing significant population declines. &#160;This species is&#160;currently not at a high risk of extinction in the near future and is therefore listed as Least Concern. We recommend research on its biology and population status.",This species is found over the continental shelf (Schneider 1990) and grows to 20 cm TL or more (Edwards <em>et al.&#160;</em>2001).,There are no major threats known for this species.,There is limited population information available for this species.,Unknown,"<em>Spicara nigricauda</em> is distributed in the Eastern Central Atlantic and is known from Ghana to Angola, including the offshore islands (Eschmeyer 2012, Edwards <em>et al.</em>&#160;2001) from 50 m to 100 m depth (Schneider 1990).",<em>Spicara nigricauda</em> is of minor commercial importance. Small individuals are taken by net and larger ones by hook. This species is mainly caught from January to April (Edwards <em>et al. </em>2001).,Marine,"<p>There are no species-specific conservation measures in place for this species. It occurs in some marine protected areas within its range (World Database of Protected Areas, accessed 11 March 2014). Additional information about the biology, population trends and harvest levels are needed for this species.&#160;</p>","",,false,false,Global
1308950,170286,Spicara melanurus,Least Concern,,2014,2011-03-30 00:00:00 UTC,3.1,English,<em>Spicara melanuru</em>s&#160;is widespread along the coast of West Africa. It is a dominant component of the artisanal fishery in Cape Verde and is a minor component of the industrial fishery.&#160;<em>Spicara melanuru</em>s&#160;inhabits the continental shelf but there is limited information on its life history characteristics and specific habitat requirements. There are no data indicating population declines in its distributional range. It is therefore listed as Least Concern. We recommend research on its biology and population status.,"<em>Spicara melanuru</em>s&#160;is found over the continental shelf and is usually found at the depths of 100 m to 250 m (Reiner 1996). The maximum recorded size for this species is 32.8 cm TL and its weight-length relationship in Cape Verde is W=0.0713TL<sup>2.4915</sup> based upon 1,569 specimens with lengths varying from 18.2 and 32.8 cm and weight varying from 87 to 425 g (Oliveira <em>et al.</em> 2014) .<br/><br/><em>Spicara melanurus</em> presents multiple spawns practically throughout the year in Cape Verde. These fish are diandric protogynous hermaphrodites. Smaller and larger individuals are mostly males (Carneiro <em>et al.</em> 2014) .","There are no major threats known for this species. Potential declines from fishing may pose a threat to this species, as it is gaining importance in fisheries due to population declines of more valuable species.","Population trends for&#160;<em>Spicara melanuru</em>s are unknown. However, this species has gained importance in artisanal fisheries in the recent years as catches of&#160;<em>Decapterus macarellus</em>, an important species in Cape Verde, have declined.",Unknown,<em>Spicara melanurus </em>is distributed in the eastern Atlantic from Senegal and the Cape Verde Islands. Records from Angola (Carpenter in prep.) and Madeira (Wirtz <em>et al.</em> 2008) need confirmation. This species usually occurs between depths of 100 m and 250 m (Reiner 1996).,"<em>Spicara melanuru</em>s&#160;is one of the dominant species of the artisanal fishery in Cape Verde and constitutes about half of the total catch (along with one other species), but it is of minor importance in the industrial fishery (Stobberup and Erzini 2006).",Marine,"<p>There are no species-specific conservation measures in place for this species. It occurs in some marine protected areas within its range (World Database of Protected Areas, accessed 11 March 2014). Additional information about the biology, population trends and harvest levels of this species is needed.&#160;</p>","",,false,false,Global
1309077,170287,Spicara martinicus,Data Deficient,,2014,2011-03-30 00:00:00 UTC,3.1,English,"<em>Spirica martinicus</em>&#160;is only known from Martinique Island. It is known only from the holotype. Information about the biology, population status, and harvest levels are not available at present.&#160;It is therefore listed as Data Deficient.",There is limited information available on the biology of this species.&#160;<br/><br/><p></p>,There are no major threats known for this species.,There is limited information available on the population status of this species. It is known only from the holotype (Eschmeyer 2011).&#160;<br/><strong><em><br/></em></strong>,Unknown,<em>Spicara martinicus </em>is known only from Martinique Island (Cuvier and Valenciennes 1830).,Use and trade information is not available for this species.,Marine,"There are no species-specific conservation measures in place for this species. It occurs in some marine protected areas within its range (World Database of Protected Areas, accessed 11 March 2014).&#160;There is a need for further research on the biology, population status, and harvest levels of this species.","",,false,false,Global
1362374,172664,Indotyphlops exiguus,Data Deficient,,2013,2010-09-13 00:00:00 UTC,3.1,English,<p><em>Typhlops exiguus </em>is known only from the type locality in Belgaum in the Western Ghats of Karnataka. This species is known only  from historic records. This species is therefore  listed as Data Deficient.<br/></p>,Nothing is known about the habitat requirements and ecology of this species.,Nothing is known about threats to this species.,"<span style=""font-style: italic;"">Typhlops exiguus</span> is known only from Belgaum, Karnataka.. It has not been recorded since it was originally described, and there is no information regarding its present population status.",Unknown,"<span style=""font-style: italic;"">Typhlops exiguus</span> is known only from the type locality Belgaum, Karnataka, India.",The species is not in use.,Terrestrial,"<span style=""font-style: italic;"">Typhlops exiguus </span>is        known   only from the type locality in Belgaum, in India's Western Ghats, and no recent sightings have been reported. Research is needed to rediscover this species in order to establish its current distribution, life history, ecology and the existence of any threats.",Indomalayan,,false,false,Global
