assessmentId,internalTaxonId,scientificName,redlistCategory,redlistCriteria,yearPublished,assessmentDate,criteriaVersion,language,rationale,habitat,threats,population,populationTrend,range,useTrade,systems,conservationActions,realm,yearLastSeen,possiblyExtinct,possiblyExtinctInTheWild,scopes
4622925,154740,Akarotaxis nudiceps,Least Concern,,2010,2009-02-04 00:00:00 UTC,3.1,English,"<em>Akarotaxis nudiceps</em> has been assessed as Least Concern. Due to the deep-water nature and remote but widespread geographic distribution of this species, it is unlikely that it is being threatened by any climatic or human-induced threat processes. <em>A. nudiceps</em> is also known to be a dominant species in areas of its broad distribution around the Southern Ocean.","<em>Akarotaxis nudiceps</em> is bathydemersal and lives at temperatures as low as -1.65° Celsius. This species has a depth range of 371-915 m and can be found on the outer shelf and deep in troughs. This species has the lowest fecundity of any known bathydraconid species, producing only 2000 eggs per female (La Mesa<em> et al.</em> 2007). Spawning may occur from mid to late summer (Gon 1990).",Due to the deepwater nature of this species it is unlikely that <em>Akarotaxis nudiceps</em> is being impacted upon by any major threat processes. It may be taken incidentally as a by-catch species.,<em>Akarotaxis nudiceps</em> has been described as the dominant species in the Gould Bay area (Ekau 1990). This species comprised 3.2% of the catch from a bottom trawl in the Ross Sea (Eastman and Hubold 1999).,Unknown,<em>Akarotaxis nudiceps</em> has a near circumantarctic distribution from west of the Adelaide Islands round to the Ross Sea.,,Marine,There are no species-specific conservation measures in place or that are needed for <em>Akarotaxis nudiceps</em>.,Antarctic,,false,false,Global
4633007,154785,Pleuragramma antarctica,Least Concern,,2010,2009-02-04 00:00:00 UTC,3.1,English,"<em>Pleuragramma </em><span style=""font-style: italic;"">antarctica</span> has been assessed as Least Concern. This species has no major threats acting against it at present, and it has been reported to be the most dominant pelagic fish species in areas of its broad distribution. Because this species plays an important role in the Antarctic ecosystem food web, continued monitoring of the population numbers is needed. It is not commercially harvested.","<em>Pleuragramma </em><span style=""font-style: italic;"">antarctica</span> is regarded as the only truly pelagic fish species in Antarctic waters. Specimens have been collected over mud and sandy mud bottoms, however the morphometrics of this species indicates that it does not feed on the benthos. This species has a depth range of 0-728 m, with the larvae and postlarvae occurring at a depth range of 0-135 m; juveniles at 50-400 m and adults are found at depths below 400 m. All of this vertical distribution is throughout the Antarctic continental shelf (O. Gon pers. comm. 2009).This species predominantly feeds on krill and copepods, however amphipods, euphausiids, molluscs, polychaetes, chaetognaths and ostracods are also part of its diet. <em>Pleuragramma </em><span style=""font-style: italic;"">antarctica</span> may also switch to cannibalism in the absence of an adequate food supply. This species inhabits both open waters and areas of pack ice in mid-water. <br/><br/>With its wide distribution and high numbers, <em>P. antarctica</em> forms a major part of the diet of most large Antarctic predators. This species is an important part of the cryopelagic feeding community (Hureau 1994). It is very slow growing and takes considerable time to reach maturity. Considering its importance, a significant decline in population numbers could have severe ecological ramifications.<br/><br/>Spawning possibly occurs in August-September (Kock and Kellermann 1991).","It is unlikely that any major threat is impacting <em>P. </em><span style=""font-style: italic;"">antarctica</span>. At present this species is not commercially exploited. The Former Soviet Union has reported catches of <em>P. antarctica </em> four times between 1977 and 1983 (approximately 1,000 t per year). Due to the prominent role of this species in the Antarctic ecosystem food web, any attempts to exploit this fish species in the future will be cautiously approached according to the CCAMLR (Convention for the Conservation of Antarctic Marine Living Resources) rules.<br/><br/>Larvae and juveniles are captured as by-catch in krill fisheries, but this is not considered a major threat (O. Gon pers. comm. 2009).","<em>Pleuragramma </em><span style=""font-style: italic;"">antarctica</span> is described as dominant in the Weddell Sea (Ekau 1990). Guglielmo <em>et al.</em> (1998) describe it as the most dominant pelagic fish in the high Antarctic. It represents about 98% of the total nototheniid ichthyoplankton of the Weddell Sea (Keller 1983). The overwhelming dominance of <em>P. antarcticum</em> is well documented in the Ross Sea and Weddell Sea, accounting for over 90% of the local fish community in number and biomass (DeWitt 1970, Hubold and Ekau 1987). Abundances of postlarvae reach as high as 27,075 specimens per 100 m<sup>3</sup> in the Ross Sea.",Stable,"<em>Pleuragramma </em><span style=""font-style: italic;"">antarctica</span> has a circumantarctic distribution which includes the Weddell Sea, Bellingshausen, Ross Sea, Davis Sea, Oates, Adelie, Wilhelm, Prydz Bay, Antarctic Peninsula, South Shetland and the South Orkney Islands.",At present this species is not commercially exploited.,Marine,"There are no species-specific conservation measures in place for <em>Pleuragramma antarctica</em>, however the area in which this species is found is managed by CCAMLR. The convention was established due to concerns on increasing fishing pressure on krill and the impact this may pose to other marine organisms.<br/><br/>Monitoring of the population numbers of this species is needed.",Antarctic,,false,false,Global
4705165,155028,Artedidraco glareobarbatus,Least Concern,,2010,2009-02-04 00:00:00 UTC,3.1,English,<em>Artedidraco glareobarbatus</em> has been assessed as Least Concern. This species is not known to face any major threats and has a relatively wide range.,<em>Artedidraco glareobarbatus</em> is a demersal species which is known from a depth range of 84-287 m and feeds primarily upon polychaetes (La Mesa and Vacchi 2005).,It is unlikely that <em>Artedidraco glareobarbatus</em> is being impacted upon by any major threat processes. There is no directed fishery for this species.,There is no population information available for <em>Artedidraco glareobarbatus</em>.,Unknown,<em>Artedidraco glareobarbatus</em> is found within the Ross Sea of the Southern Ocean.,,Marine,"There are no species-specific conservation measures in place, or needed, for <em>Artedidraco glareobarbatus</em>.",Antarctic,,false,false,Global
15603090,190385,Antimora rostrata,Least Concern,,2015,2012-07-11 00:00:00 UTC,3.1,English,"This deep-water species is widespread, although its presence in the Eastern Central Atlantic needs investigation. It is not utilized and there are no known threats. Therefore, it is listed as Least Concern.","An overall increase in average size with depth occurs with <span style=""font-style: italic;"">A. rostrata</span>. Length at first sexual maturity in<span style=""font-style: italic;""> A. rostrata</span> is 41-43 cm (Fossen and Bergstad 2006). However, as it matures in size and age, it tends to move off the coast and spawn in the deeper parts of its range (Paulin 1995). There is evidence that&#160;<span style=""font-style: italic;"">A. rostrata</span>&#160;forms aggregations segregated at larger sizes by sex (Iwamoto 1975).&#160;The maximum size recorded is 42.75 cm (SL).&#160;This species is known to feed on <span class=""sheader5"">benthic invertebrates (Paulin 1995).",It is not utilized and there are no known threats to this species.,"<span style=""font-style: italic;"">Antimora rostrata</span> is probably one of the most abundant fishes frequenting abyssal depths in the world's oceans. Females are predominate in catches and large males are uncommon (Iwamoto 1975). In depths between 1,000 and 1,500 m in Greenland the proportion of females increased to 55.6% (n = 692). In trawl hauls from the MAR similar numbers were 70.5% at depths between 1,000 and 2,000 m (n = 342) and 98.8% at depths exceeding 2,000 m (n = 181; Fossen and Bergstad 2006). <br/><br/>Within its peak depth range (1,200-2,700 m),&#160;<span style=""font-style: italic;"">A. rostrata</span> is among the dominating species in all data sets in terms of population density (Fossen and Bergstad 2006).",Unknown,"<span style=""font-style: italic;"">Antimora rostrata</span> appears to have a worldwide distribution. It occurs through the eastern and western Pacific south to Tasmania. It occurs in the Atlantic from the Davis Strait (64°N) south through the eastern and western Atlantic to the Antarctic Convergence off South Georgia. It also occurs in the southern Indian Ocean south into Antarctic waters to about 59°S (Iwamoto 1975). In the Eastern Central Atlantic, this species is commonly found from Gabon to the southern tip of South Africa.&#160;It is a bentho-pelagic species that inhabits depths between 350-3,000 m (Cohen&#160;<span style=""font-style: italic;"">et al</span>. 1990), although it is most usually found between 1,300-2,500 m depths (Scott and Scott 1988). It&#160;resides on the continental slope and upper rise (Cohen 1986).",This species is not utilized.,Marine,There are no conservation measures in place for this species.,"",,false,false,Global
21909284,198762,Borostomias antarcticus,Least Concern,,2015,2013-05-10 00:00:00 UTC,3.1,English,"<em>Borostomias antarcticus</em>&#160;is found in the temperate to polar waters of the North Atlantic and the southern hemisphere. This species was commercially harvested in 2010, in which one tonne was collected. However, the nature of this harvest needs to be determined. It is assumed to have been bycatch and not thought to be utilized. The commercial value should be determined. There are no species-specific threats to this species at present. There are no species-specific conservation measures in place for this species. Therefore, this species is listed as Least Concern.<br/><strong><br/></strong><strong><br/></strong><span style=""font-style: italic;""><br/></span><span style=""font-style: italic;""><br/></span><span style=""font-style: italic;""><br/></span><span style=""font-style: italic;""><br/></span><span style=""font-style: italic;""><br/></span>","<span style=""font-style: italic;"">Borostomias antarcticus</span> is a meso- to bathypelagic (Moore <em>et al. </em>2003)&#160;and bathydemersal species, occurring at depths of 300-2,630 m (Gon 1990) in temperate to polar waters (Pakhomov <span style=""font-style: italic;"">et al</span> 2006).<em>&#160;</em>It&#160;feeds almost exclusively on fish and copepods (Klimpel <span style=""font-style: italic;"">et al</span>. 2006).","There are currently no known threats to <em>Borostomias antarcticus</em>. However,&#160;over-exploitation may become a threat, pending the determination of its commercial value. More research is needed to determine if <em>B. antarcticus</em>&#160;faces any threats.",There is no population information.,Unknown,"<span style=""font-style: italic;"">Borostomias antarcticus</span> is found in the temperate to polar waters of the North Atlantic and the southern hemisphere. In the western North Atlantic, <span style=""font-style: italic;"">B. antarcticus</span> is found from 39°N northwards to off Greenland and Iceland (Moore <span style=""font-style: italic;"">et al</span>. 2003). It&#160;has been recorded from the Prince Edward Islands, a sub-Arctic archipelago approximately 2,000 km southeast off the South African coast (Pakhomov <span style=""font-style: italic;"">et al</span>. 2006), King George Island (South Shetland Islands, Antarctica) (Pusch <span style=""font-style: italic;"">et al</span>. 2004), the Bay of Biscay (Klimpel <span style=""font-style: italic;"">et al</span>. 2006) and the Mediterranean Sea (Moranta <span style=""font-style: italic;"">et al</span>. 2004). In Africa,&#160;<em>B. antarcticus</em>&#160;is known only from Atlantic waters up to 18°S (Gibbs 1986).&#160;This species is poorly represented in the&#160;Eastern Central Atlantic&#160;with one record off northern Angola and one in the western&#160;Eastern Central Atlantic&#160;(OBIS 2014).","In 2010, the catch total recorded for <em>Borostomias antarcticus</em>&#160;in the western Indian Ocean was approximately one tonne.&#160;However, this species is not utilized.",Marine,"There are currently no species-specific conservation measures in place for <em>Borostomias antarcticus</em>. More research is needed regarding its current population size and trend, habitats, ecology, life history, use/trade and threats.","",,false,false,Global
21910125,18127741,Ceratias holboelli,Least Concern,,2015,2013-05-09 00:00:00 UTC,3.1,English,"<em>Ceratias holboelli</em>&#160;is circumglobally distributed in meso-bathypelagic zones where it does not occur abundantly. It may occur as bycatch in trawl fisheries, but is not utilized and has no major threats. It is therefore assessed as Least Concern.&#160;<br/><p><br/></p>","<em>Ceratias holboelli</em>&#160;is a deep-sea fish that inhabit the mesopelagic and bathypelagic zones. It exhibits extreme sexual dimorphism. Females have a maximum size of 77 cm (SL), while males are 14.5 cm (SL). Females attract prey with an elongate first dorsal spine that has been modified as a lure (Bertelsen 1990). Males have highly developed sensory organs that allow them to find females at which point they will attach themselves to the body as a parasite that eventually becomes incorporated into the female's tissues and blood vessels (Pietsch in press).&#160;Females are oviparous and larvae are planktonic (Watson 1996). This species spawns in gelatinous rafts that float to upper water column (zero to 200 m; Pietsch 2009).&#160;Information regarding the diet, spawning season, fecundity and early life history is limited for this species.","There are no known major threats to&#160;<em>Ceratias holboelli. </em>However, this species may be incidentally and infrequently caught in trawls off of Namibia (Bianchi&#160;<em>et al.</em>&#160;1999).",<em>Ceratias holboelli&#160;</em>is a solitary species that does not occur abundantly (Pietsch in press). There are 161 female specimens and 19 male specimens currently known (Pietsch 2009).,Unknown,"<em>Ceratias holboelli</em> is broadly distributed circumglobally in the mesopelagic and bathypelagic zones (Pietsch in press).&#160;In the western Atlantic, it is found off Brazil. In the Pacific, it is known from southern Tasmania, New Zealand, New South Wales and the Coral and Celebes seas, the Bismarck Archipelago and Solomon Islands, as well as off Taiwan, Japan, the Bering Sea, Aleutian Islands, Oregon and California, the Hawaiian Islands, and east to the Peru-Chile Trench at 24° S and 72° W. In the Indian Ocean, it is known from Durban, South Africa and the Arabian Sea. It appears to be excluded from the Southern Ocean&#160;(Pietsch 2009).&#160;In the northeastern Atlantic it ranges from Iceland (about 68°<sup> </sup>N and&#160;south to about 8° S) in the central Atlantic&#160;(Pietsch 2009).&#160;The depth range can be between 150 and 3,400 m; however, it is most commonly captured between 400 and 2,000 m (Pietsch 2009).",<em>Ceratias holboelli</em>&#160;is not utilized (Pietsch in press).,Marine,"There are no known conservation measures for&#160;<em>Ceratias holboelli. </em>Its range intersects with numerous marine protected areas, although because of the depth stratification of this species, it is unknown if it actually resides within the protected area's boundaries.&#160;Research into the taxonomy, population size and structure, as well as the early life history of this species, is needed.<br/>.","",,false,false,Global
21911500,190346,Zu cristatus,Least Concern,,2015,2013-05-07 00:00:00 UTC,3.1,English,"<em>Zu cristatus</em>&#160;is circumglobally distributed in the epi-mesopelagic zone&#160;in depths from zero to 950 m. It is a rarely occurring, typically deep-dwelling species that is an important prey item for some large pelagic predators. It sometimes occurs as bycatch in longline fisheries, but is not utilized and there are no major threats. Therefore, it is listed as Least Concern.","<em>Zu cristatus</em>&#160;is an offshore fish with a maximum size of approximately 120 cm SL that inhabits the epipelagic and mesopelagic zone. It feeds on pelagic crustaceans, small fishes and squids. The eggs are free-floating, large and red. Juveniles swim at the surface while trailing elongate dorsal and pelvic fin rays that give them the appearance of a jellyfish. Data on the reproduction and habits of this species are limited (Olney in press, Bianchi <em>et al</em>. 1999).&#160;Vakily&#160;<em>et al</em>. (2002) describe Z. <em>cristatus&#160;</em>as bathypelagic with a maximum size of 118 cm SL off of West Africa. Eggs of this species in ichthyoplankton collections in the Adriatic Sea&#160;had a diameter of 1.85-2.1 0mm (Dulcic 2002). Another ichthyoplankton study found eggs of <em>Z. cristatus</em> in&#160;the&#160;Mid-Atlantic Bight of&#160;the western Atlantic which the authors believe were spawned in warm oceanic waters south of Cape Hatteras, North Carolina (Olney and Naplin 1980).<em>&#160;</em>It&#160;is reportedly a prey item of Sailfish in the southern Gulf of California, Mexico (Rosas-Alayola <em>et al.</em> 2002).",There are no known major threats to&#160;<em>Zu cristatus.</em>,<em>Zu cristatus</em>&#160;is a rarely occurring species (Olney in press).,Unknown,"<em>Zu cristatus</em>&#160;is distributed circumglobally in the mesopelagic zone (Olney in press).&#160;Vakily<em>&#160;et al</em>. (a study by FishBase on West African fishes; 2002) report&#160;<em>Z. cristatus&#160;</em>as distributed off of Sierra Leone.&#160;In tropical to warm temperate waters of the western Atlantic it is distributed from Norfolk Canyon (36°50'N, 73°40'W), south of La Have Basin (40°57'N, 63°35'W), near Alvin Canyon (39°47'N, 70°32'W), and near Bear Seamount south to&#160;Florida,&#160;the Gulf of Mexico and Cuba&#160;(Moore <em>et al.</em> 2003), as well as eastern Brazil and Argentina.&#160;<br/><br/>In the Pacific this species has been recorded from zero to 950 m depth off of New Caledonia (Fricke <em>et al.</em> 2011) and off of Chile (Sielfeld<em> et al.</em> 2010). Near Hawaii, this species has been recorded off of the main Hawaiian Islands and the Hancock Seamounts.&#160;<br/><br/>It is also known from the Mediterranean Sea (Bianco <em>et al</em>. 2006, Bradai and El Ouaer 2012), Indian and Pacific Oceans in the epipelagic zone (Mundy 2005). It is considered rare off of Japan, but has occurred from the mouth of Tokyo Bay south to Osaka Bay, the Ogasawara Islands and Akita Prefecture south to Yamaguchi Prefecture (Nakabo 2002).<br/><br/><p></p>",<em>Zu cristatus</em>&#160;is not utilized (Olney in press). This species is uncommonly caught as bycatch in trawl fisheries (Bianchi <em>et al.</em> 1999). It uncommonly occurs as bycatch in the swordfish longline fishery in southern Italy (Cambie <em>et al</em>. 2013).,Marine,There are no known conservation measures for&#160;<em>Zu cristatus.</em>,"",,false,false,Global
21913970,190239,Poromitra crassiceps,Least Concern,,2015,2013-05-13 00:00:00 UTC,3.1,English,"<em>Poromitra crassiceps</em>&#160;has a nearly cosmopolitan distribution. It is a deep-dwelling, bathypelagic, commonly occurring species that is found over the continental slope. There are no known threats. Therefore, it is listed as Least Concern.","<em>Poromitra crassiceps</em>&#160;is a bathypelagic species that&#160;is typically found over slope areas (Garcia and Morgan 2002, Pusch <em>et al</em>. 2004). It&#160;is found most abundantly at approximately 800 m depth, with lesser catches by day than by night, suggesting a vertical migration to the depth horizon at night (Willis and Pearcy 1982). The presence of <em>P. crassiceps</em>&#160;in some demersal trawls may indicate a benthopelagic feeding strategy, feeding primarily on copepods, amphipods and salps (Mauchline and Gordon 1984).",There are no known species-specific threats to <em>Poromitra crassiceps.</em>,<em>Poromitra crassiceps</em>&#160;is relatively abundant (Parin and Ebeling 1980).,Unknown,"The exact distribution of this species needs to be more clearly defined. Ebeling and Weed (1973) assigned <em>P. crassiceps&#160;</em>as the senior synonym of eight nominal species:&#160;<em>P. atlantica</em>,&#160;<em>P. coronata</em>,&#160;<em>P. cristiceps</em>,&#160;<em>P. frontosa</em>,&#160;<em>P. nigriceps</em>,&#160;<em>P. nigrofulva</em>,&#160;<em>P. rugosa </em>and&#160;<em>P. unicornis</em>; as a result, <em>P. crassiceps</em> was regarded as a cosmopolitan species. However, Kotlyar (2008) revised the genus <em>Poromitra</em>&#160;and restricted the current known distribution of <em>P. crassiceps</em> to the tropical Atlantic between Brazil and western Africa.&#160;Although there are reports of this species more broadly in the Atlantic Ocean, verification of the identifications is required to clarify its true distribution.","Members of the Melamphaidae family are often caught on deep-water trawls, but are of no commercial importance (Moore and Paxton 1999). There is currently no species-specific information regarding the use and/or trade of <em>Poromitra crassiceps</em>.",Marine,There are no species-specific conservation measures in place for <em>Poromitra crassiceps</em>.,"",,false,false,Global
42691689,190300,Cyclothone alba,Least Concern,,2015,2012-05-18 00:00:00 UTC,3.1,English,"<em>Cyclothone alba&#160;</em>is a circum-global species. This species can be locally abundant and is abundant in museum collections as well. There is no use and trade information available for this species. There are no threats to this species. There are no species-specific conservation measures in place for&#160;<em>C. alba.&#160;</em>It is not known whether there is substantial immigration/emigration from outside the region that will significantly affect subpopulations in the Eastern Central Atlantic.&#160;Therefore, this species is listed as Least Concern both globally and in the Eastern Central Atlantic.<strong><br/></strong><strong><br/></strong><em><br/></em>","<em>Cyclothone alba</em> is a mesopelagic species, but can extend into the upper bathypelagic zone. This species is concentrated between 300-500 m. Relative to other <em>Cyclothone </em>species, is is a shallow-water&#160;species&#160;(Miya and Nishida 1996). In Sagimi Bay, central Japan, spawning occurs during the late spring and summer months, however in Hawaii the seasonality of spawning is less&#160;apparent&#160;(Maynard&#160;<em>et al.</em>&#160;1975). This species exhibits sexual dimorphism. The size over which 90% of males are mature is 15.6 mm, and for females, 19.7 mm. All males and females are mature by two years of age at 21 mm for males, and 26 mm for females. This species is semelparous, releasing approximately 200 to 650 eggs at the end of its life. Egg and larval stages last approximately two to three months (Miya and Nemoto 1986). This species feeds on copepods and ostracopods (Gordon <em>et al</em>. 1985).",There are no species-specific threats to <em>C. alba</em>.,"<strong>Global</strong><em>Cyclothone alba</em> is abundant in museum collections (894 lots), and lots typically contain multiple individuals per lot.&#160;The genus&#160;<em>Cyclothone</em>&#160;is one of the most abundant groups of fishes in the ocean, and is the most speciose genus of the family Gonostomatidae. These fishes are dominant&#160;components&#160;of the midwater deep-sea fish assemblage, comprising 50-70% of the midwater fish catches across various parts of the world's oceans (Miya and Nishida 1996, Berry and Perkins 1966, Goodyear&#160;<em>et al.&#160;</em>1972, Maynard&#160;<em>et al.</em>&#160;1975, Badcock and Merret 1976, Miya<em>&#160;et al.&#160;</em>1995).&#160;<br/><strong><br/></strong><strong>Centres of Abundance</strong>This species was the most numerically abundant mesopelagic fish collected in the north-central Pacific, and in the south-central Pacific. In the central equatorial Pacific, it was the fourth most numerically abundant species, replaced by the congener <em>C. acclinidens</em> (Barnett 1984), implying that this species is more abundant in subtropical waters and less abundant in&#160;equatorial&#160;waters. When tows from the North Central Pacific, the South Central Pacific, and the Central Equatorial pacific were combined, <em>C. alba</em> was found to be the most numerically dominant species.&#160;<br/><br/><strong>Eastern Central Atlantic</strong>This species can be locally abundant throughout its range in the Eastern Central Atlantic.&#160;It is not known whether there is substantial immigration/emigration from outside the region that will significantly affect subpopulations in the Eastern Central Atlantic.",Stable,"<em>Cyclothone alba </em>is a circumglobal species which is primarily distributed in tropical to temperate waters, being found primarily between 40<sup>o</sup>N and 40<sup>o</sup>S (Harold in press, Miya and Nemoto 1986) but may be found further south in the eastern Pacific Ocean and further north in the Atlantic and eastern Pacific Oceans.&#160;In the Eastern Central&#160;Atlantic, this species occurs from Mauritania to Angola, including the Cape Verde and Gulf of Guinea Islands.&#160;<br/><br/>This species occurs from 200-1,200 m in depth (www.fishnet2.net). This species appears to&#160;preferentially&#160;concentrate at depths&#160;corresponding&#160;with a temperature range of about 5-8<sup>o</sup>C. In Sagami Bay, Japan, it is primarily concentrated at depths between 300-600 m (Miya and Nemoto 1986), and in Hawaii at 425-625 m (Maynard <em>et al.</em> 1975).",There is no use and trade information available for this species. It does not appear to be utilized.,Marine,There are no species-specific conservation measures in place for<em> C. alba</em>.,"",,false,false,Global
42691704,190133,Cyclothone microdon,Least Concern,,2015,2013-05-22 00:00:00 UTC,3.1,English,"<em>Cyclothone microdon</em>&#160;occurs in all three major oceans and can be locally abundant. This species is not utilized and there are no threats. There are no conservation actions in place for this species.&#160;It is not known whether there is substantial immigration/emigration from outside the&#160;Eastern Central Atlantic&#160;that will significantly affect subpopulations in the region.&#160;Therefore, this species is listed as Least Concern both globally and in the Eastern Central Atlantic.<strong><br/></strong><strong><br/></strong><strong><br/></strong>","<em>Cyclothone microdon </em>possesses a degree of plasticity in life history traits which is dependent on location. In the eastern North Atlantic,<em> Cyclothone microdon</em> was found to be most abundant at higher latitudes of 60<sup>o</sup> and 50<sup>o</sup>N, and decreased in abundance until around 20<sup>o</sup>N, when none were captured. At 60<sup>o</sup> and 50<sup>o</sup>N, large adult females dominated the population, with males&#160;occurring&#160;in small numbers. Small individuals were less abundant at the highest latitudes, and increased in abundance around 40<sup>o</sup>N, suggesting that adults and juveniles of this species do not generally co-occur, and are usually spatially or temporally&#160;separated. There is little change in the mean size of females with decreasing latitude in the eastern North Atlantic (McKelvie 1989), larger individuals were found at higher latitudes in the south Pacific (Spanovskaya and Lapin 1981). Males did not make up more than 10% of the total catch at any latitude, and the number of males per female decreased with latitude and by&#160;season. This species is thought to have a prolonged spawning period from spring to autumn. Fecundity in <em>C. microdon</em> ranged from 527 eggs to 4,391 eggs. Females are sexually mature at 3.0 cm SL, and live through at least two spawnings. Spawning occurs later in life due to protandrous sex reversal (McKelvie 1989). Females in the more advanced stages of maturity occur in deeper waters than males and less advanced females (Merrett 1994).&#160;Life history variables, such as size at maturity, age at first reproduction, number of spawnings during lifespan, and fecundity, were found to increase with increasing depth range in three species of&#160;<em>Cyclothone&#160;</em>(Miya and Nemoto 1991).&#160;<em>Cyclothone microdon&#160;</em>is larger size at maturity and delayed reproduction relative to other <em>Cyclothrone </em>species (Miya and Nishida 1996). <em>Cyclothone</em>&#160;<em>microdon</em>&#160;is iteroparous and relatively high fecundity relative <em>Cyclothrone </em>species (Miya and Nishida 1996).",<em>Cyclothone microdon</em>&#160;is likely to be impacted by fisheries&#160;targeting&#160;commercially important species but there are no known species-specific threats to&#160;<em>C. microdon</em>.,"<strong>Patterns of abundance in the Atlantic</strong><em>Cyclothone microdon</em> is an abundant species in the eastern North Atlantic Ocean and over the mid-Atlantic ridge (Sutton <em>et al.</em> 2008).&#160;It was found to be a component of a large, northern&#160;(65-45<sup>o</sup>N)&#160;&#160;low-diversity high abundance assemblage. It was also characteristic of two discreet deep-meso/upper bathypelagic assemblages which were found near the Azores (Sutton <em>et al</em>. 2008) and was the single most dominant species collected over the Mid-Atlantic Ridge in the area of the Charlie-Gibbs Fracture Zone,&#160;accounting&#160;for 30% of the total. At depths of 1,900-2,900 m, <em>C. microdon</em> represented 96% of the total. It was the third most abundant species collected at depths from one to 5,000 meters in the Sargasso Sea, representing 5.9% of the total catch, and was particularly abundant at the depth interval of 3,000-4,000 m (Sutton <em>et al.</em> 2010).&#160;It is not known whether there is substantial immigration/emigration from outside the&#160;Eastern Central Atlantic&#160;that will significantly affect subpopulations in the region.<strong><br/></strong><strong><br/></strong><strong>Population structure&#160;</strong><br/>At northern latitudes, the population generally consisted of a unimodal peak of adult females. Small individuals accounted for only a very small proportion of the catch at 60 and 50<sup>o</sup>N, but were very abundant at 40<sup>o</sup>N in the autumn; Adults and juveniles do not appear to co-occur, and are partitioned either spatially or, if they occur in roughly the same geographic location, temporally. A greater number of individuals at advanced stages of maturity&#160;occurred&#160;at lower latitudes, and spawning appears to be somewhat protracted and not entirely seasonal.&#160;<em>Cyclothone microdon</em>&#160;is abundant in museum collections (1,251 lots), and many of the collections contain many individuals (&gt;15 specimens per lot; FishNet2 Database searched February 2013).",Stable,"<em>Cyclothone microdon</em> is a circumglobal species which is found in subtropical to polar waters of both the northern and southern hemispheres (Harold in press).&#160;It occurs throughout the Eastern Central Atlantic (Harold pers. comm. 2013).&#160;In the southern ocean, it is found south of&#160;60°S&#160;at a temperature range of 0.3-2<sup>o</sup>C (Torres and Somero 1988). This species has a broad depth distribution of zero to 5,301 m (Coad and Reist 2004, Cook <em>et al.</em> 2012) and occurs between 200-2,700 m depth in all three major oceans (Schaefer <em>et al.&#160;</em>1986).",There is no use and trade information available for this species and it does not appear to be directly utilized. It is likely to be an important component of the diet of commercially important fishes.,Marine,There are no species-specific conservation measures in place for <em>C. microdon </em>but the&#160;distribution overlaps several marine protected areas.,"",,false,false,Global
