total_id,scientificName,kingdomName,phylumName,className,orderName,familyName,redlistCategory,marine_regions,url
10030/495630,Hexanchus griseus,ANIMALIA,CHORDATA,CHONDRICHTHYES,HEXANCHIFORMES,HEXANCHIDAE,Near Threatened,Atlantic Eastern Central,https://www.iucnredlist.org/species/10030/495630
11200/500969,Lamna nasus,ANIMALIA,CHORDATA,CHONDRICHTHYES,LAMNIFORMES,LAMNIDAE,Vulnerable,Atlantic Eastern Central,https://www.iucnredlist.org/species/11200/500969
15873/788483,Pagrus pagrus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SPARIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/15873/788483
161443/888910,Etmopterus pusillus,ANIMALIA,CHORDATA,CHONDRICHTHYES,SQUALIFORMES,ETMOPTERIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/161443/888910
161564/890724,Carcharhinus altimus,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,CARCHARHINIDAE,Near Threatened,Atlantic Eastern Central,https://www.iucnredlist.org/species/161564/890724
161696/894216,Alopias superciliosus,ANIMALIA,CHORDATA,CHONDRICHTHYES,LAMNIFORMES,ALOPIIDAE,Vulnerable,Atlantic Eastern Central,https://www.iucnredlist.org/species/161696/894216
161731/896169,Pteroplatytrygon violacea,ANIMALIA,CHORDATA,CHONDRICHTHYES,MYLIOBATIFORMES,DASYATIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/161731/896169
126710128/896599,Mobula hypostoma,ANIMALIA,CHORDATA,CHONDRICHTHYES,MYLIOBATIFORMES,MOBULIDAE,Endangered,Atlantic Eastern Central,https://www.iucnredlist.org/species/126710128/896599
177982/1510626,Acanthurus chirurgus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/177982/1510626
183153/1730321,Myrophis plumbeus,ANIMALIA,CHORDATA,ACTINOPTERYGII,ANGUILLIFORMES,OPHICHTHIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/183153/1730321
185182/1777936,Dactylopterus volitans,ANIMALIA,CHORDATA,ACTINOPTERYGII,SCORPAENIFORMES,DACTYLOPTERIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/185182/1777936
185865/1783554,Phaeoptyx pigmentaria,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,APOGONIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/185865/1783554
185924/1789864,Paroncheilus affinis,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,APOGONIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/185924/1789864
185931/1790824,Apogon pseudomaculatus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,APOGONIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/185931/1790824
185993/1800179,Eucinostomus melanopterus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,GERREIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/185993/1800179
188315/1856668,Chromis enchrysura,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACENTRIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/188315/1856668
188434/1874356,Abudefduf taurus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACENTRIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/188434/1874356
188581/1896808,Abudefduf saxatilis,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACENTRIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/188581/1896808
188607/1900985,Chromis multilineata,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACENTRIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/188607/1900985
188617/1902927,Microspathodon chrysurus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACENTRIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/188617/1902927
190071/1939832,Channomuraena vittata,ANIMALIA,CHORDATA,ACTINOPTERYGII,ANGUILLIFORMES,MURAENIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/190071/1939832
190085/1940431,Xenomystax congroides,ANIMALIA,CHORDATA,ACTINOPTERYGII,ANGUILLIFORMES,CONGRIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/190085/1940431
190128/1941104,Muraena melanotis,ANIMALIA,CHORDATA,ACTINOPTERYGII,ANGUILLIFORMES,MURAENIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/190128/1941104
190160/1942508,Ophichthus ophis,ANIMALIA,CHORDATA,ACTINOPTERYGII,ANGUILLIFORMES,OPHICHTHIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/190160/1942508
190166/1942974,Ariosoma anale,ANIMALIA,CHORDATA,ACTINOPTERYGII,ANGUILLIFORMES,CONGRIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/190166/1942974
190193/1943625,Sphoeroides pachygaster,ANIMALIA,CHORDATA,ACTINOPTERYGII,TETRAODONTIFORMES,TETRAODONTIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/190193/1943625
190196/1943920,Halosaurus guentheri,ANIMALIA,CHORDATA,ACTINOPTERYGII,NOTACANTHIFORMES,HALOSAURIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/190196/1943920
190221/1944443,Lutjanus jocu,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LUTJANIDAE,Data Deficient,Atlantic Eastern Central,https://www.iucnredlist.org/species/190221/1944443
190250/1946099,Gymnothorax maderensis,ANIMALIA,CHORDATA,ACTINOPTERYGII,ANGUILLIFORMES,MURAENIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/190250/1946099
190312/1947402,Aldrovandia oleosa,ANIMALIA,CHORDATA,ACTINOPTERYGII,NOTACANTHIFORMES,HALOSAURIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/190312/1947402
190315/1947540,Serrivomer beanii,ANIMALIA,CHORDATA,ACTINOPTERYGII,ANGUILLIFORMES,SERRIVOMERIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/190315/1947540
190318/1947860,Gymnothorax polygonius,ANIMALIA,CHORDATA,ACTINOPTERYGII,ANGUILLIFORMES,MURAENIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/190318/1947860
190347/1948654,Zenopsis conchifer,ANIMALIA,CHORDATA,ACTINOPTERYGII,ZEIFORMES,ZEIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/190347/1948654
190350/1948674,Avocettina infans,ANIMALIA,CHORDATA,ACTINOPTERYGII,ANGUILLIFORMES,NEMICHTHYIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/190350/1948674
190356/1949015,Aldrovandia affinis,ANIMALIA,CHORDATA,ACTINOPTERYGII,NOTACANTHIFORMES,HALOSAURIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/190356/1949015
190380/1950085,Lagocephalus laevigatus,ANIMALIA,CHORDATA,ACTINOPTERYGII,TETRAODONTIFORMES,TETRAODONTIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/190380/1950085
190400/1950522,Uroconger syringinus,ANIMALIA,CHORDATA,ACTINOPTERYGII,ANGUILLIFORMES,CONGRIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/190400/1950522
190420/1951224,Corniger spinosus,ANIMALIA,CHORDATA,ACTINOPTERYGII,BERYCIFORMES,HOLOCENTRIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/190420/1951224
190429/1951474,Mulloidichthys martinicus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,MULLIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/190429/1951474
