scientificName,className,orderName,familyName,redlistCategory,systems,realm,url
Prolagus sardus,MAMMALIA,LAGOMORPHA,PROLAGIDAE,Extinct,Terrestrial,Palearctic,https://www.iucnredlist.org/species/18338/1737167
Bos primigenius,MAMMALIA,CETARTIODACTYLA,BOVIDAE,Extinct,Terrestrial,Palearctic,https://www.iucnredlist.org/species/136721/4332142
Pennatomys nivalis,MAMMALIA,RODENTIA,CRICETIDAE,Extinct,Terrestrial,Neotropical,https://www.iucnredlist.org/species/199838/9129524
Palaeopropithecus ingens,MAMMALIA,PRIMATES,PALAEOPROPITHECIDAE,Extinct,Terrestrial,Afrotropical,https://www.iucnredlist.org/species/136532/17971784
Xenothrix mcgregori,MAMMALIA,PRIMATES,PITHECIIDAE,Extinct,Terrestrial,Neotropical,https://www.iucnredlist.org/species/136515/17976302
Thylacinus cynocephalus,MAMMALIA,DASYUROMORPHIA,THYLACINIDAE,Extinct,Terrestrial,Australasian,https://www.iucnredlist.org/species/21866/21949291
Lagorchestes leporides,MAMMALIA,DIPROTODONTIA,MACROPODIDAE,Extinct,Terrestrial,Australasian,https://www.iucnredlist.org/species/11163/21954274
Lagorchestes asomatus,MAMMALIA,DIPROTODONTIA,MACROPODIDAE,Extinct,Terrestrial,Australasian,https://www.iucnredlist.org/species/11160/21954573
Onychogalea lunata,MAMMALIA,DIPROTODONTIA,MACROPODIDAE,Extinct,Terrestrial,Australasian,https://www.iucnredlist.org/species/15331/21957917
Potorous platyops,MAMMALIA,DIPROTODONTIA,POTOROIDAE,Extinct,Terrestrial,Australasian,https://www.iucnredlist.org/species/18103/21960570
Bettongia pusilla,MAMMALIA,DIPROTODONTIA,POTOROIDAE,Extinct,Terrestrial,Australasian,https://www.iucnredlist.org/species/136805/21960843
Caloprymnus campestris,MAMMALIA,DIPROTODONTIA,POTOROIDAE,Extinct,Terrestrial,Australasian,https://www.iucnredlist.org/species/3626/21961545
Chaeropus ecaudatus,MAMMALIA,PERAMELEMORPHIA,CHAEROPODIDAE,Extinct,Terrestrial,Australasian,https://www.iucnredlist.org/species/4322/21965168
Perameles eremiana,MAMMALIA,PERAMELEMORPHIA,PERAMELIDAE,Extinct,Terrestrial,Australasian,https://www.iucnredlist.org/species/16570/21965953
Macrotis leucura,MAMMALIA,PERAMELEMORPHIA,THYLACOMYIDAE,Extinct,Terrestrial,Australasian,https://www.iucnredlist.org/species/12651/21967376
Nyctophilus howensis,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Extinct,Terrestrial,Australasian,https://www.iucnredlist.org/species/15006/22009211
Pteropus brunneus,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Extinct,Terrestrial,Australasian,https://www.iucnredlist.org/species/18718/22078015
Pteropus pilosus,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Extinct,Terrestrial,Oceanian,https://www.iucnredlist.org/species/18749/22086230
Pteropus subniger,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Extinct,Terrestrial,Afrotropical,https://www.iucnredlist.org/species/18761/22088168
Pteropus tokudae,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Extinct,Terrestrial,Oceanian,https://www.iucnredlist.org/species/18763/22088402
Pipistrellus sturdeei,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Extinct,Terrestrial,Palearctic,https://www.iucnredlist.org/species/17365/22123157
Cryptonanus ignitus,MAMMALIA,DIDELPHIMORPHIA,DIDELPHIDAE,Extinct,Terrestrial,Neotropical,https://www.iucnredlist.org/species/41320/22177809
Geocapromys thoracatus,MAMMALIA,RODENTIA,CAPROMYIDAE,Extinct,Terrestrial,Neotropical,https://www.iucnredlist.org/species/9003/22186735
Geocapromys columbianus,MAMMALIA,RODENTIA,CAPROMYIDAE,Extinct,Terrestrial,Neotropical,https://www.iucnredlist.org/species/9004/22186798
