assessmentId,internalTaxonId,scientificName,redlistCategory,redlistCriteria,yearPublished,assessmentDate,criteriaVersion,language,rationale,habitat,threats,population,populationTrend,range,useTrade,systems,conservationActions,realm,yearLastSeen,possiblyExtinct,possiblyExtinctInTheWild,scopes
508518,12775,Manouria impressa,Endangered,A2cd,2021,2018-03-13 00:00:00 UTC,3.1,English,"This species is listed as Endangered as it is suspected that the population has been reduced by 50–80% in the last three generations (57 years), mainly due to collection for the pet trade and for food consumption, but also habitat loss.","<em>Manouria impressa</em> inhabits upper evergreen montane forests between 900 and 1,600 m of elevation (above 1,200 m asl in China). It does not tolerate degraded forests. <em>Manouria impressa</em>&#160;shelters beneath logs, and is inactive for long periods of the year (aestivate).<br/><br/>In Phu Luang Wildlife Sanctuary, Thailand, <em>M. impressa</em>&#160;exhibits seasonal variation in habitat use between montane forest, montane scrub forest and bamboo forest; however montane forest was the most utilised habitat throughout the year in both adults and juveniles. A single individual has been found at about 450 m in dry deciduous dipterocarp forest in Phu Kradueng National Park, Thailand. Habitat selection of <em>M. impressa </em>may associate with food abundance. <em>M. impressa</em> is a specialist feeder, consuming mushrooms in the rainy season, and green plants during the rest of the active period. Most mushrooms consumed by <em>M. impressa </em>are edible and preferred by local people (Wanchai 2012).&#160;Courting and mating have been observed in all seasons in Thailand, but peak in the rainy season.&#160;Clutch size in one observed wild nest was estimated at 8–10 eggs. (Wanchai <em>et. al</em>. 2013).<br/><br/>Generation length is estimated at 19 years (age of first reproduction = 12 years, lifespan = 35 years, reproductive period = 23 years, z = 0.3). Three generations correspond to 57 years.","The main threats to <em>Manouria impressa</em> are&#160;habitat loss from agriculture and logging, and collection for the pet trade. In Myanmar and Cambodia, it is collected for subsistence. Results from the interviews with rangers and local people at various localities in Thailand suggest <em>that M. impressa</em>&#160;is less common now than in the past due to habitat destruction, uncontrolled forest fires and hunting. Almost 100% of responses indicated that hunting continues for <em>M. impressa</em> (and other turtle species) and the interviewees suggested that <em>M. impressa</em> were more regularly consumed locally than sold for international trade. Most interviewees said that local people did not hunt&#160;<em>M. impressa</em> directly but were collected incidentally during other activities.<em> Manouria impressa</em> are often collected by locals when collecting mushrooms, and cooked immediately or taken back to the village for food (Wanchai 2012).","<p><em>Manouria impressa</em> is cryptic and can occur at relatively high densities in appropriate habitat. It is rare in Myanmar and is considered Critically Endangered in China. It is common in protected habitat in northern and northeastern Thailand, such as Phu Lang Wildlife Sanctuary. The population is suspected to be decreasing, due to collection for the pet trade and habitat loss from agriculture and logging. Population reduction is suspected to be 50–80% in the past three generations (57 years).<br/></p>",Decreasing,"<em>Manouria impressa </em>occurs in the northern, western and eastern hills in Myanmar, the western edge of northeastern and northwestern Thailand, northeastern Lao, the Annamite Mountains in Lao PDR and Viet Nam, southwestern Cambodia and western Peninsular Malaysia. In China it is reported from Hainan and Yunnan.",<em>Manouria impressa&#160;</em>appears occasionally in the international pet trade and is also utilised for food consumption.,Terrestrial,"<em>Manouria impressa</em> is listed on CITES Appendix II. It is present in several protected areas throughout its range. It is listed on the China National Key Protected Species list.&#160;<br/><br/><em>Manouria impressa</em> is listed as Endangered in Thailand (OEPP 1997) and considered Vulnerable in Lao PDR (ATTWG 2000). It is considered Endangered in Vietnam and Cambodia, and Critically Endangered in China.&#160;<br/><br/><p>In Thailand, <em>M. impressa</em> occurs in several protected area, including: Doi Suthep-Pui National Park, Doi Inthanon National Park (Chiang Mai province), Thungyai Naresuan(West) Wildlife Sanctuary, Umphang Wildlife Sanctuary (Tak province), Huai Kha Khaeng Wildlife Sanctuary (Uthai Thani province), Phukaew Wildlife Sanctuary (Chaiyaphum province), Phu Kradueng National Park and Phulung Wildlife Sanctuary (Loei province) and Hala-Bala Wildlife Sanctuary (Narathivart province). The geographical distribution of <em>M. impressa</em> within its range is patchy, research into the genetic variation among subpopulations is therefore recommended.</p>",Indomalayan,,false,false,Global
1006544,163415,Cyclemys oldhamii,Endangered,A2cd+4cd,2021,2018-03-13 00:00:00 UTC,3.1,English,"The total population of <em>Cyclemys gemeli</em> is estimated to have least halved in the past three generations (30 years) through ongoing habitat loss and collection in remaining habitat. This decline is expected to continue. Thus, the species qualifies for listing as Endangered A2cd+A4cd.","<em>Cyclemys oldhamii </em>inhabits mainly streams and adjoining stream valley areas in subtropical monsoon hill forest areas, up to an altitude of 1,000 m but usually lower (Das 1991, van Dijk 1998).&#160;<em>Cyclemys oldhamii </em>feed on a variety of fruits, small animal prey, and scavenge when an opportunity presents itself (van Dijk 1998).&#160;Turtles of the <em>Cyclemys oldhamii </em>group can attain up to 26 cm carapace length (Das 1991). Age at maturity has been reported as 10–12 years, and generation time as three times that, at 30 years (Nutphand 1979). Females can produce up to 5 clutches of 2–4 eggs annually.","Adult <em>Cyclemys oldhamii</em>&#160;have historically been extensively collected in the hill ranges of Thailand for subsistence consumption and some local trade. In recent years, exploitation has intensified to supply East Asian consumption markets, where <em>C. oldhamii </em>is one of the more commonly traded species. The species group does not adapt to human-dominated agricultural landscapes, but can tolerate modest habitat impacts such as selective logging.","In western Thailand, <em>Cyclemys oldhamii</em> is one of the more common turtle species, with densities estimated on the order of one animal per several kilometres of stream (Thirakhupt and van Dijk 1995). The population structure in western Thailand is noteworthy, which is dominated by juvenile animals, indicating ongoing effective recruitment (van Dijk 1998). Little status data is available for Thailand since then. Data for the Cambodian population is insufficient to determine population trend. Total population is estimated to have at least halved in the past half century through habitat loss and collection in remaining habitat, and this is predicted to continue.",Decreasing,"<p>While recent taxonomic changes make it challenging to define the range of <em>Cyclemys oldhamii</em> precisely, it is understood to range from eastern Myanmar through much of Thailand and Lao PDR, central and southern Viet Nam, and northern Cambodia; part of its range might be in broad sympatry with <em>C. atripons</em> and <em>C. pulchristriata</em>. It occurs below 1,000 m asl. Previous records from Peninsular Malaysia, Sumatra, Java and Borneo are now attributed to <em>C. enigmatica</em> (Fritz <em>et al. </em>2008). Records from southern Yunnan (China) likely were based on trade specimens.&#160;</p>","Pet trade of <em>Cyclemys oldhamii</em> is insignificant compared to exploitation for human consumption. <em>Cyclemys oldhamii</em>&#160;has been common in the Asian consumption trade of turtles (at local, national and international levels) since the 1990s.",Terrestrial|Freshwater (=Inland waters),"The genus <em>Cyclemys</em> was included in CITES Appendix II in 2013.&#160;<em>Cyclemys oldhamii</em> has been recorded from various protected areas in Thailand, including the Western Forest Complex, Khao Yai, Phu Luang and Doi Chiang Dao.&#160;Provided existing protected areas across the range of this species are effectively protected from collection and habitat damage, the species would probably not need additional conservation action beyond population monitoring. Taxonomic resolution is urgently needed.",Indomalayan,,false,false,Global
1315080,170504,Cyclemys atripons,Endangered,A2cd+4cd,2021,2018-03-12 00:00:00 UTC,3.1,English,"<em>Cyclemys atripons</em>&#160;is assessed as Endangered due to an inferred population decline arising from over-collection and habitat loss amounting to half the total population of adult animals over the past half century (less than three generations, with a generation length estimated to be 25 years) which is expected to continue into the future. This species is exploited for both food and pets, with its international trade not currently managed under CITES. Deforestation in the region may pose a further threat due to the loss of terrestrial habitat and the degradation of aquatic habitat. Research on the population and harvest levels is recommended to identify the rate of decline and any appropriate conservation measures.","This semi-aquatic species inhabits calm watercourses in evergreen forested hills up to 1,000 m elevation (Bonin <em>et al.</em> 2006).  In Cambodia,&#160;<em>Cyclemys atripons</em> has been recorded in seasonally inundated coastal forests, slow-moving rivers, ponds and lakes, and hill streams in evergreen forest.<br/><br/>Age at sexual maturity estimated at 11 years, and adult life is approximately 25 years (e.g.,&#160;<em>Cyclemys dentata</em> is known to have lived 15 years in captivity as an adult).  Therefore generation time is estimated to be between 20 and 25 years (using age of maturity + 0.5*(length of reproductive period in life cycle) and the upper estimate is used here).","<em>Cyclemys atripons</em> is threatened by overcollection and habitat loss. It is consumed locally (van Dijk<em> et al</em>. 1999) and is traded as food and pets (Bonin <em>et al</em>. 2006). Documented trade numbers of <em>C. atripons</em> increased in China in the 1990s and 2000s, although visible trade remained low in Cambodia and Thailand.&#160;&#160;As <em>C. atripons</em> is semi-terrestrial and generally associated with closed-canopy forest, loss of forest is seen as a major threat. The annual deforestation rate in Thailand has been estimated at around 2.6% for the period 1990–1997 (FAO 1997), with forest area declining from 53.3% of the total land area in 1961 to 22.8% in 1999 (FAO 1999 in Sharp and Nakagoshi 2006). The main causes of this deforestation have been identified as legal and illegal logging, land encroachment, and shifting agriculture (Sharp and Nakagoshi 2006).","<em>Cyclemys atripons</em> has been found during the last four years of surveys to be fairly locally common in the coastal region of southwest Cambodia and in the Central Cardamoms Protected Forest, Bokor National Park, and the southern Cardamoms (D. Emmett pers. comm.).  It is considered fairly common, with stable populations in protected areas in southeastern Thailand.<br/><br/>However, there has been an inferred population decline arising from over-collection and habitat loss amounting to half the total population of adult animals over the past half century (less than three generations, with generation length estimated to be 26 years).",Decreasing,The range of <em>Cyclemys atripons</em> is limited to the hills of southeastern Thailand and the Cardamon Mountains region of southwestern Cambodia (Bonin <em>et al.</em> 2006). It possibly occurs in southern Viet Nam.,"It is consumed locally (van Dijk<em>&#160;et al</em>. 1999) and is traded as food and pets (Bonin&#160;<em>et al</em>. 2006). Documented trade numbers of&#160;<em>Cyclemys atripons</em>&#160;increased in China in the 1990s and 2000s, although visible trade remained low in Cambodia and Thailand.",Terrestrial|Freshwater (=Inland waters),"<p><em>Cyclemys atripons</em> is protected under domestic legislation in Thailand (as<em> Cyclemys dentata</em>).<br/><br/>All <em>Cyclemys </em>species are included in CITES Appendix II.<br/><br/>The species occurs in a number of protected areas, including the Central Cardamoms Protected Forest and Bokor National Park in Cambodia, and Khao Soi Dao WS and presumably Khao Yai NP in Thailand.<br/><br/>Further research on the population and harvest levels is recommended to identify the rate of decline and appropriate conservation measures.</p>",Indomalayan,,false,false,Global
1315477,170508,Cyclemys pulchristriata,Endangered,A2cd+4cd,2021,2018-03-12 00:00:00 UTC,3.1,English,The total population of <em>Cyclemys pulchristriata</em> has at least halved in the past half century (less than three generations) through ongoing habitat loss and collection in remaining habitat. It is believed that this decline will continue. Therefore this species qualifies for listing as Endangered under criteria A2cd+A4cd.,"<em>Cyclemys pulchristiata</em> inhabits forest streams, mainly in small streams, and ranges widely into adjoining forest, including in disturbed forest areas. It is recorded up to at least 700 metres altitude, but is likely to range higher. The species reaches maturity at about 5–7 years, and longevity likely exceeds 50 years. Generation time is estimated at 26 years.","<em>Cyclemys pulchristriata </em>is collected for trade, as well as some subsistence consumption, particularly among minorities in hill areas. Much collection of the species remains opportunistic, but ‘subsidised’ by search effort for more valuable sympatric species.&#160;<em>Cyclemys pulchristiata</em> is potentially affected by forest loss and degradation, as well as hydropower and reservoir projects.","No population data are available for <em>Cyclemys pulchristiata</em>; it used to be frequently encountered, but is currently considered uncommon to rare, and is understood to have declined significantly in recent years/decades.&#160;The total population is suspected to have at least halved in the past half century through habitat loss and collection in remaining habitat, and this is predicted to continue.",Decreasing,"<em>Cyclemys pulchristriata</em> inhabits the Annamite foothills of southern Viet Nam and adjacent eastern Cambodia; it is likely absent from Lao PDR. It ranges up to 700 m asl, perhaps higher.","<em>Cyclemys pulchristriata</em>&#160;was historically common in the trade, but has generally disappeared from trade seizures in Viet Nam (possibly related to its non-protected status).",Terrestrial|Freshwater (=Inland waters),"<p></p><p>The genus <em>Cyclemys </em>was included in CITES Appendix II in 2013. It is not protected in Viet Nam. It is likely to occur in several protected areas.&#160;No conservation actions are underway at present, due to low perceived value (monetary and conservation). As many specimens are confiscated from illegal trade, solutions need to be found for separating specimens from different source areas and suitable repatriation or other disposal solutions.&#160;Further work is needed to clarify the taxonomy and species boundaries of <em>Cyclemys.</em> Further survey work on its distribution and population status is warranted. Ensuring the occurrence of viable populations inside secure protected areas is important.&#160;</p><p></p>",Indomalayan,,false,false,Global
1345274,172554,Kinyongia carpenteri,Near Threatened,,2014,2013-08-20 00:00:00 UTC,3.1,English,"This species is thought to have undergone both historical and recent declines mainly resulting from the loss of primary forest habitat, and is likely to have been more widespread historically than it is now. While it has an extent of occurrence little over 1,300 km<sup>2</sup> and threats from persecution and possibly from resource extraction are ongoing, it appears to be widespread within its remaining range, likely occurring at more than ten locations, and most of its remaining habitat is currently effectively preserved within the Rwenzori National Park, where the majority of its' distribution falls. It is therefore listed as Near Threatened, a status that would require immediate re-evaluation if pressures increase and encroach into the protected area.","This species is found in forest canopy in the montane forest of the Rwenzori Mountains (Spawls <em>et al</em>. 2004, Tilbury 2010). It does not utilize the transformed landscapes. Although Spawls<em> et al.</em> (2004) suggest it may give live birth, in the type description it is clearly stated that a female specimen, which was collected at the same time as the male holotype but subsequently escaped, laid eggs (Parker 1929).","Local people that were surveyed from 21 villages surrounding the Ruwenzori Mountains National Park, 15% who regularly use the park and who also knew the species thought that direct persecution was causing population declines. Of these people, 13% stated that people kill this species because of superstition (N. Fehling and A. Plumptre unpubl. data 2013). <br/>Active threats to the habitat include harvesting of wood for fuel and building poles. Declines related to land clearance may however largely have ceased, as the species' remaining habitat falls almost entirely within protected areas; some resource extraction is however ongoing within these reserves.","<p></p><p>  </p><p>Surveys were made in 21 villages from each of the parishes bordering around the Ruwenzori Mountains National Park. In interviews with the local people, 40% of respondents reported that this species had disappeared from formerly forested areas following cultivation, and only 15% of these had seen it within the preceding five years (A. Plumptre unpubl. data 2013). Sixty-seven percent of those who had seen the chameleon within the past five years reported seeing it less often than they had prior to this period (A. Plumptre unpubl. data 2013). These data suggest that there may have been recent declines associated with habitat loss; forest loss is ongoing outside protected areas, and from this it can be inferred that any declines are ongoing. Almost all remaining forest within this lizard's range is within a protected area, but there may be some impacts resulting from resource use within protected areas. </p>",Decreasing,"This species is found in Afrotemperate forest in the Rwenzori Mountains of the DRC and Uganda (Spawls <em>et al.&#160;</em>2004, Tilbury 2010). The primary portion of its distribution is in Uganda, where at least 60% of the Rwenzori massif occurs. It does not utilise the transformed agricultural landscapes which have taken over what was once original primary forest.","<p>No annual CITES export quotas for <em>K.  carpenteri </em>have been issued between 2000 and 2013 (CITES 2013) and there  is no reported trade in this species between 1977 and 2011 (2012 and  2013 trade data are incomplete or unavailable) (UNEP-WCMC 2013). This  species is not known to be present in the captive market, although  illegal trade and/or harvest may occur. <br/></p><p>Of local people interviewed during surveys in 21 villages bordering around the Ruwenzori Mountains National Park, 15% regularly use the forest in the park and knew this species, and reported that they did not know of any trade of this species (A. Plumptre unpub. data 2013). However, given that it is an attractive species, it is possible that future demand could emerge. If so, removals from the wild for pet trade should be discouraged entirely or kept at a bare minimum. It is locally uncommon suggesting populations are not large, and removals are likely to be detrimental to wild populations. <br/></p>  <p><br/></p>",Terrestrial,"The remaining distribution of this species is currently almost entirely within Protected Areas, which is a good example of how habitat protection can assist to ensure the long-term survival of species. It occurs within the Ruwenzori Mountains National Park and presumably occurred outside the park prior to the original habitat destruction outside the park.&#160;However, the Protected Areas should be maintained into the future to ensure that habitat is available, and removals from the wild for pet trade should be highly discouraged in order to safeguard the existing populations.",Afrotropical,,false,false,Global
1354981,172627,Eutropis gansi,Data Deficient,,2013,2010-08-11 00:00:00 UTC,3.1,English,"<span style=""font-style: italic;"">Eutropis gansi </span>is assessed as Data Deficient, as it is only known from its original description in 1991. As such very little information is available on its distribution, natural history or exposure and sensitivity to threats, and there is no information on its population status.",Specimens were collected from leaf litter near the base of large trees in evergreen forest (Das 1991).,"<p>The habitat where this species occurs is under threat due to anthropogenic activities including tourism related infrastructure development, conversion of forested tracts into plantations, grazing, collection of firewood and non-timber forest produce and use of pesticides and herbicides.<br/></p>","Nothing is known about the population of this species, which has not been recorded since its original description in 1991. The type series contains three specimens.",Unknown,"<span style=""font-style: italic;"">Eutropis gansi</span> is endemic to the southern Western Ghats in India, where it is so far known only from its type locality, two km from the junction between the Muthalar and Sengaltheri-Thalayani roads (towards Moolakasam), Kalakkad-Mundunthurai Tiger Reserve, Tirunellveli district, Tamil Nadu (Das 1991). The known site is 20 m asl.",<p>The species is not in use.</p>,Terrestrial,"There are no known species-specific conservation measures in place for this species. The lizard's presence in and around   Kalakkad-Mundunthurai Tiger Reserve, Tirunelveli district, Tamil Nadu needs to be verified by  conducting thorough surveys to establish its distribution. &#160;Further studies with respect to the taxonomy are desirable.",Indomalayan,,false,false,Global
1359830,172653,Eutropis innotata,Data Deficient,,2013,2010-09-13 00:00:00 UTC,3.1,English,"<em></em><em></em><span style=""font-style: italic;"">Eutropis innotat</span>a is known from historic records to be distributed in Maharashtra and Madhya Pradesh, it has been recently discovered from one site in Andhra Pradesh. Although this suggests it has an extent of occurrence in excess of 60,000 km<sup>2</sup>, it has only been recorded once since the 1930s and may be highly localized within this range. Although dry forest is under threat due to varied anthropogenic activities, no information exists on the effects of threats on this species or its population status. Further research is needed into its exact distribution range, population trends, habitat preferences, ecology and the impact of threats. Hence this species is assessed as Data Deficient.","<span style=""font-style: italic;"">Eutropis innotata</span> has been reported from tropical dry deciduous forests and specimens were collected from under dry leaf litter (Rao <span style=""font-style: italic;"">et al.</span> 2010). Nothing else is known about its habitat and ecology.","<p>  </p><p>Areas where this species has been recorded are facing a decline in quality of habitat due to anthropogenic activities including illegal felling of trees, encroachment of forest land for expanding agriculture and human settlements, collection of firewood and non-timber forest produce, grazing, forest fires, tourism related infrastructure development.</p>     <p></p>","Nothing is known about the population status of this species, which has only been recorded once since the 1930s (Rao <span style=""font-style: italic;"">et al </span>2010).",Unknown,"<span style=""font-style: italic;"">Eutropis innotata</span> is endemic to India and is <span style=""font-style: italic;""></span>known from three sites in Maharashtra and Madhya Pradesh (Smith 1935), and has been recently reported from a locality in Andhra Pradesh (Rao <span style=""font-style: italic;"">et al.</span> 2010). This species has not been recorded from the Western Ghats. It occurs at elevations between 200 and 600 m asl.",<p>The species is not in use.</p>,Terrestrial,"There are no known species-specific conservation measures. The lizard is known from one protected area in its range, Gundlabrahmeshwaram Metta Wildlife Sanctuary, Andhra Pradesh. This species may occur in many more localities than is presently known, and there is a need to conduct surveys to establish its distribution.",Indomalayan,,false,false,Global
1363970,172671,Eutropis beddomei,Least Concern,,2021,2019-09-14 00:00:00 UTC,3.1,English,"Listed as Least Concern because it  has a wide distribution within India and Sri Lanka. Although the habitat where this forest species is known is threatened, there is no evidence that this species is undergoing significant population declines at present, and it is common in parts of its range. Further research into the specific  habitat preferences of this species should be carried out.","This species has been reported primarily from open areas in tropical rainforest and from drier forests in hilly areas of the Western and Eastern Ghats, and has not been recorded from degraded habitats. Nothing else is known about the habitat preferences or ecology of this species.","<p>Sites from which this species is known are facing a decline in the quality and extent of forest habitat due to a wide range of anthropogenic activities including conversion of forest lands into plantations, increased use of herbicides and pesticides, introduction of invasive alien species, forest fires, increase in tourism related activities, expansion of agriculture and human settlements, and small to large-scale logging for subsistence purposes and to clear areas for road-laying. Many of these activities are ongoing even in reserves. In Shendurney Wildlife Sanctuary selective logging and reed collection in the lower reaches of the sanctuary have been observed. In Perambikulam Wildlife Sanctuary rampant grazing, forest fires set by locals for clearing land for grazing, fuelwood collection, and the spread of invasive species have all been reported. Overgrazing by cattle and firewood collection are also ongoing in Kalakkad-Mundanthurai and Periyar Tiger Reserves. Tourism, railroad traffic and the dumping of toxic waste all threaten habitats in Bhagwan Mahaveer Wildlife Sanctuary. In Sri Lanka, slash and burn for chena cultivation is a threat to this species. <br/></p><p></p>","Although no quantitative information is available on the population, this lizard seems to be common in parts of its range. There is no evidence of widespread declines, however no research has been conducted to investigate population trends of this skink.",Unknown,"<p>This skink<em>&#160;</em>is endemic to India and Sri Lanka. In India it is restricted to peninsular India, where it has been reported from eight sites in southern Western Ghats of Karnataka, Kerala and Tamil Nadu (Smith 1935). It also occurs in some locations in the Eastern Ghats of Orissa and Andhra Pradesh. Records from Bhagwan Mahaveer Wildlife Sanctuary (Goa), Parambikulam Wildlife Sanctuary in Palakkad District and Shendurney Wildlife Sanctuary in Kollam District (Kerala) need confirmation. In Sri Lanka, it has been reported from the northern portion of the country. It occurs at elevations ranging from sea level to 1,500 m asl.</p>",<p>The species is not used or traded. <br/></p>,Terrestrial,"There are no known species-specific conservation measures. <em>Eutropis beddomii </em>is known from many sites that are in the existing protected area network including Bhagwan Mahaveer Wildlife Sanctuary (Goa), Kalakkad-Mundanthurai Tiger Reserve, Tirunelveli District (Tamil Nadu), Melghat Tiger Reserve, Amaravati District (Maharashtra), Parambikulam Wildlife Sanctuary, Palakkad District (Kerala), Periyar Tiger Reserve, Idukki and Shendurney Wildlife Sanctuary, Kollam District (Kerala), and Koundinya Wildlife Sanctuary, Chittoor District (Andhra Pradesh). In Sri Lanka, it has been recorded in Wilpattu National Park. Some loss or degradation of forest habitat is however ongoing in most or all of these reserves. This species could be more widespread than thought, and surveys are needed to verify this.",Indomalayan,,false,false,Global
1375545,173018,Nyctibatrachus dattatreyaensis,Critically Endangered,B1ab(iii),2012,2011-02-15 00:00:00 UTC,3.1,English,"<p>Listed as Critically Endangered because its extent of occurrence is currently estimated at 30 km<sup>2</sup>, all individuals are in a single threat-defined location, and there is continuing decline in the extent and quality of its habitat in the Manikyadhara Falls area of Karnataka.<br/></p>","It is found in montane shola forest and it is associated to a freshwater system in a high canopy area where there is no direct natural light penetration &#160;(Dinesh&#160;<span style=""font-style: italic;"">et al.</span>&#160;2008; K.P. Dinesh pers. comm. April 2011). Individuals have been found in the slow-moving perennial streams of Manikyadhara falls, typically below small boulders, and are more active at night (Dinesh <span style=""font-style: italic;"">et al.</span> 2008; K.P. Dinesh pers. comm. February 2011). During monsoon this frog can be seen crossing<strong> </strong>ditches&#160;filled with&#160;rain water<strong>,</strong>&#160;adjacent to road side within the Bhadra Wildlife Sanctuary (K.P. Dinesh pers. comm. February 2011).&#160;Breeding is presumed to take place by larval development in streams. It is considered to be a truly forest-dependent species, thought to withstand a degree of marginal habitat degradation since it was found near road sides (K.P. Dinesh pers. comm. February 2011).","Agricultural activities such as&#160;<span lang=""EN-US"">coffee, pepper, cardamom, ginger and<span lang=""EN-US"">&#160;other crop cultivations are extensive throughout Chickmagalur district, with coffee comprising the main crop of the region, and being present <span lang=""EN-US""><span lang=""EN-US"">adjacent <span lang=""EN-US""><span lang=""EN-US"">to the type locality (K.P. Dinesh pers. comm. February 2011). Residential and commercial development due to ecotourism activities and extensive illegal collection of medicinal plants are also considered major threats to this species' habitat, as together with agricultural activities, they clear the canopy and allow for<span lang=""EN-US""><span lang=""EN-US""><span lang=""EN-US""><span lang=""EN-US""><span lang=""EN-US""><span lang=""EN-US""> penetration<span lang=""EN-US""><span lang=""EN-US""><span lang=""EN-US""><span lang=""EN-US""><span lang=""EN-US""><span lang=""EN-US""> of natural light, creating unsuitable conditions for this species&#160;(K.P. Dinesh pers. comm. February 2011).<br/><p></p><p><br/> <span lang=""EN-US""></p><p></p></span></span></span></span></span></span></span></span></span>",<p>It is considered to be locally common (K.P. Dinesh pers. comm. February 2011).</p>,Unknown,"This species is only known from the vicinity of Manikyadhara Falls, within the Bhadra Wildlife Sanctuary, in Chickmagalur district, Karnataka state, India (Dinesh <span style=""font-style: italic;"">et al.</span> 2008). It is found at an elevation between 1,000 and 1,515 m asl (K.P. Dinesh pers. comm. February 2011). Its extent of occurrence (EOO) is estimated to be approximately 30 km<sup>2 </sup>along the hill ranges historically known as 'Chandra Drona Parvatha' (Dinesh&#160;<span style=""font-style: italic; "">et al.</span>&#160;2008). &#160;Intensive surveys in suitable neighbouring areas&#160;<span class=""apple-style-span"">in the entire stretch of the Western Ghats parts of Karnataka&#160;over the last six years have not yielded the species beyond the type locality&#160;(K.P. Dinesh pers. comm. February 2011), considered as a single threat-defined location in this assessment.",<p>There are no reports of this species being utilized.</p>,Terrestrial|Freshwater (=Inland waters),"It is found within the boundaries of Bhadra Wildlife Sanctuary&#160;(about 20% of the sanctuary falls in the hill ranges of 'Chandra Drona Parvatha' where this species is presumed to occur more widely) (Dinesh <span style=""font-style: italic;"">et al.</span> 2008;&#160;K.P.&#160;Dinesh pers. comm. April 2011). Additional habitat protection is a priority for this species' conservation (K.P. Dinesh pers. comm. February 2011).  More information is needed on this species' distribution, population status and threats.",Indomalayan,,false,false,Global
1538295,178532,Indotyphlops pammeces,Least Concern,,2013,2011-01-06 00:00:00 UTC,3.1,English,"<span lang=""EN-US""><em>Typhlops pammeces</em><span lang=""EN-US""> is listed as Least Concern, as the species is common within Ramanathapuram district in Tamil Nadu. This is nonetheless a poorly-known species, and further research into its population status, distribution and any threats is recommended.</span>",This fossorial species inhabits the dry scrublands of southeast India (V. Wallach pers. comm. 2011).,"There are localized threats to this species, but none are having a significant impact.",This species is known from many specimens from Ramanathapuram (V. Wallach pers. comm. 2010). There are no data on population size or trends for this species at present.,Unknown,"<span lang=""EN-US""><em>Typhlops pammeces</em><span lang=""EN-US""> is endemic to India. Sharma (2003) the species inhabiting &#160;‘southeast India’. The type locality is marked as ‘Madras’ (Smith 1943, McDiarmid et al. 1999), however ‘Madras’ was applied in the 1860s to a wide area encompassing most of the area south of the rivers Thungabhadra and Krishna to Ganjam in Orissa along the southeast coast (thus Sharma’s 2003 reference to it inhabiting ‘southeast India’). As the exact type localities of <em>Typhlops pammeces</em> and its junior synonym <em>Typhlops tenuis</em> Gunther, 1864 (type locality also marked as ‘Madras’) are not known, and the type locality of <em>Typhlops psammophilus</em> Annandale, 1906 (another junior synonym) is known from ‘Ramnad, Madras’, we propose to restrict the type locality of <em>Typhlops pammeces</em> to Ramnad (the present day Ramanathapuram) in south eastern Tamil Nadu from where the species has been observed in good numbers in the recent past. <em>Typhlops pammeces</em> is presently known only from Ramanathapuram district in south eastern Tamil Nadu, India.<span style=""font-style: italic;""></span></span>",The species is not in use.,Terrestrial,"Further research into the population, distribution and threats is recommended.",Indomalayan,,false,false,Global
