assessmentId,internalTaxonId,scientificName,redlistCategory,redlistCriteria,yearPublished,assessmentDate,criteriaVersion,language,rationale,habitat,threats,population,populationTrend,range,useTrade,systems,conservationActions,realm,yearLastSeen,possiblyExtinct,possiblyExtinctInTheWild,scopes
1107463,166036,Schizothorax yunnanensis,Data Deficient,,2013,2010-08-08 00:00:00 UTC,3.1,English,"The species has been assessed as Data Deficient, due to a lack of information regarding population trends, or direct threats to this species across the&#160;species&#160;full range. There is evidence of population declines in parts of the species' range (e.g., Erhai Lake), and further research is required before the species can be correctly assessed.","<span>A freshwater species, found in rivers and lakes.","Overfishing, pollution, and river modifications (e.g. dam construction) are major threats to this species.","There are some reports that the species' populations are declining (Yi 1973, Niu 2006), especially in Erhai Lake as a result of&#160; the construction of a sluice, pollution and overfishing, and the species is&#160;likely&#160;to have declined through similar threats in other parts of the species range.",Decreasing,"The species<span style=""font-style: italic;""> </span>is known from the upper Yangtze River (Jinshajiang) and upper Mekong River (Lancangjiang) basins in Yunnan Province and the Caohai Lake (Guizhou Province) in China (Chu and Chen 1989, Chen 1998). The species previously spawned in Erhai Lake, however a sluice was constructed in 1973, which destroyed the spawning grounds.","This was an important economic species for local people in the Erhai Lake region, but now it is now very rare.",Freshwater (=Inland waters),Yun and Yi (2006) reported the artifical reproduction of the species. Research and conservation measures are required.,Indomalayan,,false,false,Global
1152659,166922,Sinogastromyzon rugocauda,Data Deficient,,2012,2011-01-12 00:00:00 UTC,3.1,English,"<p><span lang=""EN-GB"">The species is currently known from the middle and upper Ma River in Viet Nam and Lao PDR. It is found under stones in fast flowing rivers. No further research has been carried out, therefore the species has not been observed again. Based on how little is known about this species, it is assessed as Data Deficient. </p>","Fast flowing rivers in rapids, on rocks and large stones (M. Kottelat pers. comm. 2011).","<p><span lang=""EN-GB"">No specific threat known but logging, deforestation and agriculture occurs in the area, with associated impacts on the aquatic environment expected (M. Kottelat pers. comm. 2011).</p>",No information available.,Unknown,The species is known from the middle and upper Nam Ma drainage in Viet Nam (Son La Province; Mai 1978) and Lao PDR (Kottelat 2001).<span>,"<p><span lang=""EN-GB"">This species is utilized as part of local subsistence fisheries (M. Kottelat per. comm. 2011).</p>",Freshwater (=Inland waters),No conservation action in place.,Indomalayan,,false,false,Global
1288460,170181,Acanthopagrus palmaris,Least Concern,,2014,2009-12-04 00:00:00 UTC,3.1,English,<em>Acanthopagrus palmaris</em> is restricted to northwestern Australia where it is a popular angling species. There are bag limits and minimum landing sizes in place for <em>Acanthopgarus </em>species in the area. It is likely that this species shares biological traits with <em>A. morrisoni.&#160;</em>No major threats have been identified for this species.&#160;It is therefore listed as Least Concern.,"<em>Acanthpagrus palmaris</em> occurs on coastal reefs, often entering estuaries (Allen <em>et al.</em>&#160;2002). The maximum size for this species is 40 cm total length (Allen and Swainston 1988).","There are no major threats known for this species; however, this species may be vulnerable to habitat degradation due to climate change and anthropogenic activities, as it inhabits shallow coastal waters and estuaries.",Population information is limited for <em>A. palmaris</em>.,Unknown,"<em>Acanthopagrus palmaris</em> is endemic to Australia and is known from Port Hedland, Western Australia and the Gulf of Carpentaria (Iwatsuki and Carpenter 2006, Greiner and Gregg 2010, Iwatsuki 2013).","<em>Acanthopagrus palmaris</em>&#160;a popular angling species usually caught with hook and line and sometimes taken by prawn trawlers (Allen <em>et al.</em>&#160;2002, Greiner and Gregg 2010).",Marine,"For all <em>Acanthopagrus </em>species<em> </em>occurring in Western Australian waters, there is a minimum landing size of 25 cm and a bag limit of six fish (Department of Fisheries 2013). It also occurs in some marine protected areas within its range (World Database of Protected Areas, accessed 11 March 2014). There is a need for further study on the biology, population status, and harvest levels of <em>A. palmaris.</em>","",,false,false,Global
1303321,170258,Spondyliosoma cantharus,Least Concern,,2014,2009-08-18 00:00:00 UTC,3.1,English,"<strong>Global</strong><em><em><br/></em><em><br/></em>Spondyliosoma cantharus&#160;</em>is widespread and relatively common throughout most of its range where it inhabits continental waters&#160;at depths to 300 m,&#160;from&#160;Norway to Angola, including the Mediterranean and Black Seas. <em>Spondyliosoma cantharus&#160;</em>is commercially and recreational important throughout its range. Although global population decline has not been observed for this species,&#160;<em>S. cantharus</em>&#160;exhibits life history characteristics that make it particularly vulnerable to local over-exploitation.&#160;<em>Spondyliosoma cantharus&#160;</em>is a hermaphrodite that is slow growing, long-lived, and exhibits habitat specificity during the spawning season. It is targeted by fisheries when it forms&#160;aggregations around nesting areas, and although fishery regulations for this species are limited, marine protected areas offer protection throughout its range.&#160;Therefore, this species is listed as Least Concern.                 Continued monitoring of its population status and harvest levels is recommended.<br/><br/><strong>Europe</strong><strong><br/></strong><strong><br/></strong>In Europe, this species is widespread and relatively common. Although localized declines have been reported, there is no evidence that indicate major global declines. It is therefore listed as Least Concern.","<em>Spondyliosoma cantharus </em>is a&#160;demersal species inhabiting the continental shelf, especially on seagrass beds and rocky or sandy bottoms to about 300 m depth, mainly between 10 m and 100 m (Pajuelo and Lorenzo&#160;1999). Juveniles are found in shallower water, to about 50 m depth&#160;and will remain inshore until about two to three years of age (Pajuelo and Lorenzo 1999, Collin and Mallinson 2012).&#160;The maximum total length of this species is 60 cm (Fischer&#160;<em>et al</em>. 1987) and can live to about 15 years (Pajuelo and Lorenzo 1999).&#160;This species will form sizeable schools on occasion.&#160;<em>Spondyliosoma cantharus </em>is a&#160;relatively long-lived and slow-growing species feeding mainly on algae and small invertebrates (Pajuelo and Lorenzo 1999). &#160;<br/><br/><strong>Reproduction&#160;</strong><strong><br/></strong><em>Spondyliosoma cantharus </em>are&#160;protogynous&#160;hermaphrodites, and the age at sex-change is reported to occur at various stages (Pajuelo and Lorenzo 1999). Females of this species may reach sexual maturity around two years of age at a length of 17.3 cm TL, and males reach maturity at three years of age at a length of 22.7 cm TL (Perodou and Nedelec 1980, Soletchnik 1983, Balguerías 1995, Parjuelo and Lorenzo 1999). This species has also been reported to mature into males at approximately 20 cm, remaining as males until reaching 30 cm, with all individuals over 40 cm being female (Pawson 1995, Collins and Mallinson 2012). Sexual dimorphism in body color has been reported for this species during the spawning season and is probably associated with sexual competition, courtship and mating (Smale 1988). Spawning takes place&#160;from November to April, with a peak in spawning activity in January to February&#160;(Pajuelo and Lorenzo 1999). In the northern part of its range,&#160;<em>S. cantharus</em>&#160;move to deep waters in winter, and migrate inshore to breed off the United Kingdom from March to May. Spawning off Portugal occurs in the southwest from February to April, peaking in March (Gonçalves and Erzini 2000). These results are in a good agreement with those reported for the same species in the northwest African coasts, in the English Channel, and in the Cantabrian Sea (southern Bay of Biscay). This species&#160;lays eggs in a nest constructed by the males on exposed gravel or sand, with each nest containing several thousands eggs. Males of this species will protect the nest and its contents until the eggs are hatched (Collin and Mallinson 2012). The total potential annual fecundity varies between 31,670 and 554,070 &#160;(average = 292,870) eggs per female. The relative fecundity of this species reaches a maximum of 850 eggs per gram in the 30.5 cm to 31 cm length class (Dulcic&#160;<em>et al</em>. 1998).<p></p>","<em>Spondyliosoma cantharus </em>is an important commercially harvested fish, and thus faces threats from fisheries. The value of the exploitation rate &gt;0.50 suggests that&#160;<em>S. cantharus</em>&#160;populations off the Canary Islands are heavily exploited. The value of the length at first capture (16.8 cm) is less than that of the length at first maturity and over 45% of the total catch is less than this length, indicating a danger of overfishing (Pajuelo and Lorenzo 1999).&#160;<em>Spondyliosoma cantharus&#160;</em>is particularly susceptible to overexploitation during its nesting season, when it aggregates around nesting sites and is then exploited by recreational and commercial fishers. This species is also vulnerable to habitat degradation from dredging, as this activity removes the coarse sediments that&#160;<em>S. cantharus&#160;</em>use for nest building. Spawned eggs can also be smothered by sediment deposited during dredging which inhibits embryonic development (Haskoning 2003,&#160;Collins and Mallinson 2012).","<em>Spondyliosoma cantharus&#160;</em>is widespread and&#160;is reasonably common throughout most of its range. <em>Spondyliosoma cantharus </em>is abundant in shallow waters along the southern coast of the United Kingdom (Rogers <em>et al.</em>&#160;1998), and the annual frequency of this species off Plymouth increased from 1913 to 2003 with the rising sea temperature as a result of climate change (Arkley and Caslake 2004). An increasing trend in abundance was also observed in the English Channel from 1993 to 2001 (Parker-Humphreys 2005). This species is heavily exploited in Portuguese waters, and the high exploitation rates suggest that this species may be locally over-fished&#160;(Gonçalves and Erzini 2000). However, global population decline has not been observed for this species.<br/><br/>FAO capture production data in 2012 were: Benin - three tonnes; Greece 105 tonnes; Morocco 1,598 tonnes; Senegal - 1,431 tonnes; Germany - two tonnes; Spain - 897 tonnes; France 2,667 tonnes; Netherlands - 69 tonnes; Portugal - 187 tonnes; United Kingdom 157 tonnes; Angola - 26 tonnes; Croatia - seven tonnes; Italy 70 tonnes; and Turkey - 49 tonnes.",Unknown,"<em>Spondyliosoma cantharus</em>&#160;is widely distributed in the eastern Atlantic, occurring from Scandinavia to Namibia, and around the Madeira, Azores, Cape Verde and Canary Islands. It is also common in the Mediterranean&#160;Sea and the western Black Sea&#160;(Bauchot and Hureau 1986, 1990). This species occurs from the surface to 300 m depth (Pajuelo and Lorenzo 1999).","<em>Spondyliosoma cantharus</em> is an important commercial and food fish, and it is exploited&#160;in European waters by recreational and commercial fishers during its breeding season (Collin and Mallinson 2012).&#160;This species is fished throughout its range, particularly to the north of Senegal, where it is caught on line gear, with pelagic and bottom trawls, beach seines, fixed nets and traps&#160;(Cooper 2005, Collin and Mallinson 2012).&#160;<em>Spondyliosoma cantharus</em>&#160;is captured year round with significant seasonal differences in the landings (Pajuelo and Lorenzo 1999).&#160;Utilized fresh, frozen or dried salted, the flesh is highly esteemed; also reduced to fishmeal and oil (Carpenter in press). This species is regularly present in the markets of Tunisia, Morocco, Italy, Cyprus, Greece, Turkey and Sicily, and is occasionally sold elsewhere.&#160;In Portugal, this species is commercially important in inshore waters with current annual landings of <em>c. </em>3,200 tonnes per year (Gonçlaves 1999, DGPA 2008).",Marine,"In the Canary Islands, there is a minimum size limit has been implemented for&#160;<em>Spondyliosoma cantharus</em>. In the case of the this species, the minimum size regulation is of limited benefit because the minimum length which may be legally kept is smaller than the length at first maturity (Pajuelo and Lorenzo 1999).&#160;In European waters, there is no minimum landing size, total allowable catch and it is not subject to ICES stock assessment; however, the European Union places restrictions on any towed gears used for sea breams of a mesh size of &gt; 80 mm, and that the bream must comprise at least 70% of the catch (EU 1998, Collin and Mallinson 2012). It is recommended that measures be taken to protect nesting areas during the spawning season (Collin and Mallinson 2012).&#160;This species occurs in some marine protected areas within its range (World Database on Protected Areas, accessed 11 March 2014).","",,false,false,Global
1380378,17315,Pipistrellus maderensis,Vulnerable,C2a(i),2016,2016-04-25 00:00:00 UTC,3.1,English,"The species is restricted to few islands in the Canaries and the Madeira islands (and possibly the Azores). The population numbers &lt; 1,000 individuals and it is suspected to be declining as a result of habitat loss, use of agricultural pesticides, and disturbance to roosts. This species is also severely fragmented.&#160;It is assessed as Vulnerable (VU C2a(i)) but may be approaching the Endangered category.","<span lang=""EN-US"">The Murciélago de Madeira (<span lang=""EN-US""><em>Pipistrellus maderensis</em><span lang=""EN-US"">) forages over a wide range of habitats, including aquatic habitats, woodland and farmland (<span lang=""EN-US"">Trujillo 2002<span lang=""EN-US"">). It feeds on flying insects, including small moths and Diptera. Breeding colonies have been found in crevices in sea-cliffs and underneath the roofs of houses, as well as in bird boxes (<span lang=""EN-US"">Trujillo 2002<span lang=""EN-US"">). Roost sites include rock crevices, bird boxes, and crevices in (often disused) buildings. It is often associated with human settlements, although in contrast with<span lang=""EN-US"">&#160;<em>P. pipistrellus</em>&#160;<span lang=""EN-US"">in mainland Spain it tends not to be found in parks, gardens, and tree-lined avenues in urban areas in the Canary islands (<span lang=""EN-US"">Trujillo 2002<span lang=""EN-US"">).</span></span></span></span></span>","<span lang=""EN-US"">Restoration of buildings, covering cracks where it roosts, is a threat to the species. Rain-gauges attract dozens of bats which are trapped there and die (Trujillo 2007).<span lang=""EN-US""> Loss of natural habitat may be a threat, although the species is apparently adapted to man-made habitats. The use of agricultural pesticides may be a problem, and disturbance to roosts in buildings may also be of concern.</span>","<span lang=""EN-US"">On Madeira and associated islands, it is abundant but very rare on Porto Santo. The total population is estimated to be less than 1,000 individuals, and trends are unknown (Rainho<span lang=""EN-US"">&#160;<em>et al</em>. <span lang=""EN-US"">2002). On the Canary Islands it is <span lang=""EN-US"">relatively common and<span lang=""EN-US""> is the most frequently reported bat on all islands of occurrence, although no bat is abundant on the islands. Population size and trend have not been quantified (<span lang=""EN-US"">Trujillo 2002<span lang=""EN-US"">), although declines are suspected as a result of threats including loss and degradation of habitats, pesticide use, and disturbance and destruction of roosts. On the Azores,<span lang=""EN-US"">&#160;<em>Pipistrellus&#160;</em><span lang=""EN-US"">bats are rare or very rare on all islands of occurrence, and the total number of individuals is probably less than 300 (Rainho<span lang=""EN-US"">&#160;<em>et al</em>.&#160;<span lang=""EN-US"">2002).</span></span></span></span></span>",Decreasing,"This species is restricted to Madeira (Madeira, Porto Santo), and the western Canary Islands (La Palma, La Gomera, El Hierro, Tenerife). Pipistrelles found in the Azores (Santa Maria, Flores, Corvo, Graciosa, San Jorge) probably belong to this species. It is found from sea level to 2,150 m in the Canary Islands, although it prefers lowlands on Madeira (Fajardo and Benzal 1999).",,Terrestrial,"The species is protected through Bern Convention, and included in Annex IV of EU Habitats &amp; Species Directive. Rainho and Palmeirim (2002) proposed the following actions: identification, protection and monitoring of roosts; preservation and restoration of natural habitats, reduction of pesticide use; and, study of the species' biology, ecology, genetics, and systematics.&#160;<span lang=""EN-US"">Trujillo (200<span lang=""EN-US"">2)&#160;additionally recommend a public awareness campaign aimed at reducing disturbance of breeding colonies in private houses.</span>",Palearctic,,false,false,"Global, Europe & Mediterranean"
1536997,178507,Tropiocolotes tripolitanus,Least Concern,,2018,2012-06-30 00:00:00 UTC,3.1,English,"<em>Tropiocolotes tripolitanus</em> is listed as Least Concern in view of its wide distribution, and because it is unlikely to be undergoing significant population declines that would qualify it for listing in a more threatened category.","This species is found in crevices and fissures in rocky plateaus and gravel desert. It prefers stony areas with fairly sparse shrub or herb cover (Trape <span style=""font-style: italic;"">et al.</span> 2012). It also occurs in sandy semi-desert areas and dunes with sparse grass cover. Animals are found under stones and rocks. It has been recorded from millet fields in Niger. Animals are nocturnal and feeds on small insects, principally ants, termites and small moths (Trape <span style=""font-style: italic;"">et al.</span> 2012). The female lays up to six clutches of a single egg each year.","It is unlikely that any major threats affect this widespread species. It is locally threatened through the impacts of overgrazing, quarrying and off-road vehicle use causing habitat degradation. It is subject to some collection for the international pet trade but this is not a significant threat.","This species can occur in dense populations in suitable habitat and can be locally somewhat abundant (Trape <span style=""font-style: italic;"">et al.</span> 2012), although the species is often uncommon (for instance, in Egypt).",Stable,"This North African species is distributed across much of the Sahel and Sahara from southeastern Western Sahara and Mauritania, western, central and northern Mali, northeastern Niger, southern Algeria, and central and southern Tunisia eastwards through most of Libya and northwestern Egypt (Trape <span style=""font-style: italic;"">et al.</span> 2012). It is presumed to occur in northern Chad, however, it is so far known in this country only from an area bordering Lake Chad (Trape <span style=""font-style: italic;"">et al.</span> 2012).",This species is subject to some collection for the international pet trade.,Terrestrial,"This species is found within protected areas throughout its range. Further studies are needed into the distribution of this species in Chad, its taxonomic status and harvest levels.",Afrotropical|Palearctic,,false,false,Global
1666967,180827,Betta smaragdina,Data Deficient,,2012,2011-01-19 00:00:00 UTC,3.1,English,"The species is threatened by habitat degradation; habitats across most of its range have been converted into intensive farmland, developed, or polluted, especially in Thailand and Lao PDR which are its centre of population. Genetic erosion is a secondary threat from escaped farmed stock of <span style=""font-style: italic;"">Betta splendens</span> into wild habitats.<br/><br/>Its exact Extent of Occurrence and Area of Occupancy and declining rate are poorly known currently, but is locally uncommon it its suitable habitats. Further information is needed on the species distribution and threats, and the species is assessed as Data Deficient.<span style=""""><br/></span>","This species occurs in shallow marshland and floodplains, small seasonal swamp and waterbodies with dense vegetation, grasses and small waterplants.","Wetland degradation from diversion, infrastructure and agriculture may threats to this species. Hybridization from release of captive-bred specimens.",Locally common to uncommon throughout its range. The species is now becoming scarce in many areas across its  range due to pollution and habitat degradation.,Decreasing,"This species is known from the Khorat Plateau  in northeastern Thailand and lowland Lao PDR and northern Cambodia in the Mekong and basin. Its natural range stretches  southwards from the Thai/Lao PDR border through the provinces of Nong Khai,  Udon Thani, Khon Khaen, Ubon Ratchathani and others. Possibly reported from southern Viet Nam.","Popular locally in aquarium trade and in specialist international trade<span style=""font-style: italic;""></span>. Used for fighting game fish.",Freshwater (=Inland waters),Habitat management and awareness raising on captive releasing are recommended.,Indomalayan,,false,false,Global
1670546,180856,Oreoglanis lepturus,Critically Endangered,"B1ab(ii,iii,v)+2ab(ii,iii,v)",2012,2011-11-03 00:00:00 UTC,3.1,English,"The species is presently known only from a very short stretch (c.2 km long) of a branch  of the upper Nam Phao, a tributary of the Nam Theun in the Mekong drainage in Lao PDR. It inhabits very fast water with waterfalls and large rocks and it feeds in grazing algae and invertebrates at the surface of rocks; sedimentation eliminates its source of food and habitat. It might have a greater range but the area could not yet be surveyed. The only known stretch is along a road  going to the border with Viet Nam, impacted by road maintenance and by wastes from the shops and other border businesses along the road. The other stretches of the Nam Phao are filled with sediments and have no suitable habitat. The river also receives domestic wastes from Laksao and pollution from a gold mine. Because of its very restricted EOO and AOO, and the quantity and  variety of threats this species is assessed as Critically Endangered.  Surveys are needed to confirm the species distribution, and it should be reassessed if further data show that the species has a wider distribution.",Inhabits a stretch of the stream with waterfalls and large rock bottom. Grazes algae on rocks.,"The species is presently known only from a very short stretch of a branch of the upper Nam Phao, about 2 km long. This stretch is along the road leading to the border, which is now crowded by shops and other businesses, and domestic waste enters into the stream. Adjacent streams could not yet be surveyed. Below this point, the stream joins with the Nam Phao which is totally filled with sediments resulting from the construction of a small hydropower reservoir. The recent maintenance of the road going to Vietnam, along the river, also resulted in huge quantities of material being pushed into the river. The river is filled with sediment almost until its confluence with the Nam Theun. In addition the lower Nam Phao receives wastes from Laksao and pollution from a gold mine on one of its tributaries. As the species grazes algae on the rocks, once the rocks are covered by sediment the food disappears.",No information available.,Unknown,"The species is known only from a short section (c.2 km long) of a small tributary of the upper Nam Phao, a tributary of the Nam Theun, in the Mekong drainage in Lao PDR (Bolikamsai Province), almost on the border with Viet Nam. It might be present elsewhere in adjacent streams, but survey has not yet been possible.",Part of subsistence fisheries.,Freshwater (=Inland waters),No conservation actions are in place. Surveys are needed to ascertain the species' exact distribution.,Indomalayan,,false,false,Global
1680748,180946,Oryzias uwai,Data Deficient,,2013,2011-02-21 00:00:00 UTC,3.1,English,"This species is known from river basins in Myanmar, where it is found in clear&#160;water swamps. It has been collected in relatively large numbers during surveys carried out over the past two decades, but no other information is available. Considering the&#160;little&#160;information known, this species is assessed as Data Deficient.",This species&#160;lives in clear&#160;water swamps (L. Parenti pers. comm. 2011).,Threats include habitat destruction and&#160;degradation&#160;caused by urban development and agriculture.,"It has been collected in relatively large numbers during surveys carried out over the past two decades, but no other information is available (Parenti 2008).",Unknown,"This species is known from the Ayeyarwaddy, <span class=""st"">Hlaing (<span class=""st"">Rangoon) and Sittaung basins, Myanmar (Roberts 1998, Parenti 2008).</span>",This species is not utilized.,Freshwater (=Inland waters),No conservation actions are known.,Indomalayan,,false,false,Global
1689434,181021,Oryzias mekongensis,Least Concern,,2012,2011-02-21 00:00:00 UTC,3.1,English,"This&#160;species is widely distributed throughout the Mekong basin in northeast Thailand, Lao PDR and Cambodia, where it&#160;lives in clear water swamps, and is found in anthropogenic habitats.&#160;Little is known about the populations of this species, although it is frequently encountered in surveys. Whilst habitat destruction and&#160;degradation&#160;caused primarily by urban development and also agriculture may impact the species, it is assessed as Least Concern at present.","This species lives in clear water swamps (Kottelat 2001). It may be&#160;associated&#160;with acidic waters (Roberts 1998). According to Rainboth  (1996) it occurs in canals, ditches and ponds, especially those in which  fine-leaved aquatic plants grow densely.",Habitat destruction and&#160;degradation&#160;caused primarily by urban development and also agriculture.,"Little is known about the populations of this species, although it is frequently encountered in surveys (Magtoon 2010).",Unknown,"This&#160;species is widely distributed throughout the lower Mekong basin in northeastern Thailand, Lao PDR and Cambodia (Kottelat 2001).",This species&#160;infrequently occurs in the international aquarium trade and may be&#160;captive bred (L. Parenti pers. comm. 2011).,Freshwater (=Inland waters),There are no conservation actions in place for this species. Indirect protect from local participatory wetland programme and reserve zone in some of its habitats.,Indomalayan,,false,false,Global
