assessmentId,internalTaxonId,scientificName,redlistCategory,redlistCriteria,yearPublished,assessmentDate,criteriaVersion,language,rationale,habitat,threats,population,populationTrend,range,useTrade,systems,conservationActions,realm,yearLastSeen,possiblyExtinct,possiblyExtinctInTheWild,scopes
2623523,199970,Ambystoma mavortium,Least Concern,,2015,2015-08-25 00:00:00 UTC,3.1,English,"<p><a name=""OLE_LINK28""></a><a name=""OLE_LINK7""></a></p><p>Listed as Least Concern in view of the large extent of occurrence, large number of sub-populations and localities, large population size and use of a wide range of habitats.</p>","This species occurs in a variety of habitats, including grass prairies, open prairies, aspen parkland, boreal, deciduous and coniferous forests and woodlands, alpine and sub-alpine areas, semi-deserts, and deserts, and because of this it is considered to be quite adaptable (CARCNET 2010, AmphibiaWeb 2011). It breeds in a wide range of environments, including permanent or semi-permanent ponds or lakes (COSEWIC 2012),&#160;from clear mountain ponds to temporary, manure-polluted pools in the lowlands, usually in sites where predatory fishes are absent. In the mountains of western Colorado, it is associated with ponds that have silty bottoms, low alkalinity, and no fish (Geraghty and Willey 1992). Aquatic breeding habitats must hold water for the 3 to 7 months required to complete development up to metamorphosis (COSEWIC 2012), and the species can be found in many breeding sites throughout the year (Hammerson 1999).","Besides use as live bait, this species is thought to be affected by deforestation and loss of wetland habitat (AmphibiaWeb 2011). However, the species commonly occurs in highly altered habitats, and it often breeds in ponds constructed for livestock use.(Hammerson 1999). Introduced predatory fish could potentially also be a cause of declines (AmphibiaWeb 2011, COSEWIC 2012), as could acid rain (Harte and Hoffman 1989). Cases of road mortality are high where roads intersect migration routes to and from breeding sites (COSEWIC 2012). Ambystoma tigrinum Virus (ATV)&#160;has been identified as the causative agent in localized mass mortality events of Western Tiger Salamanders in Saskatchewan, Manitoba, and Alberta (COSEWIC 2012).<br/><br/>Many mountain lakes, formerly inhabited by tiger salamanders, now have few or none as a result of the stocking of trout which consume and deplete the larval populations (Blair 1951 pers. obs.). Geraghty and Willey (1992) found that fish absence was the most important factor influencing tiger salamander presence in Gunnison County and vicinity, and Corn, Jennings, and Muths (1997) reported that trout and tiger salamanders rarely occur together in Rocky Mountain National Park. Trout and tiger salamanders do occasionally coexist in some lakes (Dartt 1879, Blair 1951), but only where vegetated shallows provide habitat not easily accessible to the fishes.&#160;<br/><br/>Under certain conditions, larval populations might be vulnerable to bacterial infections associated with livestock grazing. In the mountains of Utah, Worthylake and Hovingh (1989) observed recurrent mass mortality of larvae associated a bacterial infection and suggested that increased nitrogen levels due in part to sheep grazing might have been involved. Bryant (1995) observed a mass mortality event in the summer of 1993 that appeared to be associated with an opportunistically pathogenic bacterium. In Arizona, similar die-offs, apparently associated with bacterial pathogens, have been reported (Pfennig, Loeb and Collins 1991). Cannibal morphs seemed particularly vulnerable, probably due to their feeding on diseased larvae. Again, fecal contamination of ponds by introduced livestock was suggested as a possible cause of the fatal outbreaks. In contrast to these reports, larvae sometimes do thrive in large numbers in manure-laden ponds in Colorado (Hammerson 1999). Nevertheless, die-offs of larvae, apparently associated with pathogenic bacteria, have been observed in Colorado (Hammerson 1999).","This is one of the most abundant&#160;<em>Ambystoma&#160;</em>species. The total adult population size is unknown but surely exceeds 1,000,000. Tiger Salamanders occur throughout their historical range in the Rocky Mountains and Great Plains of Colorado and adjacent states. They remain easy to find and locally abundant in suitable habitat. Ponds often contain up to several thousand larvae. Recent surveys found no evidence of significant declines in distribution or abundance (Corn&#160;<em>et al</em>. 1989; Hammerson 1989a, 1992; Corn&#160;<em>et al</em>. 1997). In the Rocky Mountains, a local decline in numbers over several years, reported by Harte and Hoffman (1989), turned out to be a temporary fluctuation from which the population subsequently recovered (Wissinger and Whiteman 1992). Hovingh (1986) reported that tiger salamanders remain quite common in aquatic systems in glaciated portions of the Uinta Mountains in northeastern Utah. The widespread creation of small, fish-less artificial bodies of water has provided much suitable habitat where previously there was little, and these salamanders have been quick to colonize it (Norris 1973, Hammerson 1999). Declines of the Southern Mountain sub-population in British Columbia, northern part of the disjunct sub-population, have been observed and predicted based on habitat loss and degradation, road mortality, and&#160;other threats (COSEWIC 2012).",Unknown,"This species has a widespread distribution through western and central Canada including British Columbia, central and southern Alberta and Saskatchewan to southern Manitoba (COSEWIC 2012). In the United States it has a broad north-south distribution, extending from Montana and the Dakotas to Oklahoma and Texas (AmphibiaWeb 2011).&#160;The eastern distribution extends through Nebraska, Kansas, Oklahoma, and Texas, continues west along the northern Mexican states of Coahuila and Sonora, and then north through Arizona along the eastern slopes of the Rocky Mountains. There is a disjunct distribution in the northwest, extending from extreme northern Oregon, through Washington and Idaho panhandle&#160;into the southern Okanagan region of British Columbia&#160;(COSEWIC 2012). The species has been introduced in numerous localities west of the native range (Stebbins 2003); for example, some sub-populations in southern Arizona were introduced for use as fish bait (AmphibiaWeb 2011).","It is reported to be used widely as live bait in fishing (CARCNET 2010, AmphibiaWeb 2011).",Terrestrial|Freshwater (=Inland waters),"<strong><em>Conservation Actions</em></strong><strong><em><br/></em></strong>In most of the range in the United States, this species is of relatively low conservation concern and does not require significant additional protection or major management.<p></p>The Canadian range of this species includes the South Okanagan Grasslands Provincial and White Lake Grasslands Provincial Parks (COSEWIC 2012). It occurs in many protected areas in the United States. The southern sub-population is listed as Endangered in Canada under the federal Species At Risk Act, while&#160;it is listed as Special Concern within the rest of its Canadian distribution (Prairie-Boreal population).",Nearctic,,false,false,Global
3033153,55855,Agalychnis lemur,Critically Endangered,A2ace,2020,2019-09-09 00:00:00 UTC,3.1,English,"Listed as Critically Endangered because of an observed decline of 80–95% of the remaining population since 1998 (21 years/three generation lengths) based on the disappearance of the western and central Panamanian population, probably due to  chytridiomycosis.","It is a nocturnal tree frog associated with sloping areas in humid lowland and montane primary forest.&#160;In Costa Rica, it has been recorded in secondary forest,&#160;but is always found near rivers (Costa Rica Red List Assessment Workshop September 2019).&#160;It occurs in the upper part of the canopy from where it calls (G.F. Medina-Rangel pers. comm. February 2019). The eggs are usually deposited on leaf surfaces and the larvae are washed off or fall into water below the site of oviposition.","<p>The massive declines noted in this species may have been due to chytridiomycosis (Gratwicke<em>&#160;et al.</em> 2016). However, studies by Woodhams&#160;<em>et al. </em>(2006) found that among the species studied this was one of the more resistant to infection; possibly explaining its continued persistence at lower numbers. Ranavirus is a potential threat, as infected individuals have been documented in Siquirres; however, the effect of this virus remains unknown (S. Whitfield and H. Zumbado-Ulate pers. comm. September 2019).<br/><br/>General habitat loss and fragmentation remains a threat throughout this species' range, and this is especially the case in Costa Rica where deforestation by squatters threatens Fila Asunción, one of the two confirmed remaining subpopulations in the country. The other extant subpopulation at Siquirres is currently protected by a private landowner; however should the ownership change in the future, the security of this subpopulation could be at risk (Costa Rica Red List Workshop September 2019). The other historical sites in Costa Rica have been deforested for agriculture and livestock ranching (Costa Rica Red List Workshop September 2019). Deforestation and illegal mining are the main threats in the area where the species has been registered in Colombia (G.F. Medina-Rangel pers. comm. February 2019).</p>","It was once considered to be a reasonably common species in Costa Rica, but most subpopulations disappeared in the late 1980s and early 1990s.&#160;As of 2019, the species has been reported with certainty from only three areas in Costa Rica: Fila Asunción, 15 km south-west of Limón in&#160;Veraguas&#160;(an abandoned farm); in a forested area near Parque Nacional Barbilla and Siquirres in&#160;Limón&#160;Province (B. Kubucki and S. Salazar pers. comm. September 2019); and from&#160;La Alegría in Guayacan&#160;in Limón Province&#160;(Garcia-Rodriguez&#160;<em>et al</em>. 2012).&#160;The species has been reported from a fourth area in Costa Rica: Cedral, near Miramar, however this record remains unconfirmed (F. Bolaños pers. comm. September 2019).&#160;Fila Asunción&#160;is the only site known to have a large breeding subpopulation (Costa Rica Red List Assessment Workshop September 2019). In 2003, the species was&#160;intentionally reintroduced to a historical site in Siquirres; ca. 75 tadpoles rescued from another site ca. 30 km away (airline distance) and introduced to the area, and the species is now colonizing other neighboring properties, all of which are within its general historical range (B. Kubicki pers. comm. September 2019). All other previously known Costa Rican subpopulations are thought to have disappeared, including those in Monteverde, San Ramón, Parque Nacional Braulio Carrillo, and Parque Nacional Tapantí. It has still not recovered in much of its Costa Rican range, and has not been recorded in recent years in the Cordillera Central or&#160;Cordillera&#160;de Tilarán (Costa Rica Red List Assessment Workshop September 2019).<br/><br/>The species was once reasonably common in lower elevations throughout Panama, but extensive declines have reduced its range to only a few sites in western Panama (Hertz&#160;<em>et al.</em>&#160;2012), and occasional records from central Panama. Extensive declines have been recorded from the Reserva Forestal Fortuna, Chiriquí (no records from this site since 1999) and El Copé, Coclé where it declined from 2004, although it persists at a very reduced abundance (Lips&#160;<em>et al</em>. 2006).&#160;<br/><br/>In Colombia, the species is either very rare, very difficult to see, or the population is very small (G.F. Medina-Rangel pers. comm. February 2019). During surveys in&#160;Unguía, Chocó&#160;between 2012 and 2016, only two individuals were seen during one outing in July 2014. The status of the Colombian subpopulations remains unknown.<br/><br/>Overall, the population is thought to be decreasing due to a combination of ongoing decline in the extent and quality of habitat and disease. It is reasonable to estimate that the remaining population has experienced a decline of 80-95% since 1998 (21 years/three generation lengths) based on the disappearance of the western and central Panamanian population, probably due to chytridiomycosis (Lips&#160;<em>et al.</em>&#160;2006, Hertz<em>&#160;et al.</em>&#160;2012).",Decreasing,"This species occurs in Costa Rica, Panama, and Colombia. It occurs predominantly on the Atlantic versant from the vicinity of Tilarán, Guanacaste Province, Costa Rica, to western Panama; the disjunct Pacific slope records are from northwestern Costa Rica and southwestern, central, and extreme eastern Panama in the Darién area, where it extends marginally across the border into Colombia.&#160;Its elevational range is 440-1,600 m asl.","<p>This species is commercially available in the international pet trade, presumably from captive-bred sources at present. It is unknown whether individuals are still being collected from the wild (Costa Rica Red List Workshop September 2019).</p>",Terrestrial|Freshwater (=Inland waters),"<strong><em>Conservation Actions&#160;</em></strong><strong><em>In-Place</em></strong><br/>About 37% of this species' predicted range occurs within protected areas (Urbina-Cardona and Loyola 2008). Within Costa Rica, the former range included several national parks and other protected areas;&#160;however while none of the current remaining subpopulations are within&#160;national parks, they are both within private areas and an indigenous reserve (G. Chaves pers. comm. 2007, 2019). Situating barrels of water in the forest has successfully attracted this species to reproduce (B. Kubicki pers. comm. August 2010). The species is known to occur within at least six Panamanian protected areas, and is identified as a high conservation priority species in Panama's national amphibian conservation action plan (ANAM 2011). Two successful captive breeding programmes began in 2001: 1) the Atlanta Botanical Garden, which has since transferred individuals to 19 US zoos which continue captive breeding efforts in the US (Gratwicke&#160;<em>et al</em>.&#160;2016)' and 2) the&#160;Manchester Museum, which has transferred some individuals to Bristol Zoo and Norden’s Ark for assurance populations (M. O'Donnell pers. comm. September 2019). Ongoing monitoring is taking place for the two extant subpopulations in Costa Rica (G. Chaves pers. comm. September 2019). A partial&#160;<em>ex-situ&#160;</em>population of this species is breeding at the El Valle Amphibian Conservation Center in Panama (Gratwicke<em>&#160;et al.</em> 2016).&#160;<span style=""font-weight: bold;""><br/></span><span style=""font-weight: bold;""><br/></span><strong><em>Conservation Needed</em></strong><br/>Improved habitat protection is needed for the remaining extant subpopulations in Costa Rica (Costa Rica Red List Workshop September 2019). The driver(s) of declines in several historical sites has been addressed (H. Zumbado-Ulate and J. Rodríguez pers. comm. September 2019) and reintroductions into sites with suitable habitat should be considered (V. Acosta pers. comm. September 2019).<span style=""font-weight: bold;""><br/></span><span style=""font-weight: bold;""><br/></span><strong><em>Research Needed</em></strong><br/>Research is needed on population distribution, current threats, and population trends.&#160;Research into the genetic variation in wild and captive populations is recommended in order to explore the feasibility and need for supplementation and/or possible reintroductions into the wild (M. O'Donnell pers. comm. September 2019).",Neotropical,,false,false,Global
3053897,56995,Craugastor taurus,Endangered,B1ab(iii),2020,2019-09-11 00:00:00 UTC,3.1,English,"<span data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Listed as Endangered because its extent of occurrence (EOO) is [XXX] km2, it occurs in X threat-defined locations, and there is continuing decline in the extent and quality of its habitat.&quot;}"" data-sheets-userformat=""{&quot;2&quot;:13245,&quot;3&quot;:{&quot;1&quot;:0},&quot;5&quot;:{&quot;1&quot;:[{&quot;1&quot;:2,&quot;2&quot;:0,&quot;5&quot;:[null,2,0]},{&quot;1&quot;:0,&quot;2&quot;:0,&quot;3&quot;:3},{&quot;1&quot;:1,&quot;2&quot;:0,&quot;4&quot;:1}]},&quot;6&quot;:{&quot;1&quot;:[{&quot;1&quot;:2,&quot;2&quot;:0,&quot;5&quot;:[null,2,0]},{&quot;1&quot;:0,&quot;2&quot;:0,&quot;3&quot;:3},{&quot;1&quot;:1,&quot;2&quot;:0,&quot;4&quot;:1}]},&quot;7&quot;:{&quot;1&quot;:[{&quot;1&quot;:2,&quot;2&quot;:0,&quot;5&quot;:[null,2,0]},{&quot;1&quot;:0,&quot;2&quot;:0,&quot;3&quot;:3},{&quot;1&quot;:1,&quot;2&quot;:0,&quot;4&quot;:1}]},&quot;8&quot;:{&quot;1&quot;:[{&quot;1&quot;:2,&quot;2&quot;:0,&quot;5&quot;:[null,2,0]},{&quot;1&quot;:0,&quot;2&quot;:0,&quot;3&quot;:3},{&quot;1&quot;:1,&quot;2&quot;:0,&quot;4&quot;:1}]},&quot;10&quot;:0,&quot;11&quot;:4,&quot;12&quot;:0,&quot;15&quot;:&quot;Calibri&quot;,&quot;16&quot;:11}"">Listed as Endangered because its extent of occurrence (EOO) is 915 km<sup>2</sup>, it occurs in only one location when considering the threat of chytridiomycosis, and the only surviving subpopulations in Costa Rica and Panama are threatened by continuing decline in the extent and quality of its habitat.","It is a nocturnal species associated with&#160;steep, rocky walls of streams in humid lowland forest. The newly discovered subpopulations in Punta Banco occur in an area with a drier environment than those where historical populations have been described in Costa Rica (Chaves <em>et al.</em> 2014). It breeds by direct development. It is probably sensitive to pollution and disturbance to its habitat (H. Zumbado-Ulate pers. comm. September 2019).","Chytrid fungus,&#160;<em>Batrachochytrium dendrobatidis </em>(<em>Bd</em>),&#160;has been confirmed from within this species' range (Puschendorf <em>et al.</em> 2009). In 2011-2013, individuals from Punta Banco showed 0-80% prevalence of <em>Bd</em>,&#160;depending on the time of year and precipitation patterns (Whitfield <em>et al. </em>2017), however, the species appears to be persisting perhaps because&#160;the dry conditions in Punta Banco may allow the frogs to coexist with&#160;<em>Bd</em>&#160;(Chaves <em>et al.</em> 2012,&#160;Whitfield&#160;<em>et al.&#160;</em>2017,&#160;H. Zumbado-Ulate pers comm. September 2019). Individuals from this site have also tested positive for ranavirus infection (S. Whitfield pers. comm. September 2019).&#160;In Costa Rica, the only extant subpopulations are known to occur in Punta Banco-Burica, which is experiencing habitat loss due to coastal development, agriculture and livestock, and small-scale logging (Costa Rica Red List Workshop&#160;September 2019). This species is also likely to be threatened by surface water extraction for domestic and agricultural use (S.&#160;Whitfield&#160;pers. comm.&#160;September 2019), and the dumping of chemicals into rivers to harvest freshwater crustaceans is another probable threat (Costa Rica Red List Workshop&#160;September 2019). The expansion of oil palm plantations is a growing threat to the species in Costa Rica (H. Zumbado-Ulate pers comm. September 2019). In Panama, the area where it was found in 2008 is being deforested for livestock farming and agriculture purposes (A. Batista pers. comm. March 2013).","This is a large species, unlikely to be overlooked, that was formerly very abundant,&#160;particularly in the Osa Peninsula and Golfito in&#160;Costa Rica (Savage 2002). By the early 1990s, all known subpopulations had been extirpated in Costa Rica, and&#160;its decline is considered enigmatic because population collapses were apparently simultaneous and occurred in protected and unprotected areas at low elevations.&#160;Since 2000, extensive field work within its historical distribution in Costa Rica has revealed that this frog is now restricted to a small area. A single individual was photographed in 2001 in Esquinas, Osa Peninsula (G. Chaves and B. Kubicki pers. comm. 2007), but the species has since disappeared from this site due to unknown reasons (G. Chaves pers. comm. September 2019). Two previously unknown subpopulations were discovered in&#160;Punta Banco in 2011,&#160;where the density was approximately 1.38 individuals/50 m (Chaves&#160;<em>et al</em>. 2014).&#160;Between 2011 and 2019, annual surveys have recorded this species in healthy numbers (both adults and juveniles) in additional sites in Punta Banco-Burica (H. Zumbado-Ulate pers comm. September 2019). Extensive, directed searches in other historical sites from 2000-2019 have failed to locate the species (Chaves&#160;<em>et al</em>. 2014, G. Chaves and H.&#160;Zumbado-Ulate&#160;pers. comm.&#160;September 2019).<br/><br/>In 2008, a single individual was recorded in the Punta Burica area of Panama, close to the border with Costa Rica (M. Ponce pers. comm. March 2013). One survey was conducted in 2018 in the vicinity of the known site in Panama, but failed to record the species (A. Batista pers. comm. August 2019). Further survey effort is needed to understand its population status in Panama (Panama Red List Assessment Workshop August 2019).",Decreasing,"<p>This species is known from southern Pacific Costa Rica and extreme southwestern Panama, at elevations of 25-525 m asl (Savage 2002). Its historical range was estimated at 5,806 km<sup>2</sup>, but it now only occurs in <em>ca</em>. 4% of its&#160;historical range in Costa Rica (Chaves <em>et al.</em> 2014). As of 2019, this species is only known from one continuous subpopulation (in multiple streams) in Punta Banco-Burica along the coast of the Golfo Dulce in Costa Rica (G. Chaves and B. Kubicki pers. comm. 2007, G. Chaves and A. García pers. comm. March 2013, H. Zumbado-Ulate pers. comm. September 2019), and one nearby site on the Panamanian side of the Burica Peninsula (M. Ponce pers. comm. March 2013). Its estimated extent of occurrence (EOO) is 915 km<sup>2</sup>, which represents three or fewer threat-defined locations.</p>","<p><span lang=""EN-US"">There are no records of this species being utilized.</p>",Terrestrial|Freshwater (=Inland waters),"<strong><em>Conservation Actions In-Place</em></strong><br/>Within Costa Rica, this species has&#160;historically been recorded from Parque Nacional Corcovado, the Reserva Biológica el Naranjal and Parque Nacional Piedras Blancas; however the extant subpopulations are not protected (Costa Rica Red List Workshop September 2019).&#160;It is not recorded from any protected areas in Panama.&#160;<br/><br/><strong><em>Conservation Needed</em></strong><strong><em><br/></em></strong>Environmental education is necessary in order to promote this as a flagship species in Punta Banco-Burica. Through collaboration with local non-governmental organizations, grassroots habitat protection of the streams where this species occurs in Costa Rica is highly recommended (Costa Rica Red List Workshop September 2019).&#160;The option of a captive assurance population should be explored (A. Whitworth pers. comm. 2020).<br/><br/><strong><em>Research Needed</em></strong><br/>Surveys are urgently needed to&#160;determine whether individuals remain in historical sites in both Panama and Costa Rica.&#160;Studies are needed to determine the reasons behind the drastic decline, which could possibly involve the disease chytridiomycosis or a combination of factors, in this species.&#160;Further studies are needed to understand if the surviving population has any resilience to chytrid (A. Whitworth pers. comm. 2020).",Neotropical,,false,false,Global
