assessmentId,internalTaxonId,scientificName,redlistCategory,redlistCriteria,yearPublished,assessmentDate,criteriaVersion,language,rationale,habitat,threats,population,populationTrend,range,useTrade,systems,conservationActions,realm,yearLastSeen,possiblyExtinct,possiblyExtinctInTheWild,scopes
1315427,170506,Cyclemys fusca,Least Concern,,2021,2018-03-14 00:00:00 UTC,3.1,English,"<em>Cyclemys fusca </em>is listed as Least Concern, as although there is extensive trade in the species for the East Asian food market, there does not appear to be a marked decline in the population and the species remains widespread and common within Myanmar.","<em>Cyclemys fusca</em> can regularly be encountered in rocky streams (with boulders) within hill country. It can also be found on the forest floor, where it is typically associated with dry stream beds (K. Platt pers. comm. 2018). The age of maturity is estimated to be about seven years, but longevity is not well known.","<p>Although there is a substantial trade in this turtle, the species doesn’t seem to be greatly impacted by harvesting and is still very common (K. Platt pers. comm. 2018). It is likely to be affected to some degree by industrial and agricultural development, habitat modification and loss, collection, pollution, invasive species and climate change.&#160;</p>","<p><em>Cyclemys fusca</em> is still common, and caught easily in forests by hunters. Its population is believed to be stable.</p>",Stable,"<p><em>Cyclemys fusca</em> is endemic to Myanmar, where it is widespread throughout much of the country in a wide variety of habitats. There are no records from Manipur and Nagaland in India, despite suggestions that the species might occur here (K. Platt pers. comm. 2018). It can be found from ~175 to 1,000 m above sea level.</p>","<em>Cyclemys fusca</em>&#160;is perceived to be the most traded species from Myanmar, traded by truckloads for export into East Asia. This species is only consumed in small numbers within Myanmar (K. Platt pers. comm. 2018).",Terrestrial|Freshwater (=Inland waters),"<p>The genus <em>Cyclemys</em> was included in CITES&#160; Appendix II in 2013. It is protected by national legislation in Myanmar, and populations are present in several protected areas (K. Platt pers. comm. 2018).</p>",Indomalayan,,false,false,Global
1783269,185792,Cryptobatrachus remotus,Vulnerable,B1ab(iii),2020,2020-06-01 00:00:00 UTC,3.1,English,"<p>Listed as Vulnerable because its estimated extent of occurrence (EOO) is only 6,408 km<sup>2</sup>,<sup>&#160;</sup>it is known from less than 10 threat-defined locations, and there is some localized and ongoing decline in the extent and quality of its habitat.</p>","<p>It is a nocturnal, stream-dwelling species that inhabits fast-flowing mountain creeks in seasonal semi-deciduous sub-montane ombrophilous forest, evergreen sub-montane/montane ombrophilous forest, and cloud forests. It has also been found in creeks surrounded by secondary forest and shade coffee plantations (Infante-Rivero <em>et al</em>. 2009). It exhibits direct development, and female parental care. During mating, the eggs adhere to the female's back and are carried by her until hatching, when the froglets emerge and disperse to begin their independent life. Females carrying 16–45 eggs, and froglets, have been observed during both dry and rainy seasons (Infante-Rivero <em>et al</em>. 2009, Granado 2010) from which it is inferred that breeding occurs during several months of the year. Although this species is markedly associated to streams, the finding of a specimen within a forest without nearby creeks (Infante-Rivero <em>et al</em>. 2009) suggests that it is capable of dispersing overland between creeks.</p>","<p>  </p><p>Six of the seven known localities for this species are near small human settlements. Most are impacted by small-scale human-disturbances and surrounded by traditional shade coffee plantations (Rojas-Runjaic 2015). During the last decades forests are increasingly being converted into cocoyam plantations (<em>Xanthosoma sagittifolium</em>) in the upper basin of Socuy River (northern limit of its distribution) and the foothills of Cerro Las Antenas. Cocoyam crops, in addition to promoting forest clearing, cause abstraction of water from the creeks where this species inhabits. Although the creeks and the evergreen forests at Cerro Las Antenas are still well preserved, this is an unprotected area, and potentially vulnerable due to the expansion of agriculture and urban frontiers (Rojas-Runjaic and Infante-Rivero 2018). The localities of Toromo and Manastara, both in the Río Negro river basin, despite being within the limits of a protected area (Sierra de Perijá National Park) are currently being modified by small-scale agriculture (corn, bananas, and some citrus) and small-scale goat and cow grazing. Furthermore, an increase in the frequency and intensity of fires during the dry season affects the submontane and montane forests of the Río Negro basin.</p><p></p>","<p>It is a common and very abundant species in fast-flowing streams within its range (Infante-Rivero <em>et al</em>. 2009, Rojas-Runjaic and Infante-Rivero 2018). Granado (2010) noted that this species was by far the most abundant species in the amphibian community of the creeks of Cerro Las Antenas, and estimated densities of 0.2–0.3 ind/m<sup>2</sup> in a 80 m stretch of the creek, between March and June. Rojas-Runjaic and Infante-Rivero (2018) registered 93 and 60 specimens, respectively, in two different creeks also in Cerro Las Antenas. Infante-Rivero <em>et al</em>. (2009) noticed that it was very abundant in the creek of Fundo El Progreso (type locality and the northernmost in its known range) during the dry season. The species only was rare in Toromo, the lower locality where it has been documented (Infante-Rivero <em>et al</em>. 2009).</p>",Stable,"This species is widely distributed on the eastern slopes of Sierra de Perijá, in Zulia state, Venezuela, with at least seven localities documented throughout this mountain system, between 450–1,861 m asl (Infante-Rivero <em>et al</em>. 2009, Rojas-Runjaic <em>et al</em>. 2016, Rojas-Runjaic and Infante-Rivero 2018). Its distribution is likely to extend to the western (Colombian) side of Perijá. Its current estimated extent of occurrence (EOO) is 6,408 km<sup>2</sup>, and each of the localities is considered one threat-defined location when considering the threat of expanding agriculture.<br/><br/><p><br/></p>",<p></p><p>There are no records of use or trade of this species.</p>,Terrestrial|Freshwater (=Inland waters),"<p></p><p>  </p><p><em style=""""><strong>Conservation Actions In-Place<br/></strong></em>Part of its estimated extent of occurrence overlaps with two protected areas: Sierra de Perijá National Park, and the Protective Zone of the Socuy, Guasare and Cachirí rivers; both protected areas include vast extensions of pristine forests. Five of the seven known locations are within the limits of the Sierra de Perijá National Park, although almost all of these locations are under small-scale and localized human disturbances.<br/><br/><strong><em>Conservation Needed</em></strong><strong><em><br/></em></strong>It is necessary to enforce the boundaries of these protected areas and their land use restrictions.<br/><br/><strong><em>Research Needed</em></strong><strong><em><br/></em></strong>Field research is required in order to increase and improve the knowledge about the geographic distribution, natural history, threats, population size and trends of this species. Further research is required to assess its phylogenetic relationship with <em>C. pedroruizi</em> in order to clarify this taxonomic uncertainty.</p><p></p><p></p>",Neotropical,,false,false,Global
2758604,203017,Abronia meledona,Endangered,B1ab(iii),2013,2012-05-06 00:00:00 UTC,3.1,English,"This species is listed as Endangered because it has a very restricted distribution (extent of occurrence less than 900 km<sup>2</sup>), is present in one location, and is subject to a continuing decline in the extent and quality of its habitat, mainly from agricultural activities.",This species is found in lower montane wet forest (Wilson and Johnson 2010).,"The main threat to this species is habitat loss from agriculture. Installation of communication towers on the top of the mountain has led to construction of roads and deforestation (Ariano 2010). There is anecdotal evidence that it may be collected for illegal pet trade, but whether or not this constitutes a significant threat is unknown.",There are no quantitative data on population size and trends for this species.,Unknown,"This lizard is endemic to the mountains of southeastern Guatemala (Cerro Miramundo), where it can be found at elevations of 2,200 to 2,630 m asl. (Köhler 2003, Wilson and Johnson 2010). The area of Cerro Miramundo is around 900 km<sup>2</sup>&#160;and the species' extent of occurrence is less than this, as it is restricted to the top of the mountain.",It is suspected that this species may be included in the illegal pet trade (D. Ariano pers. comm. 2012).,Terrestrial,"This species is present in one small private protected area (15 ha). There is an education program for the conservation of this species and a captive breeding program (D. Ariano pers. comm. 2012). Conservation needs include increased habitat protection and management, and better information on population trends.",Neotropical,,false,false,Global
3059021,57347,Telmatobius laticeps,Critically Endangered,D,2019,2017-10-05 00:00:00 UTC,3.1,English,"Listed as Critically Endangered (Possibly Extinct) given that it has undergone a drastic  population decline, possibly due to the synergistic effects of dry and warm weather, chytrid fungus and  increased frequency of debris flows. Exhaustive surveys conducted between 2001–2005 and 2008 in suitable habitats and in historical and new localities failed to record any individuals of this species. If it is still  extant in its natural range in the Río Tafí basin, in the northern Argentinean Andes, it seems plausible that the population contains fewer than 50 mature  individuals.","It is a wholly aquatic, stream-breeding species of mountain streams within bog land areas (Lavilla and Barrionuevo 2005); at higher elevations, the surrounding vegetation is grassland, while the vegetation in lowland areas includes some trees (<em>Alnus</em> spp.). The species is not present in any modified habitats. Its clutch size has been documented to vary between 80 and 500 eggs (Pisanó 1955 in Barrionuevo and Ponssa 2008), and available data suggest that this species breeds throughout the year (Montero and Pisanó 1990 in Barrionuevo and Ponssa 2008).","In this species' previous (2004) assessment, listed threats included predation by introduced exotic fishes (trout), urbanization and the drainage of bogs, alterations of watercourses (through measures such as canalization), degradation of bog habitat by four-wheel drive vehicles, potato cultivation close to the stream edges (increasing sedimentation), overgrazing, construction of roads across the streams, plantation of exotic tree species (pines, with subsequent sedimentation during harvesting), and construction of power-lines in the gorges and within the streams (also resulting in stream sedimentation), with water pollution through mining activities and chytridiomycosis listed as potential future threats.&#160;Chytridiomycosis has been recorded in another species in the genus (<em>T. pisanoi</em>)&#160;<em>ca</em>&#160;60 km airline distance from&#160;the valley of Tafí&#160;(Barrionuevo 2012).<br/><br/>More recently, Barrionuevo and Ponssa (2008) found that one tadpole collected in 1984 had a mouthpart abnormality, which could be linked to chytrid fungus. These authors suggest that a complex synergistic effect of an abnormally dry and warm period between 1988 and 1993, the presence of <em>Batrachochytrium dendrobatidis</em> in the area, and increased frequency of debris flows may have caused the extinction of this species (Barrionuevo and Ponssa 2008).","This species was considered to be abundant in the past, to such an extent that it was used as a study organism for research between the 1940s and 1980s (Lavilla and Barrionuevo 2005, Barrionuevo and Ponssa 2008).&#160;It was last recorded in 1993, and exhaustive surveys conducted in 2001–2005 in suitable habitats and historical and new localities failed to record any individuals (Barrionuevo and Ponssa 2008). It is not known whether there have been surveys to the area during the period between the last record and the 2001–2005 surveys to help determine the timing of declines. There were some surveys in February and March 2008, but no individuals were recorded (S. Barrionuevo pers. comm. 2018). The inaccessibility of other potential sites makes it impossible to declare it reliably extinct (Barrionuevo 2012), even though it has been previously postulated that&#160;a complex synergistic effect of an abnormally dry and warm period between 1988 and 1993, the presence of&#160;<em>Batrachochytrium dendrobatidis</em>&#160;in the area, and increased frequency of debris flows may have caused the extinction of this species (Barrionuevo and Ponssa 2008).&#160;If the species is still surviving it will likely be in the form of a relictual population with fewer than 50 mature individuals.",Decreasing,"This species is restricted to the valley of Tafí in Tucumán Province, Argentina, with an elevational range of 1,900-4,200 m asl (Barrionuevo and Ponssa 2008).","Between&#160;1949 and 1989, this species was used in&#160;laboratory studies involved endocrinology, larval biology, histology, hematology, embryology, kariotyping and microscopy of&#160;gametes&#160;(see Barrionuevo and Ponssa 2008).",Freshwater (=Inland waters),"<strong><em>Conservation Actions In-Place</em></strong><br/>It is not present in any protected areas.&#160;<br/><br/><strong><em>Conservation Needed</em></strong><strong><em><br/></em></strong><span data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Improved habitat protection is required at sites where this species is known to occur.&quot;}"" data-sheets-userformat=""{&quot;2&quot;:13245,&quot;3&quot;:[null,0],&quot;5&quot;:{&quot;1&quot;:[{&quot;1&quot;:2,&quot;2&quot;:0,&quot;5&quot;:[null,2,0]},{&quot;1&quot;:0,&quot;2&quot;:0,&quot;3&quot;:3},{&quot;1&quot;:1,&quot;2&quot;:0,&quot;4&quot;:1}]},&quot;6&quot;:{&quot;1&quot;:[{&quot;1&quot;:2,&quot;2&quot;:0,&quot;5&quot;:[null,2,0]},{&quot;1&quot;:0,&quot;2&quot;:0,&quot;3&quot;:3},{&quot;1&quot;:1,&quot;2&quot;:0,&quot;4&quot;:1}]},&quot;7&quot;:{&quot;1&quot;:[{&quot;1&quot;:2,&quot;2&quot;:0,&quot;5&quot;:[null,2,0]},{&quot;1&quot;:0,&quot;2&quot;:0,&quot;3&quot;:3},{&quot;1&quot;:1,&quot;2&quot;:0,&quot;4&quot;:1}]},&quot;8&quot;:{&quot;1&quot;:[{&quot;1&quot;:2,&quot;2&quot;:0,&quot;5&quot;:[null,2,0]},{&quot;1&quot;:0,&quot;2&quot;:0,&quot;3&quot;:3},{&quot;1&quot;:1,&quot;2&quot;:0,&quot;4&quot;:1}]},&quot;10&quot;:0,&quot;11&quot;:4,&quot;12&quot;:0,&quot;15&quot;:&quot;Calibri&quot;,&quot;16&quot;:11}""><span data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;If subpopulations can be located, the population size should be determined and the site protected.&quot;}"" data-sheets-userformat=""{&quot;2&quot;:13245,&quot;3&quot;:[null,0],&quot;5&quot;:{&quot;1&quot;:[{&quot;1&quot;:2,&quot;2&quot;:0,&quot;5&quot;:[null,2,0]},{&quot;1&quot;:0,&quot;2&quot;:0,&quot;3&quot;:3},{&quot;1&quot;:1,&quot;2&quot;:0,&quot;4&quot;:1}]},&quot;6&quot;:{&quot;1&quot;:[{&quot;1&quot;:2,&quot;2&quot;:0,&quot;5&quot;:[null,2,0]},{&quot;1&quot;:0,&quot;2&quot;:0,&quot;3&quot;:3},{&quot;1&quot;:1,&quot;2&quot;:0,&quot;4&quot;:1}]},&quot;7&quot;:{&quot;1&quot;:[{&quot;1&quot;:2,&quot;2&quot;:0,&quot;5&quot;:[null,2,0]},{&quot;1&quot;:0,&quot;2&quot;:0,&quot;3&quot;:3},{&quot;1&quot;:1,&quot;2&quot;:0,&quot;4&quot;:1}]},&quot;8&quot;:{&quot;1&quot;:[{&quot;1&quot;:2,&quot;2&quot;:0,&quot;5&quot;:[null,2,0]},{&quot;1&quot;:0,&quot;2&quot;:0,&quot;3&quot;:3},{&quot;1&quot;:1,&quot;2&quot;:0,&quot;4&quot;:1}]},&quot;10&quot;:0,&quot;11&quot;:4,&quot;12&quot;:0,&quot;15&quot;:&quot;Calibri&quot;,&quot;16&quot;:11}"">If subpopulations can be located, the population size should be determined and the site protected.&#160;The active stocking of trout in the south and west of its distribution around the localities of El Mollar, El Rincón and La Ovejería must be strongly discouraged both at the governmental level and among local people (Barrionuevo 2012).<strong><em><br/></em></strong><strong><em><br/></em></strong><strong><em>Research Needed</em></strong><br/>Additional surveys are needed to determine if the species is still extant.</span>",Neotropical,1993,true,false,Global
3059857,57356,Telmatobius pisanoi,Endangered,B1ab(iii),2019,2017-10-05 00:00:00 UTC,3.1,English,"Listed as Endangered because of its extent of occurrence (EOO) is 829 km<sup>2</sup>, its population is severely fragmented, and there is continuing decline in the extent and quality of its stream habitat&#160;in the northern Argentinean Andes.",It is wholly aquatic and inhabits in permanent mountain bog streams surrounded by dry shrubland. It does not occur in modified habitats.&#160;Breeding occurs by larval development and it likely breeds almost year-round&#160;(Barrionuevo and Ponssa 2008).,"Current threats include landslides exacerbated by overgrazing in areas of steep slopes, burning of pastures, and increased frequency of abnormal rainfall events (Barrionuevo 2012). Additional threats include the introduction of predatory fishes (trout), the canalisation of watercourses, degradation of bog habitat by four-wheel drive vehicles, construction of roads across the streams, and construction of power-lines in the gorges and within the streams (also resulting in stream sedimentation). This species has been used for research purposes in the past (1949–1989), but this no longer constitutes a threat to the population.<em><br/></em><em><br/></em><em>Batrachochytrium dendrobatidis</em> has been found in a dead specimen belonging to this species&#160;(Barrionuevo and Mangione 2006). Barrionuevo and Ponssa (2008) suggest that a complex synergistic effect of an abnormally dry and warm period between 1988 and 1993, the presence of <em>Batrachochytrium dendrobatidis</em>,&#160;and increased frequency of debris flows have caused declines.","<p>Historical collection data indicate that this species was formerly common in western Tucumán province (Barrionuevo and Ponssa 2008). For example, 50 adult specimens were collected from&#160;Quebrada Zanja de Los Cardones in February 1968, and 22 specimens from Los Zarzos in March 1982. These numbers are high considering the secretive habits of these frogs&#160;(Barrionuevo and Ponssa 2008). The species historically inhabited permanent headwaters of streams which are completely separated from each other by kilometers of desert (Barrionuevo and Ponssa 2008). Thus, the population is considered to be severely fragmented.<br/><br/>Between 2001 and 2005 extensive surveys were conducted throughout this frog's historical range, inclusive of new sites with suitable habitat. It was absent from four of six surveyed transects, including a historical locality where it was once abundant (Barrionuevo and Ponssa 2008). Ten individuals, including one dead adult, were found along the other two transects (&#160;Río&#160;Los Zarzos and&#160;Rincón de Quilmes)&#160;at the edge of its original distribution area,&#160;over two survey sessions in May and July 2005 (Barrionuevo and Ponssa 2008).&#160;No frogs were found in subsequent surveys in the same areas; during 2008 and 2017, however this species was recently found along the Amaicha river (S. Barrionuevo pers. comm. October 2017).<br/><br/>Prior to these surveys, the last specimen on record had been collected in 1991 from&#160;Quebrada Zanja de&#160;Los Cardones, and 1968-1991 collection patterns, while highly variable, always rendered at least one adult or larval individual per survey (Barrionuevo and Ponssa 2008), suggesting that there was a decline in its population between 1991 and 2005.&#160;<span data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Due to ongoing decline in the extent and quality of habitat, the population is suspected to be decreasing.&quot;}"" data-sheets-userformat=""{&quot;2&quot;:13245,&quot;3&quot;:[null,0],&quot;5&quot;:{&quot;1&quot;:[{&quot;1&quot;:2,&quot;2&quot;:0,&quot;5&quot;:[null,2,0]},{&quot;1&quot;:0,&quot;2&quot;:0,&quot;3&quot;:3},{&quot;1&quot;:1,&quot;2&quot;:0,&quot;4&quot;:1}]},&quot;6&quot;:{&quot;1&quot;:[{&quot;1&quot;:2,&quot;2&quot;:0,&quot;5&quot;:[null,2,0]},{&quot;1&quot;:0,&quot;2&quot;:0,&quot;3&quot;:3},{&quot;1&quot;:1,&quot;2&quot;:0,&quot;4&quot;:1}]},&quot;7&quot;:{&quot;1&quot;:[{&quot;1&quot;:2,&quot;2&quot;:0,&quot;5&quot;:[null,2,0]},{&quot;1&quot;:0,&quot;2&quot;:0,&quot;3&quot;:3},{&quot;1&quot;:1,&quot;2&quot;:0,&quot;4&quot;:1}]},&quot;8&quot;:{&quot;1&quot;:[{&quot;1&quot;:2,&quot;2&quot;:0,&quot;5&quot;:[null,2,0]},{&quot;1&quot;:0,&quot;2&quot;:0,&quot;3&quot;:3},{&quot;1&quot;:1,&quot;2&quot;:0,&quot;4&quot;:1}]},&quot;10&quot;:0,&quot;11&quot;:4,&quot;12&quot;:0,&quot;15&quot;:&quot;Calibri&quot;,&quot;16&quot;:11}"">Due to ongoing decline in the extent and quality of habitat, the population is still thought to be decreasing.</p>",Decreasing,"This species is restricted to the Calchaquí Valley, Catamarca, and Tucumán Provinces of Argentina; however, it has disappeared from much of its range (Barrionuevo 2012). It has been recorded from nine sites and has an elevational range of 2,200-3,300 m asl (Barrionuevo and Ponssa 2008). The historical distribution pattern of the different subpopulations is disjunct, given that there are few pockets of suitable habitat within its range (Barrionuevo and Ponssa 2008). The estimated&#160;extent of occurrence (EOO) is 829 km<sup>2</sup>.","<p>Between&#160;1949 and 1989, this species was used in&#160;laboratory studies involved endocrinology, larval biology, histology, hematology, embryology, kariotyping and microscopy of&#160;gametes&#160;(see Barrionuevo and Ponssa 2008). While many&#160;<em>Telmatobius</em>&#160;species are utilized for food in Latin America, t<span data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;There is no information on the use or trade of this species.&quot;}"" data-sheets-userformat=""{&quot;2&quot;:13245,&quot;3&quot;:[null,0],&quot;5&quot;:{&quot;1&quot;:[{&quot;1&quot;:2,&quot;2&quot;:0,&quot;5&quot;:[null,2,0]},{&quot;1&quot;:0,&quot;2&quot;:0,&quot;3&quot;:3},{&quot;1&quot;:1,&quot;2&quot;:0,&quot;4&quot;:1}]},&quot;6&quot;:{&quot;1&quot;:[{&quot;1&quot;:2,&quot;2&quot;:0,&quot;5&quot;:[null,2,0]},{&quot;1&quot;:0,&quot;2&quot;:0,&quot;3&quot;:3},{&quot;1&quot;:1,&quot;2&quot;:0,&quot;4&quot;:1}]},&quot;7&quot;:{&quot;1&quot;:[{&quot;1&quot;:2,&quot;2&quot;:0,&quot;5&quot;:[null,2,0]},{&quot;1&quot;:0,&quot;2&quot;:0,&quot;3&quot;:3},{&quot;1&quot;:1,&quot;2&quot;:0,&quot;4&quot;:1}]},&quot;8&quot;:{&quot;1&quot;:[{&quot;1&quot;:2,&quot;2&quot;:0,&quot;5&quot;:[null,2,0]},{&quot;1&quot;:0,&quot;2&quot;:0,&quot;3&quot;:3},{&quot;1&quot;:1,&quot;2&quot;:0,&quot;4&quot;:1}]},&quot;10&quot;:0,&quot;11&quot;:4,&quot;12&quot;:0,&quot;15&quot;:&quot;Calibri&quot;,&quot;16&quot;:11}"">here are no records of this species being utilized for this purpose.</p>",Freshwater (=Inland waters),"<strong><em>Conservation Actions</em></strong><br/>It is not present in any protected areas.&#160;It is considered Endangered on the Argentinean National Red List (Vaira&#160;<em>et al</em>. 2012).<span style=""font-style: italic; font-weight: bold;""><br/></span><span style=""font-style: italic; font-weight: bold;""><br/></span><em style=""font-style: italic; font-weight: bold;"">Conservation Needed</em><strong style=""font-style: italic; font-weight: bold;""><em><br/></em></strong><span data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Improved habitat protection is required at sites where this species is known to occur.&quot;}"" data-sheets-userformat=""{&quot;2&quot;:13245,&quot;3&quot;:[null,0],&quot;5&quot;:{&quot;1&quot;:[{&quot;1&quot;:2,&quot;2&quot;:0,&quot;5&quot;:[null,2,0]},{&quot;1&quot;:0,&quot;2&quot;:0,&quot;3&quot;:3},{&quot;1&quot;:1,&quot;2&quot;:0,&quot;4&quot;:1}]},&quot;6&quot;:{&quot;1&quot;:[{&quot;1&quot;:2,&quot;2&quot;:0,&quot;5&quot;:[null,2,0]},{&quot;1&quot;:0,&quot;2&quot;:0,&quot;3&quot;:3},{&quot;1&quot;:1,&quot;2&quot;:0,&quot;4&quot;:1}]},&quot;7&quot;:{&quot;1&quot;:[{&quot;1&quot;:2,&quot;2&quot;:0,&quot;5&quot;:[null,2,0]},{&quot;1&quot;:0,&quot;2&quot;:0,&quot;3&quot;:3},{&quot;1&quot;:1,&quot;2&quot;:0,&quot;4&quot;:1}]},&quot;8&quot;:{&quot;1&quot;:[{&quot;1&quot;:2,&quot;2&quot;:0,&quot;5&quot;:[null,2,0]},{&quot;1&quot;:0,&quot;2&quot;:0,&quot;3&quot;:3},{&quot;1&quot;:1,&quot;2&quot;:0,&quot;4&quot;:1}]},&quot;10&quot;:0,&quot;11&quot;:4,&quot;12&quot;:0,&quot;15&quot;:&quot;Calibri&quot;,&quot;16&quot;:11}"">Habitat protection is necessary at sites where this species is known to occur.&#160;&#160;To ensure the survival of this species, the releasing and stocking of trout should be strongly discouraged by both government&#160;programmes&#160;and awareness programmes among the local people&#160;(Barrionuevo 2012). Improved control over the burning of vegetation and overgrazing is needed (Barrionuevo 2012).<br/><br/><strong style=""font-style: italic; font-weight: bold;""><em>Research Needed<br/></em></strong><span data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;More information is needed on this species' distribution, population status, ecology, and threats.&quot;}"" data-sheets-userformat=""{&quot;2&quot;:13245,&quot;3&quot;:[null,0],&quot;5&quot;:{&quot;1&quot;:[{&quot;1&quot;:2,&quot;2&quot;:0,&quot;5&quot;:[null,2,0]},{&quot;1&quot;:0,&quot;2&quot;:0,&quot;3&quot;:3},{&quot;1&quot;:1,&quot;2&quot;:0,&quot;4&quot;:1}]},&quot;6&quot;:{&quot;1&quot;:[{&quot;1&quot;:2,&quot;2&quot;:0,&quot;5&quot;:[null,2,0]},{&quot;1&quot;:0,&quot;2&quot;:0,&quot;3&quot;:3},{&quot;1&quot;:1,&quot;2&quot;:0,&quot;4&quot;:1}]},&quot;7&quot;:{&quot;1&quot;:[{&quot;1&quot;:2,&quot;2&quot;:0,&quot;5&quot;:[null,2,0]},{&quot;1&quot;:0,&quot;2&quot;:0,&quot;3&quot;:3},{&quot;1&quot;:1,&quot;2&quot;:0,&quot;4&quot;:1}]},&quot;8&quot;:{&quot;1&quot;:[{&quot;1&quot;:2,&quot;2&quot;:0,&quot;5&quot;:[null,2,0]},{&quot;1&quot;:0,&quot;2&quot;:0,&quot;3&quot;:3},{&quot;1&quot;:1,&quot;2&quot;:0,&quot;4&quot;:1}]},&quot;10&quot;:0,&quot;11&quot;:4,&quot;12&quot;:0,&quot;15&quot;:&quot;Calibri&quot;,&quot;16&quot;:11}"">More information is needed on this species' distribution, population status, ecology, and threats.&#160;This species requires close population monitoring given the potential threat of chytridiomycosis.</span>",Neotropical,,false,false,Global
